@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,7}


@data
0,869,326,71,0
0,1049,384,66,0
0,937,414,121,7
2,1037,481,104,0
0,837,396,76,7
0,509,289,50,7
2,544,318,27,7
3,685,316,85,0
0,938,411,126,7
0,794,389,112,0
0,780,390,77,7
12,687,393,77,7
0,1265,544,171,0
0,832,393,116,0
0,1330,504,143,0
0,975,376,83,0
2,971,366,59,0
0,978,376,76,7
0,992,536,134,0
0,1080,440,179,0
0,785,387,76,7
0,942,525,131,0
3,1321,531,153,0
0,568,313,76,0
3,535,295,74,7
0,1048,440,169,0
3,1046,565,141,0
1,1013,386,66,0
0,1047,402,79,7
0,774,413,67,0
0,555,287,14,7
0,816,423,89,0
0,825,398,115,0
24,507,282,49,0
0,638,334,21,0
5,990,379,70,0
2,949,354,58,0
17,501,274,74,0
0,938,414,126,0
0,1003,535,133,0
0,837,395,117,0
0,955,371,76,0
0,1053,376,63,7
13,560,309,80,0
0,611,273,23,0
12,948,356,58,7
3,830,399,76,0
0,1047,408,79,7
0,679,416,78,7
14,495,275,44,0
0,907,325,80,7
0,1264,538,168,0
0,751,365,101,0
5,1026,444,85,0
12,945,408,129,0
14,479,266,43,0
7,811,329,76,0
1,838,484,115,7
0,692,312,87,0
1,976,374,67,0
0,740,432,80,0
0,880,326,77,0
0,568,293,15,7
1,1177,480,177,0
1,875,407,125,0
2,823,387,78,7
0,545,315,27,7
0,585,334,27,0
0,816,426,83,0
0,445,265,34,0
0,1075,445,181,0
0,990,494,113,0
5,1135,449,172,0
13,497,275,75,0
0,1192,507,181,0
0,852,379,82,0
0,972,531,135,7
0,1203,520,170,0
4,651,339,24,7
1,623,316,80,0
0,1090,445,178,0
0,900,513,125,0
0,583,280,44,0
0,987,532,134,0
0,1035,428,159,0
0,699,326,29,0
0,626,310,79,0
2,654,322,77,0
0,1032,423,79,7
0,741,440,81,0
12,771,388,70,0
0,1049,407,77,7
0,871,323,70,0
0,1021,425,162,0
6,848,402,79,0
0,595,282,13,0
1,1010,380,68,7
0,1074,453,183,0
0,975,484,110,0
0,861,406,124,0
0,1066,440,174,0
0,812,394,122,0
0,805,423,76,7
0,882,407,124,0
13,492,281,47,0
1,971,365,59,0
6,996,383,75,0
0,936,413,128,0
0,971,552,141,0
0,1079,451,180,0
2,1078,448,182,0
22,449,280,56,0
0,842,402,123,0
0,966,407,132,0
0,641,348,24,7
7,766,410,71,7
1,1244,531,170,0
0,997,501,118,0
0,671,328,85,0
3,1086,446,178,0
0,690,311,87,0
0,983,411,143,0
0,847,409,82,0
3,693,393,75,0
1,675,330,78,0
8,990,507,127,0
1,1185,525,186,0
0,1290,525,151,0
0,472,283,32,7
2,818,384,76,0
0,637,275,24,0
0,1309,488,136,0
0,1187,526,185,0
2,1253,529,160,0
0,694,325,77,0
0,491,289,53,0
0,680,420,78,7
0,503,299,55,7
6,1129,451,174,0
2,1033,420,154,0
0,504,300,55,0
0,822,414,129,0
0,690,318,23,7
37,473,273,72,0
0,974,517,130,0
2,523,294,54,7
0,631,317,25,7
0,1041,428,157,0
0,1039,427,162,0
19,455,272,55,0
1,662,283,25,7
9,460,270,73,0
0,660,309,23,7
0,1065,442,175,0
6,455,272,38,0
6,905,332,63,0
3,687,334,87,0
0,1032,421,157,0
7,1034,469,102,0
0,869,327,70,7
7,848,323,76,0
0,620,324,26,7
0,818,448,104,0
1,892,381,73,0
0,1148,469,172,0
0,851,387,78,7
8,783,363,75,0
0,695,336,83,0
0,831,425,76,0
5,873,386,69,0
0,844,396,74,7
4,1047,566,141,0
0,832,429,82,7
0,1009,541,135,0
0,807,424,76,7
15,499,270,72,0
0,1246,535,169,0
0,1169,473,174,0
1,676,335,25,0
0,513,299,29,0
0,573,339,29,7
1,1003,388,66,0
0,750,354,75,0
0,678,410,77,0
28,1006,413,149,0
0,823,395,114,0
0,520,297,51,7
0,811,416,88,0
0,840,407,115,0
0,798,400,121,0
0,1318,488,135,0
0,975,378,83,0
0,503,300,56,7
0,733,356,94,0
0,1041,426,159,0
50,1018,424,161,0
0,792,384,76,7
0,556,285,14,7
3,790,385,110,0
3,443,268,70,7
0,986,411,145,0
0,830,425,83,7
0,639,274,24,0
0,1037,421,161,7
0,940,337,84,7
0,836,401,119,0
0,1079,452,179,0
0,970,552,142,0
7,906,332,64,0
0,1028,418,152,0
0,1165,470,174,0
0,832,417,85,0
0,1055,407,77,0
0,982,512,129,0
0,1219,523,152,7
0,816,427,84,0
1,637,319,79,0
0,839,407,125,0
15,520,296,51,0
15,494,296,56,0
0,1018,413,76,0
5,982,382,75,0
0,758,404,67,0
0,562,310,78,7
4,972,372,75,0
9,1019,553,140,0
0,1185,519,184,0
0,587,274,44,7
0,1328,518,149,0
31,788,368,75,0
0,1056,439,169,0
16,493,280,45,0
0,702,388,75,7
0,445,283,57,7
0,912,344,64,0
0,1010,381,68,0
21,501,282,47,0
1,1169,475,177,0
0,688,316,85,0
2,768,434,80,0
0,813,391,119,0
0,981,507,128,0
0,673,321,78,0
4,935,409,127,0
18,502,278,74,0
0,972,520,131,0
0,477,276,77,7
1,1083,449,179,0
0,1037,491,104,0
0,981,483,109,0
0,960,405,130,0
2,488,277,43,7
4,1049,406,77,7
5,433,275,33,0
3,988,376,68,0
0,1047,404,79,7
0,1030,440,86,0
0,849,383,85,7
3,827,394,74,0
0,686,337,88,7
0,978,490,111,0
0,1232,526,151,0
0,1084,450,178,0
0,966,403,131,0
0,851,388,78,7
0,988,413,145,0
0,1205,502,182,0
0,914,334,83,0
5,1026,434,85,0
0,1047,406,79,7
0,963,363,56,0
0,562,247,11,7
0,1034,428,163,0
0,1070,465,95,0
6,661,322,83,7
0,1031,427,163,0
8,1137,462,179,0
5,1053,401,76,7
7,767,362,74,0
3,862,317,75,0
0,1170,474,174,0
0,580,344,31,0
0,1051,374,63,0
1,1190,524,181,0
0,793,387,111,7
0,724,341,78,0
0,896,511,125,0
2,949,360,59,7
12,695,392,75,0
0,1027,487,103,0
0,1060,435,171,0
0,568,315,78,0
9,487,274,41,0
0,1169,487,177,0
0,671,410,78,0
0,937,516,128,0
20,562,308,76,7
0,942,524,131,0
4,934,408,127,0
0,1011,376,68,7
0,930,512,129,0
0,864,386,70,0
0,973,373,76,7
66,1071,443,181,0
2,827,396,81,7
0,694,333,83,0
0,848,399,74,0
48,1049,424,161,0
62,1067,436,170,0
0,1006,545,142,0
0,851,398,74,0
3,1016,380,68,7
32,798,374,76,0
0,769,377,102,0
0,844,404,79,7
0,552,310,77,7
0,1325,505,143,0
0,992,386,68,7
5,1036,488,103,0
0,610,276,23,7
0,840,329,77,0
2,487,272,41,7
0,679,287,25,0
0,816,422,89,0
0,743,440,81,7
3,815,382,71,0
14,488,283,49,0
0,830,426,83,7
0,809,436,98,7
0,976,540,137,0
0,661,350,23,7
0,962,373,79,0
0,974,515,130,0
0,1007,552,139,0
0,1079,450,179,0
0,981,482,108,0
11,467,273,74,0
37,1028,420,155,0
0,797,389,78,7
3,667,326,83,0
0,837,489,123,7
7,811,328,76,0
0,1330,505,143,0
2,707,346,87,0
0,711,349,89,0
0,808,433,78,0
0,1133,453,175,0
8,457,268,73,7
7,1031,407,76,7
0,871,326,71,0
0,958,362,72,0
0,490,288,56,7
0,841,411,129,0
0,1182,526,183,0
0,840,384,73,0
0,978,523,133,0
0,1213,523,151,0
0,958,409,130,0
0,572,336,32,0
0,1029,429,160,7
1,673,286,24,0
1,586,337,27,0
0,1072,446,182,0
15,1008,386,66,0
2,565,340,31,7
0,1319,488,136,0
0,987,482,107,0
0,937,414,122,0
0,1059,432,169,0
0,1105,447,173,0
1,751,356,76,7
55,1045,438,167,0
42,1030,420,156,0
0,1036,423,157,0
14,987,367,62,0
0,1033,553,136,7
0,715,319,93,7
1,676,410,78,0
0,778,324,91,0
4,763,378,101,0
0,1034,431,166,0
0,997,498,117,0
3,838,397,122,7
0,1042,437,168,0
0,699,341,85,0
7,1326,519,148,0
0,527,313,27,0
3,981,502,122,0
1,969,350,53,0
0,733,434,80,0
8,450,274,39,0
0,937,330,76,0
0,999,538,135,7
0,557,317,77,0
0,802,426,83,0
1,435,274,32,0
0,636,312,79,0
0,744,391,71,7
0,820,392,108,0
2,833,396,81,7
0,1043,427,163,0
0,1286,524,151,0
0,689,423,78,7
0,997,498,120,0
0,765,373,102,0
3,662,324,83,0
0,1000,388,69,0
4,928,414,125,0
25,672,328,78,0
0,1066,464,95,0
0,1104,451,182,0
0,738,393,71,7
0,830,392,74,0
3,502,305,30,0
0,830,401,118,0
0,822,394,110,0
0,782,386,73,7
2,1061,436,168,0
0,1037,494,105,0
0,790,385,107,0
0,1038,447,94,0
0,738,357,95,0
1,998,386,66,0
0,860,382,74,0
1,499,279,49,7
1,1186,521,178,0
0,433,278,33,0
0,750,320,91,0
18,458,277,57,0
0,945,330,79,0
0,842,398,77,0
0,690,327,23,0
2,958,352,58,0
0,1061,385,64,0
0,601,299,18,7
0,641,335,21,0
0,911,331,81,0
1,627,314,80,0
0,971,407,135,0
0,915,327,80,0
7,1028,419,152,0
0,705,386,75,7
13,975,410,141,0
2,1080,442,179,0
0,937,414,128,0
0,778,413,68,7
0,998,387,66,0
0,757,370,101,0
50,1053,431,159,0
0,903,404,125,0
1,609,276,43,7
0,798,386,108,0
0,934,525,129,0
0,993,493,114,0
0,931,326,73,0
0,838,404,123,0
23,570,311,74,0
0,844,410,81,0
0,786,435,80,7
2,845,396,76,0
1,800,431,76,0
11,962,389,70,0
0,1180,511,182,0
0,1033,431,165,0
0,791,386,107,0
0,578,342,33,7
3,968,532,135,0
0,981,504,122,0
0,984,354,52,0
0,1247,534,170,0
0,1047,425,161,0
16,1176,489,178,0
2,827,483,117,0
1,866,401,78,0
2,983,374,67,0
7,930,514,129,0
0,983,411,143,0
0,433,259,53,0
1,586,336,27,0
0,905,405,125,0
2,1192,524,183,0
0,539,293,75,7
9,842,406,126,0
0,476,275,76,0
0,764,407,69,7
22,489,284,50,0
8,932,415,127,0
0,1014,410,76,0
0,778,414,68,7
0,830,458,107,0
26,991,416,148,0
0,978,488,111,0
0,911,515,123,7
7,937,409,119,0
2,682,335,88,0
0,1060,385,63,7
3,788,386,110,0
0,495,273,75,7
0,434,274,33,7
6,1026,495,110,0
7,473,278,72,0
1,810,412,127,0
12,468,275,74,0
4,467,268,70,0
0,637,301,24,7
0,492,305,28,7
0,811,420,88,0
2,805,414,88,0
0,1028,366,57,0
11,781,322,88,0
0,842,409,127,0
0,1063,439,174,0
0,1062,462,96,0
1,1044,437,167,0
2,1090,444,178,0
0,459,266,42,0
0,865,321,68,0
0,942,375,68,0
0,1047,400,79,7
0,794,419,72,7
0,993,379,79,0
0,1037,424,157,0
0,670,291,25,7
0,616,276,13,7
2,951,335,81,0
0,833,401,115,7
1,817,380,76,0
1,490,269,41,0
0,941,522,131,7
1,1040,376,63,7
0,766,412,67,0
0,768,410,72,0
0,934,410,127,0
0,1093,446,180,0
0,636,347,25,0
0,1262,540,171,0
15,528,289,76,7
0,973,375,76,7
0,461,280,60,7
11,497,276,44,0
7,840,405,115,0
2,954,338,80,0
35,1024,415,150,0
0,836,402,119,0
0,1315,488,135,0
20,439,261,55,0
0,1061,435,169,0
0,688,426,80,7
0,765,376,101,0
0,1135,447,172,0
20,543,297,73,0
0,1036,470,103,0
0,536,302,46,7
7,906,331,64,0
0,1200,505,181,0
0,1049,383,66,0
0,1305,528,152,0
0,577,346,33,0
14,498,273,75,0
0,828,398,118,0
1,937,413,121,0
17,471,286,56,0
0,635,352,40,7
0,918,343,65,0
0,491,271,44,7
0,1053,376,63,7
2,646,338,21,0
0,1070,466,96,7
3,1057,384,63,0
0,895,329,79,7
2,1011,387,77,0
1,626,343,27,0
44,1037,425,159,0
0,807,433,77,0
0,1106,449,173,0
5,471,270,71,0
0,1044,427,161,0
0,967,404,132,0
1,1069,445,181,0
0,430,258,53,0
0,601,277,13,7
0,630,315,21,7
0,792,413,71,0
0,1213,500,181,0
0,667,288,25,7
0,883,385,87,7
6,729,353,93,0
0,1041,426,157,0
22,557,308,76,0
0,997,497,116,0
2,855,395,75,0
0,566,315,75,0
0,1128,457,177,0
0,1034,472,103,0
3,830,400,79,0
0,1137,462,177,0
1,996,543,135,0
2,946,409,129,0
0,688,424,78,7
24,497,285,52,7
0,580,337,28,0
0,443,269,36,0
13,678,415,80,0
0,647,355,23,7
0,763,406,68,7
19,535,298,72,0
10,927,407,126,0
3,1039,394,78,0
0,742,346,76,0
0,836,397,121,0
1,451,265,56,0
1,627,341,26,0
4,670,327,84,0
0,995,500,121,0
0,965,371,78,0
0,1254,525,152,0
0,556,333,32,0
0,869,329,70,0
0,472,284,32,7
27,518,300,54,0
1,986,376,69,0
0,680,420,78,7
0,555,306,76,0
2,841,327,76,0
0,442,282,58,7
6,472,276,72,0
9,807,326,87,0
0,832,331,82,0
2,978,529,133,0
8,453,269,72,0
0,1093,444,180,0
5,1052,402,76,7
0,902,330,68,0
1,640,359,23,0
0,565,314,73,0
2,1181,526,183,0
1,656,336,21,0
1,556,307,78,7
33,816,379,76,0
1,705,344,85,0
13,469,269,46,0
27,713,336,77,0
0,491,290,54,0
0,989,534,133,0
0,502,283,49,0
0,1079,448,178,0
0,699,340,85,0
3,805,421,76,0
6,493,266,40,0
0,958,408,130,0
0,1133,459,175,0
2,846,324,76,0
2,440,271,31,0
1,990,371,61,0
26,674,322,79,0
1,1214,521,150,0
0,1008,414,149,0
1,938,331,76,0
0,979,544,138,0
1,939,523,131,0
7,840,406,115,0
15,487,276,43,0
0,1036,479,104,0
0,653,294,26,7
0,824,397,114,0
0,831,490,124,7
0,990,377,68,0
24,497,285,52,7
1,1003,387,66,0
0,997,497,115,0
0,835,398,121,0
0,999,537,135,0
24,553,312,77,0
0,608,259,15,0
13,774,388,72,0
0,692,324,28,7
3,1003,381,75,0
4,988,375,69,0
2,1007,385,76,0
0,1015,411,76,0
0,680,419,78,0
3,821,481,115,0
0,447,274,37,0
2,934,418,129,0
2,954,350,57,0
0,997,500,117,0
0,521,310,43,7
0,884,323,70,0
0,650,354,23,7
0,1073,441,179,0
0,1032,472,103,7
0,1062,436,167,0
0,694,325,78,0
0,978,543,137,0
0,960,404,130,0
1,996,373,63,0
0,934,409,127,0
0,543,314,27,7
0,841,328,77,0
21,544,301,74,0
3,843,394,73,0
1,666,309,18,0
20,432,260,53,0
0,962,391,70,0
0,1068,438,175,0
2,1016,396,71,0
0,1204,519,175,0
0,668,295,41,0
0,483,278,77,7
20,966,407,133,0
0,699,342,85,0
4,1027,486,103,0
0,969,352,55,0
0,974,547,143,0
6,1043,457,96,0
0,586,272,14,7
0,581,338,29,7
0,1178,482,177,0
0,921,346,65,0
0,854,411,84,7
0,973,552,143,0
10,845,407,127,0
0,1015,410,76,0
0,1091,448,174,0
0,816,421,88,0
0,1017,551,139,7
0,1301,527,151,0
0,940,411,121,7
0,995,384,66,0
0,529,223,8,7
0,814,392,78,7
43,476,277,75,0
1,1253,526,149,0
0,1024,487,105,7
3,466,265,69,0
2,568,344,32,0
10,816,430,84,0
5,1021,427,82,0
0,495,268,39,0
0,1052,372,63,0
4,1004,387,68,0
1,898,388,69,7
2,1056,378,63,7
1,758,371,102,0
0,589,286,40,7
0,608,255,14,0
10,930,406,126,0
2,431,266,68,0
0,592,318,78,0
2,845,408,127,0
0,829,471,111,0
1,1000,540,135,7
0,992,368,62,0
0,820,392,74,0
1,979,530,133,0
2,429,264,67,0
0,960,402,130,0
0,938,409,126,0
14,560,307,78,7
0,649,298,26,0
0,691,313,89,7
0,963,362,72,0
0,1051,377,63,0
1,1181,505,180,0
0,851,389,78,7
0,1104,449,182,0
0,850,396,78,7
2,1049,402,76,7
0,996,500,122,0
2,490,271,41,0
4,864,319,76,0
0,960,403,130,0
1,989,377,70,0
0,763,359,74,0
0,1012,383,68,0
0,665,311,18,7
0,974,376,80,0
8,939,412,121,7
0,854,379,81,0
7,928,406,128,0
0,746,349,76,7
0,747,348,75,7
0,1163,482,176,0
7,497,272,40,0
3,788,385,110,0
0,575,343,31,0
0,1090,446,174,0
17,481,286,55,0
2,870,400,78,0
0,1194,531,188,0
3,772,389,72,7
0,624,270,13,7
1,697,316,90,0
0,1209,522,171,0
0,1177,511,182,0
0,457,279,59,0
2,1243,522,149,0
0,935,511,129,0
1,488,288,54,0
0,761,372,103,0
0,512,292,50,0
0,972,522,131,0
0,626,315,80,0
0,1181,515,183,0
2,841,325,76,0
0,837,487,123,0
0,844,395,74,7
0,847,324,76,0
0,927,408,128,7
10,775,388,75,7
23,489,284,51,7
7,1328,520,149,0
0,1052,424,161,7
47,1041,425,160,0
0,1214,523,150,0
4,489,268,43,0
0,454,270,55,7
0,1257,526,160,0
0,811,418,88,0
0,930,386,69,0
3,863,387,74,0
0,769,376,102,0
0,820,392,74,0
0,991,414,145,0
0,641,354,23,0
0,655,264,7,7
345,578,309,9,7
0,694,267,8,7
342,646,256,7,7
0,468,212,84,0
0,577,303,8,7
0,530,316,14,7
0,545,275,3,7
308,656,297,9,7
0,711,289,9,7
320,444,45,0,7
360,701,267,8,7
0,576,270,30,7
248,617,255,4,7
0,467,112,0,7
0,493,225,78,0
0,753,283,8,7
372,654,255,10,7
329,524,305,7,7
0,639,251,7,7
0,592,272,43,7
0,515,235,126,0
0,579,276,13,7
0,674,310,10,7
179,494,207,96,7
0,782,388,76,0
0,676,267,4,7
0,590,303,155,7
0,670,289,10,7
0,1027,442,86,7
359,577,303,8,7
0,416,178,94,7
348,640,250,8,7
14,1049,403,76,0
0,549,261,25,7
306,568,245,9,7
13,718,325,7,7
0,617,288,9,7
0,601,299,7,7
380,768,289,8,7
0,487,237,12,0
361,599,244,1,7
339,695,287,10,7
370,645,274,9,7
414,710,280,11,7
368,721,304,9,7
0,595,291,7,7
346,634,247,9,7
43,582,299,171,7
0,645,261,6,7
358,578,304,8,7
397,707,263,11,7
387,716,286,7,7
0,921,335,83,0
398,697,272,11,7
268,586,301,171,7
0,468,211,84,0
30,591,333,29,7
0,320,119,0,7
252,306,91,0,7
316,566,254,11,7
0,688,405,78,7
5,507,289,6,7
0,609,274,11,7
308,381,120,0,7
292,488,296,7,7
0,506,297,5,7
0,933,511,129,7
385,641,253,3,7
11,828,424,83,0
2,685,271,7,7
0,704,272,11,7
0,596,234,9,7
0,571,296,87,7
315,516,282,6,7
241,320,58,0,7
0,739,289,8,7
322,569,263,11,7
0,697,273,2,7
325,569,276,13,7
0,681,261,2,7
366,691,271,8,7
245,321,121,2,7
0,624,293,14,7
0,568,264,10,7
221,546,267,6,0
0,551,279,3,7
0,713,288,8,7
0,691,266,4,7
0,605,241,2,7
325,645,257,6,7
215,256,86,0,7
0,450,274,40,0
0,555,280,5,7
91,678,267,2,7
0,178,116,3,7
0,168,110,3,7
0,556,281,5,7
213,571,262,5,7
0,614,329,8,0
235,543,261,160,0
0,660,267,4,7
0,630,241,9,7
339,595,251,11,7
385,728,324,6,7
0,735,269,7,7
0,569,263,10,7
0,738,289,8,7
0,623,292,16,7
364,602,276,2,7
359,700,270,8,7
0,416,174,97,7
0,554,268,187,7
267,620,246,2,7
220,538,262,6,0
45,544,262,45,7
379,769,292,8,7
0,493,224,83,0
0,595,276,2,7
0,710,288,8,7
0,674,267,4,7
0,664,351,12,7
363,637,296,10,7
0,601,277,2,7
73,713,283,14,0
0,620,252,10,7
0,520,243,157,7
0,644,275,10,7
240,322,63,0,7
0,328,103,0,7
52,548,328,30,7
0,651,256,8,0
350,685,272,8,7
0,623,248,1,7
0,560,263,10,7
391,713,318,6,7
0,595,341,11,7
0,584,253,8,7
264,617,246,2,7
0,538,258,162,7
184,539,259,45,7
0,724,293,10,7
268,578,281,187,7
0,378,176,9,7
338,661,268,7,7
0,510,302,5,7
0,524,252,164,7
0,668,266,4,7
0,681,322,20,0
0,180,107,3,7
22,634,359,17,7
93,680,269,2,7
0,1070,467,96,7
370,723,289,10,7
0,518,301,8,7
52,646,316,29,0
55,494,223,79,7
0,716,289,8,7
420,673,361,13,7
297,479,286,5,7
278,683,273,2,7
231,314,67,0,7
0,597,280,2,7
0,675,301,3,7
0,581,270,13,7
0,437,29,0,7
0,496,291,5,7
0,302,145,7,7
0,624,350,12,7
269,623,246,2,7
308,576,232,10,7
0,645,301,9,7
0,699,273,1,7
0,617,255,8,7
0,605,276,10,7
0,510,285,6,7
0,663,297,42,0
367,691,267,7,7
0,532,277,3,7
0,614,273,2,7
378,672,271,4,7
0,227,120,2,0
0,697,269,4,7
53,576,272,15,7
296,483,283,5,7
0,298,78,0,7
52,647,318,32,0
0,698,270,4,7
358,705,314,8,7
0,518,312,16,7
0,573,294,82,7
0,554,261,70,7
381,727,300,9,7
0,642,283,2,7
0,508,285,50,0
127,416,175,97,7
0,712,318,6,7
315,565,253,11,7
0,553,262,10,7
0,697,324,7,7
335,615,321,25,7
0,665,272,11,7
0,490,281,48,0
0,498,229,126,0
0,452,104,0,7
385,716,326,7,7
365,623,259,3,7
59,584,270,44,7
0,178,115,3,7
243,569,276,40,7
210,494,229,75,0
0,328,55,0,7
0,597,277,2,7
0,639,332,11,7
340,437,97,0,7
0,578,301,126,7
349,581,312,9,7
283,399,2,0,7
0,600,306,9,7
122,168,107,3,7
0,447,99,0,7
0,583,252,8,7
0,729,289,6,7
345,638,252,8,7
0,325,156,7,7
236,591,265,4,7
0,715,287,8,7
0,178,115,3,7
328,597,314,24,0
317,513,304,5,7
386,711,282,7,7
0,437,15,0,7
0,553,279,4,7
309,425,10,0,7
122,442,201,90,7
0,749,296,4,7
0,668,358,12,7
402,651,360,12,7
393,702,265,11,7
0,709,280,10,7
0,647,257,6,7
0,534,257,6,7
412,709,273,12,7
195,572,265,44,7
0,595,250,2,7
342,547,299,8,7
327,610,317,25,0
0,653,255,2,7
0,770,291,8,7
0,606,344,11,7
0,517,289,41,0
328,408,130,0,7
0,600,254,11,7
0,528,301,12,7
0,520,295,53,0
0,556,300,8,7
0,528,316,15,7
0,741,294,4,7
0,615,245,2,7
0,426,187,91,7
0,536,307,7,7
0,687,320,8,7
0,697,273,7,7
309,425,12,0,7
0,729,299,9,7
0,661,274,11,7
0,639,251,7,7
0,648,261,6,7
310,585,232,9,7
0,632,249,7,7
0,660,274,9,0
0,642,253,7,7
0,552,328,13,0
0,540,261,45,7
0,595,301,156,7
0,615,282,9,7
0,580,275,33,7
0,590,272,19,7
0,567,234,8,0
0,836,429,82,0
35,560,323,30,7
0,702,270,11,7
0,490,285,50,0
0,610,344,12,7
353,674,265,7,7
0,632,361,19,7
58,519,265,64,7
342,659,263,6,7
0,704,270,7,7
330,537,306,7,7
213,571,263,5,7
0,342,107,0,7
0,484,284,6,7
245,323,60,0,7
202,488,230,93,0
22,726,325,6,7
133,455,207,90,7
58,526,249,159,7
223,524,251,164,7
0,548,264,171,7
0,600,275,11,7
0,642,251,3,7
0,484,281,5,7
0,184,113,2,7
261,595,292,60,7
0,626,288,10,7
267,620,247,2,7
0,725,319,6,7
73,392,175,10,7
0,617,321,23,7
0,564,277,37,7
372,714,290,9,7
0,725,285,6,7
254,567,284,90,7
0,690,267,11,7
0,718,289,8,7
0,525,234,104,7
0,621,289,9,7
0,330,98,0,7
0,199,126,2,7
343,614,303,6,7
289,486,297,6,7
215,496,222,79,7
0,552,282,3,7
390,674,297,3,7
0,519,315,14,7
0,664,252,9,7
24,602,319,26,0
75,501,232,98,7
0,1017,428,82,0
0,601,296,7,7
354,583,316,9,7
0,432,194,91,7
0,602,300,7,7
0,409,119,0,7
0,664,293,3,7
0,560,267,22,0
0,521,267,67,7
0,588,295,69,7
0,595,252,11,7
358,605,251,1,7
2,598,289,7,7
0,732,280,8,7
0,1256,522,151,0
0,426,188,94,7
0,535,278,3,7
66,598,342,29,0
0,693,271,8,7
0,675,287,11,7
14,717,282,4,7
0,165,109,2,7
0,547,262,25,7
317,675,293,10,7
0,675,310,10,7
252,559,274,187,7
0,239,120,4,7
62,602,317,24,0
0,676,287,11,7
0,528,254,57,0
392,671,299,3,7
0,443,100,0,7
0,640,242,7,7
0,199,127,2,7
374,724,291,10,7
