@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
396,23,913,408,14
172,0,501,140,0
342,0,863,356,0
298,26,753,311,0
171,8,501,141,0
365,6,944,395,0
238,4,616,236,0
159,0,472,126,14
398,5,931,412,0
324,0,828,330,0
171,0,510,152,14
340,14,926,371,0
332,5,912,352,0
140,8,414,97,0
273,4,755,297,0
334,14,902,356,0
239,0,627,241,0
336,61,882,351,0
273,31,694,278,0
71,0,143,9,14
117,1,294,37,0
77,0,183,7,14
334,18,806,347,0
193,11,563,183,0
309,37,808,314,0
211,18,575,202,0
335,29,897,355,0
119,2,297,42,0
204,27,579,196,0
330,35,803,342,0
295,9,740,306,0
119,1,266,9,14
354,8,828,364,0
289,9,729,301,0
298,26,754,311,14
294,48,798,304,0
320,25,821,334,0
280,8,699,285,0
138,0,373,74,0
357,37,890,380,0
177,16,520,160,0
392,27,896,402,0
340,1,907,359,0
345,37,918,379,0
324,0,796,335,0
371,0,883,382,0
293,5,768,308,0
276,7,761,300,14
339,36,922,369,0
398,13,925,411,0
330,4,920,349,14
321,35,822,329,0
196,18,559,183,0
300,1,770,314,0
140,0,365,71,14
251,24,644,250,0
360,0,847,370,0
356,0,837,364,0
343,37,912,376,0
129,6,324,57,14
379,0,901,395,0
271,40,750,297,0
338,4,898,351,0
211,4,574,202,0
294,0,736,305,0
272,23,748,295,0
372,45,888,387,0
355,33,891,374,0
367,54,944,392,0
102,0,268,8,14
340,31,869,356,14
241,12,621,239,0
329,5,906,350,0
100,1,236,11,0
294,3,784,307,0
276,22,753,298,0
280,17,698,285,0
288,4,762,305,0
370,3,897,384,0
348,34,876,364,0
317,33,805,332,0
152,14,452,118,0
331,9,916,352,0
349,0,880,367,0
357,23,891,380,0
334,13,897,351,0
359,42,892,380,0
241,6,617,240,0
305,49,762,319,0
378,18,894,390,0
183,10,546,172,14
344,36,916,379,0
377,25,892,390,0
399,47,926,409,14
350,29,883,367,0
381,1,908,397,14
339,32,902,352,0
331,37,871,344,0
351,0,885,367,0
332,2,903,363,0
280,3,749,298,0
396,12,918,408,0
283,7,776,307,0
337,30,887,352,0
107,3,246,15,0
287,44,723,297,0
231,22,604,231,0
305,38,803,312,14
189,4,556,178,0
304,49,799,311,0
106,0,278,26,0
359,17,848,369,0
306,36,769,320,0
288,41,754,299,0
327,6,916,353,0
319,39,815,327,0
335,26,879,350,0
205,5,583,197,0
102,3,266,21,0
387,0,907,400,0
349,1,921,382,0
183,4,533,166,0
383,0,900,388,0
171,0,514,153,0
355,2,885,369,0
279,37,763,302,0
339,39,924,369,0
185,18,551,175,0
287,44,721,297,0
398,23,931,412,0
390,8,895,400,14
331,14,901,362,0
239,11,621,239,0
370,27,896,384,0
137,9,424,103,14
266,34,678,271,0
316,15,810,330,0
185,2,534,168,0
340,32,906,358,0
168,1,499,143,14
336,23,906,370,0
102,3,245,15,14
374,4,898,386,0
291,3,799,305,0
384,0,897,386,0
179,8,526,164,14
316,53,810,321,0
347,50,879,363,0
275,7,696,280,0
399,0,928,408,14
332,8,879,345,0
257,32,666,262,0
290,8,760,303,0
399,4,932,413,14
238,2,624,240,0
334,52,812,347,0
123,4,305,46,14
270,1,740,291,14
105,9,249,19,0
341,31,896,359,14
377,0,894,390,0
131,14,331,58,0
329,0,859,342,0
210,27,572,201,0
78,1,191,6,14
231,0,605,231,0
224,24,592,225,0
293,36,799,303,0
291,4,801,303,0
58,1,116,20,14
365,55,948,393,0
365,11,860,374,14
385,2,890,395,0
364,28,887,383,0
365,0,861,375,0
359,7,888,379,0
186,4,535,169,0
364,19,888,383,0
340,27,871,359,0
363,0,891,379,0
198,25,568,185,0
239,12,625,241,0
396,47,926,410,0
351,47,889,370,0
99,0,173,14,14
383,1,900,391,14
386,9,901,398,0
319,15,788,330,0
282,42,709,290,0
339,30,905,357,0
359,42,847,369,0
350,22,923,385,0
373,9,894,389,0
329,3,915,349,0
366,0,946,393,0
288,42,757,300,0
287,35,759,304,14
193,9,557,180,0
337,59,890,348,0
166,25,496,134,0
198,19,560,185,0
212,19,582,209,0
280,8,740,297,14
351,24,882,367,0
399,24,929,408,14
99,4,230,9,0
313,14,783,328,0
289,46,725,299,0
341,1,887,353,0
230,10,601,230,0
338,0,905,371,0
353,29,888,369,0
281,6,751,301,0
287,44,794,303,0
338,16,905,370,0
324,32,798,335,0
333,0,807,345,0
342,5,822,353,14
287,44,796,302,0
330,3,905,351,0
316,8,791,330,0
330,25,869,343,0
366,0,892,384,0
133,0,350,62,0
376,1,892,393,14
270,39,742,292,0
337,2,907,370,0
149,8,397,87,0
324,57,827,330,0
373,30,895,389,0
142,6,374,78,0
198,19,577,188,0
119,0,298,42,14
370,0,897,384,0
329,0,857,342,0
253,13,647,252,0
199,2,569,186,0
363,23,886,376,0
281,41,705,289,0
319,15,789,330,0
329,9,922,349,0
370,41,890,384,14
309,5,808,316,0
396,11,905,406,14
225,8,592,226,0
400,0,932,409,0
145,2,385,81,0
96,0,267,19,14
279,32,697,284,0
140,2,362,71,0
380,30,904,396,0
140,6,374,76,0
138,0,368,69,14
289,3,779,302,14
71,0,179,5,0
101,7,245,14,0
330,51,807,343,0
230,11,600,230,0
376,42,892,387,0
378,30,898,394,0
338,16,864,354,0
314,9,807,314,0
260,19,673,265,0
350,31,881,365,0
330,28,921,349,0
341,18,872,360,0
106,10,279,26,0
358,10,843,368,0
336,35,818,349,0
336,35,908,370,0
245,26,636,249,0
348,12,822,355,0
359,42,893,380,0
83,0,183,8,14
80,0,121,23,0
360,11,855,369,14
330,38,877,344,0
374,39,889,381,0
159,16,475,126,0
116,6,289,36,14
319,4,790,330,0
226,4,594,227,0
202,12,578,193,0
199,25,573,187,0
340,0,927,372,0
316,33,810,330,0
122,0,263,10,14
272,1,749,294,0
357,9,835,364,0
335,4,894,352,0
333,11,915,354,0
131,1,331,58,14
117,0,297,37,0
376,29,891,382,0
360,42,857,370,0
371,31,953,394,0
360,32,885,377,0
276,25,752,296,0
309,51,802,314,0
135,0,353,66,14
336,31,898,353,0
351,24,938,382,0
348,1,876,363,14
186,3,553,176,0
399,0,926,409,0
290,44,761,304,0
309,24,783,319,0
326,30,901,348,0
277,28,748,294,0
146,0,404,88,14
269,12,680,273,0
98,0,163,13,14
358,10,841,366,0
330,4,909,351,14
281,34,750,302,0
313,21,805,313,0
229,0,599,229,0
356,8,942,388,0
278,43,769,302,0
147,18,393,84,0
374,0,897,386,0
124,0,147,51,14
338,4,900,358,14
356,22,832,363,0
111,0,286,29,0
213,8,585,211,0
333,28,896,352,0
118,0,261,7,0
266,26,680,271,0
225,7,591,226,0
366,0,864,376,14
245,26,634,249,0
357,52,943,389,0
110,1,258,9,14
357,44,888,377,0
197,7,560,184,0
336,61,884,351,0
315,37,801,328,0
138,1,369,69,14
354,0,889,369,0
367,0,883,382,0
339,6,870,356,0
84,1,129,26,0
57,0,114,19,14
335,56,902,353,0
197,6,565,184,0
83,0,182,8,0
164,1,484,130,0
399,48,930,412,0
352,13,885,370,0
330,10,917,352,0
325,4,925,347,0
150,0,412,92,14
338,0,903,371,0
343,19,915,376,0
282,9,712,290,14
166,25,497,134,0
149,1,418,94,0
289,3,793,303,0
269,35,682,274,0
170,14,507,149,0
299,38,777,316,0
336,30,898,356,0
306,50,766,320,0
368,27,888,384,0
185,6,552,175,0
127,1,310,51,14
105,0,275,23,14
184,3,543,173,0
332,0,902,363,0
119,0,271,9,14
199,4,572,187,14
325,24,843,335,0
147,10,400,88,0
324,15,915,350,0
365,41,895,382,0
245,26,635,249,0
143,20,442,109,0
381,0,910,397,0
137,7,359,67,0
339,57,900,354,0
392,11,898,402,0
346,24,824,355,0
279,8,757,302,0
332,3,905,364,0
101,5,239,12,0
357,15,841,366,0
103,3,246,17,14
346,37,811,354,0
185,1,550,175,0
332,37,915,353,0
149,1,410,91,0
368,28,878,381,0
318,1,813,325,14
138,8,365,70,0
333,10,915,354,0
374,41,888,385,0
374,9,888,385,0
307,29,776,323,0
351,24,928,381,0
371,59,948,393,0
140,0,364,71,14
247,8,640,248,0
358,6,841,368,0
298,0,775,316,0
288,8,776,301,0
150,2,418,95,0
272,2,746,297,14
92,0,230,7,0
319,23,818,327,0
285,37,768,297,0
146,4,417,97,0
358,9,939,387,0
159,0,473,126,14
396,3,922,408,0
109,0,281,28,0
369,30,945,397,0
337,5,909,370,0
293,6,762,304,0
291,4,800,303,0
334,2,915,361,0
140,19,439,106,0
128,14,313,56,14
355,0,885,371,0
295,7,736,305,14
340,8,926,371,0
279,0,755,303,0
124,12,308,47,0
353,17,941,383,0
348,14,917,381,0
340,7,905,358,0
320,28,821,335,0
351,16,938,381,0
396,5,916,408,14
198,24,561,185,0
112,5,287,30,0
329,8,908,347,0
299,0,778,316,0
367,0,875,380,0
104,3,247,20,0
241,6,615,240,14
140,5,430,105,0
273,22,749,297,0
287,2,760,304,0
322,3,923,346,0
360,0,853,370,14
295,0,746,307,0
319,5,790,330,0
376,49,892,382,0
270,36,685,275,0
331,9,917,356,0
324,32,797,335,0
345,0,824,358,0
125,3,306,49,0
338,7,921,368,0
242,15,619,241,0
329,58,863,341,0
282,9,711,290,0
381,3,909,397,0
306,5,768,320,0
140,1,416,97,0
326,54,917,351,0
179,7,527,164,14
336,23,898,367,0
347,0,816,356,0
346,3,811,354,14
348,40,821,355,0
255,14,651,254,0
184,6,548,174,0
286,2,764,300,0
325,34,799,336,0
103,9,273,23,0
369,6,896,383,0
231,30,604,231,0
286,43,718,295,0
276,43,764,300,0
339,12,895,358,0
93,0,155,10,14
323,29,825,331,0
359,8,846,369,0
338,26,867,355,0
270,36,684,275,0
325,0,839,335,14
319,39,816,327,0
347,32,876,363,0
140,5,435,106,0
293,35,743,305,0
378,3,897,390,14
278,0,747,293,0
366,0,883,382,14
238,12,617,238,0
373,30,885,391,0
354,26,939,384,0
105,7,245,15,0
368,24,879,381,0
146,0,405,88,14
168,2,498,140,0
135,1,353,62,0
212,0,583,209,14
339,17,871,356,0
212,7,584,209,0
273,36,737,292,0
344,24,913,379,0
341,0,891,355,0
336,3,880,351,0
99,0,170,14,14
145,1,377,79,14
367,33,885,383,0
363,2,942,394,0
337,7,889,348,0
396,0,920,408,14
272,30,691,276,0
231,0,603,231,14
298,26,752,311,0
338,17,893,365,0
260,33,670,265,0
133,0,149,66,14
94,0,226,5,0
283,23,753,301,0
311,52,802,316,0
327,12,917,354,0
325,37,837,335,0
356,39,829,362,0
210,4,567,201,0
298,26,751,311,0
253,15,648,252,0
319,34,806,333,0
282,8,752,299,0
332,25,807,346,14
301,9,756,314,14
293,45,765,306,0
278,2,768,302,0
372,43,890,384,0
238,22,621,240,0
102,0,142,51,14
313,8,806,313,0
282,29,754,299,0
176,1,520,159,0
142,9,374,78,0
279,37,756,303,0
281,1,751,299,0
271,36,690,275,0
138,1,368,69,0
99,0,231,9,0
343,29,893,356,0
210,27,581,201,0
256,3,657,260,0
113,1,285,30,0
216,9,586,213,0
240,8,619,240,0
209,6,579,204,0
220,28,591,218,0
398,23,930,412,0
59,0,108,17,14
298,2,799,308,0
368,26,897,383,0
137,1,365,68,14
140,1,419,97,0
379,44,898,394,0
325,11,803,337,14
306,7,770,320,0
330,7,909,348,0
238,4,616,238,0
337,9,910,370,0
166,27,497,143,0
336,6,880,351,0
344,31,895,358,0
343,0,894,356,0
308,3,780,324,0
301,38,800,311,0
136,1,362,67,0
372,45,887,386,0
348,10,923,383,0
338,40,897,351,0
292,9,764,305,0
338,23,892,367,0
69,0,162,7,14
383,1,898,393,0
337,41,886,352,0
356,14,837,365,14
312,21,798,311,0
224,24,591,225,0
282,34,751,302,0
164,0,490,132,0
371,0,950,396,0
314,32,810,329,0
211,23,573,202,0
324,0,830,330,0
247,8,639,247,14
339,3,901,352,0
117,1,293,37,0
340,8,925,370,0
364,16,870,378,0
367,45,883,383,0
346,37,811,354,0
286,44,789,300,0
155,9,458,122,0
238,11,620,238,0
348,13,826,358,0
343,1,882,353,0
372,46,892,384,0
165,1,486,132,0
341,0,907,374,0
329,0,917,348,0
325,57,928,348,0
372,44,882,389,0
145,5,443,111,0
150,1,449,116,14
283,24,754,302,0
289,3,791,303,0
116,0,287,35,14
399,24,931,408,0
100,2,228,7,0
318,9,807,332,14
131,0,327,58,0
333,11,809,346,0
272,38,745,297,14
183,4,529,165,0
383,26,898,393,0
273,1,740,292,14
274,35,741,297,0
132,15,332,59,0
280,2,756,304,0
313,22,784,328,0
127,0,319,56,0
130,0,313,54,0
286,44,768,298,0
294,48,736,306,14
386,29,893,396,0
274,1,742,297,14
368,44,877,381,0
324,50,795,334,0
336,38,901,352,0
168,6,498,140,0
367,18,873,380,0
373,10,883,390,0
179,3,525,164,0
356,8,834,363,0
121,0,304,43,0
283,5,777,307,0
353,2,883,369,0
290,45,799,303,0
351,43,884,367,0
273,0,754,297,14
110,0,283,29,0
133,4,345,62,0
273,4,748,293,0
330,38,806,343,0
287,7,792,303,0
212,0,579,208,0
334,13,812,347,14
398,4,933,412,0
164,11,497,143,0
372,0,903,389,0
120,0,274,10,14
113,4,171,66,0
70,1,157,36,0
127,0,210,17,14
74,7,122,24,0
69,0,152,37,14
126,15,147,51,14
62,0,86,0,14
54,0,101,13,0
111,4,197,16,0
89,0,127,9,14
39,0,75,17,14
94,1,158,10,14
130,0,137,54,0
120,5,160,68,14
120,19,166,70,14
69,0,124,24,14
99,1,128,43,0
98,0,162,13,14
74,0,128,23,14
115,3,191,15,14
30,0,62,2,14
76,7,115,19,0
69,0,157,37,14
80,4,118,22,0
67,14,138,28,14
124,15,149,52,0
71,1,152,33,14
124,17,145,51,14
69,0,153,37,0
60,0,114,13,14
126,0,205,17,14
114,14,162,67,0
113,15,143,44,14
121,5,141,47,0
39,0,100,3,14
127,14,145,62,0
97,22,125,43,0
112,4,199,17,14
84,0,121,7,0
79,0,128,25,14
98,0,164,13,0
80,0,123,14,14
29,0,72,2,14
110,15,133,49,0
46,0,76,0,14
140,22,169,75,0
108,0,134,43,0
34,0,86,2,14
40,1,104,3,14
91,13,152,50,0
113,0,133,48,0
94,1,149,46,14
92,0,216,6,0
119,39,148,66,0
52,0,129,10,0
124,11,150,70,0
103,22,150,53,0
374,0,892,391,14
109,1,181,14,14
79,0,118,24,0
128,2,142,53,14
124,4,203,15,0
106,18,129,44,0
69,18,152,37,14
81,4,150,41,0
50,2,125,9,14
119,39,162,66,0
25,0,64,1,14
129,0,209,18,14
127,0,144,63,14
121,19,161,68,14
114,17,142,45,14
62,0,89,0,14
51,0,91,0,14
120,2,145,51,14
71,4,119,22,0
116,37,165,69,14
74,0,133,20,14
64,13,136,26,14
134,13,132,60,0
70,3,142,30,0
129,3,203,17,0
116,16,136,45,14
67,14,138,28,14
88,1,100,2,14
120,20,149,52,0
83,0,125,23,0
76,0,90,1,14
67,2,125,24,14
112,35,146,62,0
41,0,68,0,14
127,3,209,17,14
114,7,163,68,14
101,0,196,27,0
130,7,137,58,0
83,0,156,43,0
70,1,148,32,14
62,0,117,14,0
119,39,147,64,0
329,2,904,350,0
40,1,111,3,14
64,9,137,26,0
129,6,138,54,0
81,19,149,42,14
134,0,137,60,14
79,0,97,1,14
102,20,149,50,0
116,7,163,66,0
327,0,902,349,14
27,0,65,0,14
81,1,148,42,14
120,0,135,46,0
86,0,122,24,14
329,0,921,349,14
62,0,86,0,14
103,18,150,50,0
79,5,127,27,14
150,0,412,92,0
119,0,140,43,0
60,0,115,14,0
61,0,92,0,14
139,0,370,71,0
50,5,128,9,14
105,0,131,44,0
87,0,169,11,0
65,0,116,19,14
77,2,120,24,14
41,0,117,3,14
40,1,102,3,14
57,4,111,7,0
36,0,95,3,14
100,2,159,12,14
0,0,15,15,0
69,3,120,22,0
86,0,97,2,14
101,8,148,50,14
66,2,108,15,14
