@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
29,353,95,30
0,158,5,30
2,335,6,30
6,301,11,30
0,216,14,30
0,339,19,30
0,203,2,30
2,206,7,30
0,353,127,30
0,169,6,30
0,149,22,30
5,187,6,0
2,248,35,30
0,328,27,0
1,300,57,30
0,342,16,30
2,299,24,30
0,174,1,30
4,330,28,30
0,161,1,30
0,218,6,30
1,219,34,30
0,195,3,30
6,135,6,30
0,347,20,30
0,167,5,30
0,157,10,30
2,247,8,30
0,227,8,0
1,160,7,30
0,333,16,30
0,157,6,30
0,172,8,30
0,176,1,30
1,284,7,30
4,301,28,0
0,342,10,30
239,324,40,30
0,200,1,30
12,117,29,30
0,338,8,30
0,329,20,0
0,132,6,30
0,179,7,30
0,184,4,30
1,217,4,30
2,314,21,30
0,264,37,30
2,300,9,30
0,156,6,30
1,92,4,30
13,150,27,30
0,174,1,30
0,202,6,30
4,181,7,30
0,214,7,30
0,270,20,0
3,161,21,30
11,299,46,30
11,297,51,0
170,277,90,30
1,188,4,30
0,301,6,30
2,92,2,30
3,297,37,30
0,326,5,30
72,347,35,30
2,325,27,30
0,148,1,30
15,320,99,0
0,206,9,30
7,247,20,30
14,137,29,0
6,316,40,30
61,283,13,30
34,314,103,0
0,149,37,30
0,189,6,30
0,246,8,30
0,159,7,0
0,219,14,30
1,105,29,30
31,298,52,30
2,123,3,30
0,288,24,30
0,193,8,30
1,208,9,30
1,170,2,30
0,218,4,30
62,303,22,30
6,150,13,30
0,347,17,30
0,96,6,30
0,179,4,30
0,152,2,30
0,286,29,30
0,218,9,30
2,309,6,30
5,380,80,30
5,335,10,30
18,182,33,30
66,318,5,30
18,300,34,30
5,350,10,30
0,140,32,30
0,184,4,30
8,297,64,30
0,131,6,30
12,343,35,30
0,182,9,30
0,370,9,30
13,90,4,0
0,333,33,30
28,329,81,0
0,348,121,30
3,246,9,30
1,319,20,30
0,200,3,30
0,176,1,30
0,283,23,30
0,295,7,30
0,178,8,30
8,329,39,30
1,260,9,30
1,157,5,30
2,303,41,30
6,356,13,30
1,304,7,30
9,288,19,0
0,137,30,30
0,189,7,0
2,244,20,30
1,158,2,30
0,342,19,30
2,276,77,30
0,243,2,30
0,301,11,30
3,305,31,30
1,337,9,30
10,251,18,30
0,82,6,30
1,149,1,30
1,264,51,30
12,333,34,30
1,156,6,0
0,332,10,30
236,318,52,0
0,289,20,30
8,334,36,30
0,346,91,30
9,297,33,30
0,284,54,30
0,210,4,30
0,170,34,30
12,332,35,30
0,173,8,30
0,244,9,30
0,173,8,30
1,360,27,30
0,145,1,30
0,214,6,30
2,336,11,30
2,280,7,30
0,71,2,30
0,283,35,30
0,186,6,0
2,166,5,30
1,306,6,0
0,291,11,30
71,284,29,0
0,193,9,30
2,198,5,30
0,104,9,30
0,262,32,30
14,323,40,0
0,285,21,30
0,325,20,30
2,57,2,30
3,293,11,30
6,182,34,30
0,181,7,30
3,354,13,30
12,328,83,0
4,370,28,30
1,193,7,30
0,296,8,0
0,182,1,30
5,299,24,0
0,176,1,30
23,352,114,30
2,188,11,30
1,180,6,30
0,316,34,30
0,271,14,30
0,177,9,30
6,353,13,30
13,291,34,0
6,185,7,30
1,338,12,30
6,345,28,30
0,294,10,30
0,144,2,30
0,298,50,30
2,350,28,0
6,206,6,30
1,100,11,30
0,297,8,30
3,332,20,30
1,289,25,30
1,159,6,0
0,181,4,30
62,355,92,30
70,256,18,30
2,196,6,30
1,212,4,30
0,308,26,30
2,282,7,30
2,98,5,30
3,272,44,30
0,175,1,30
54,319,36,30
62,350,88,30
2,290,33,30
8,298,24,0
0,26,1,30
0,166,5,30
0,284,10,30
0,305,45,0
0,203,7,0
0,228,13,30
2,125,4,30
0,287,29,0
2,208,9,30
0,190,3,30
0,185,7,30
3,154,6,30
0,295,10,0
9,357,89,30
14,303,48,30
30,329,27,30
0,117,6,30
0,204,8,30
0,233,11,30
0,81,1,30
0,329,10,30
0,298,20,30
0,162,6,0
0,164,7,30
0,142,11,30
0,187,3,0
10,253,18,30
0,164,1,30
1,369,24,30
2,229,13,30
0,159,1,30
0,195,2,30
0,220,7,0
5,350,13,30
1,244,7,30
0,209,2,30
0,96,26,30
0,200,2,30
0,187,4,30
2,205,8,30
10,307,32,30
0,223,6,30
6,320,9,30
0,36,1,30
3,156,11,30
12,299,37,30
17,331,15,30
0,209,9,30
0,337,10,30
2,228,11,30
1,205,7,30
1,271,20,0
236,299,75,30
0,172,1,30
0,227,17,30
0,207,3,0
170,275,98,30
20,168,22,0
4,156,21,30
5,94,6,0
3,149,5,30
0,362,26,30
34,317,92,0
0,97,6,30
0,188,4,30
1,189,2,30
8,293,33,30
1,272,20,0
0,267,18,0
0,153,10,30
15,186,30,0
0,216,9,30
6,137,6,30
239,329,49,30
1,277,90,30
0,208,7,30
0,217,5,30
0,178,1,30
0,54,1,30
5,304,7,30
0,208,6,30
7,198,7,30
3,159,6,30
10,265,18,30
0,136,1,30
0,273,13,30
0,190,3,30
0,212,6,30
0,201,6,30
0,223,7,30
2,195,4,30
0,311,20,30
0,361,27,0
8,294,64,30
12,319,118,30
0,171,5,30
2,217,15,30
2,358,28,30
0,185,8,30
0,329,35,30
0,268,13,30
1,82,3,30
0,141,6,30
2,183,4,0
0,170,7,30
3,295,50,30
2,348,13,30
36,330,82,30
5,305,6,30
1,337,34,0
8,321,53,30
14,307,30,30
1,206,5,30
13,124,28,0
2,221,11,30
1,352,13,30
36,300,8,30
7,246,20,30
0,243,7,30
5,206,3,30
16,298,29,30
0,198,6,30
15,300,49,30
36,309,89,30
30,354,129,30
0,332,12,30
2,210,8,30
0,339,10,30
1,197,6,30
0,188,31,30
0,333,10,30
0,233,9,30
0,197,1,30
0,188,2,30
19,324,33,30
10,265,21,30
20,328,119,30
0,188,3,30
0,205,5,30
2,223,17,30
0,280,22,30
21,283,41,0
2,237,9,30
0,206,10,30
236,319,52,0
3,320,14,30
0,201,8,30
1,170,4,30
141,233,42,30
0,278,22,30
12,97,26,30
0,337,11,30
0,175,7,30
0,99,2,30
1,150,7,30
236,304,62,30
0,185,1,30
0,177,7,30
15,183,30,30
5,286,31,0
16,305,29,30
0,190,8,30
236,286,65,30
4,154,7,30
0,372,24,0
0,233,7,30
0,174,9,30
2,199,5,30
0,283,14,30
0,352,13,30
3,281,68,30
0,206,7,30
0,62,4,30
3,136,29,30
0,132,7,30
2,376,9,30
1,234,8,30
3,266,12,30
2,337,36,30
2,191,6,30
0,206,1,30
61,276,15,30
0,200,2,30
1,97,4,30
0,204,9,30
0,132,11,30
0,370,26,30
3,328,5,30
0,205,1,30
31,312,27,30
6,307,28,30
5,221,15,30
1,152,5,30
4,153,21,30
0,326,34,30
0,352,11,30
6,359,13,30
67,266,18,0
73,336,34,30
31,330,27,30
183,305,6,30
3,297,11,30
6,106,12,0
1,335,11,30
0,197,6,30
0,147,11,30
62,354,92,30
0,154,2,30
4,230,11,30
0,202,1,30
0,184,7,30
159,274,17,30
0,220,17,30
10,250,18,30
53,318,36,30
2,318,15,30
2,296,15,30
2,120,3,30
0,300,58,30
23,349,117,30
3,191,10,30
2,248,8,30
10,302,24,0
0,297,11,30
36,314,106,0
0,164,6,30
0,261,13,30
5,344,84,30
0,133,8,30
0,200,11,30
31,285,51,30
16,308,28,30
0,282,21,0
51,326,39,30
2,210,6,30
0,285,23,30
8,313,55,30
7,299,27,0
0,312,55,30
0,213,9,30
2,283,11,30
0,194,6,30
1,116,10,30
2,316,15,0
0,350,27,30
62,315,52,30
0,306,31,30
10,285,53,30
0,120,15,30
2,99,5,30
0,141,11,30
0,343,56,30
5,219,15,30
1,197,9,30
5,309,21,30
1,376,9,30
0,222,34,30
141,147,6,30
1,235,8,30
0,198,6,30
3,197,8,30
4,311,45,30
3,203,9,30
0,344,18,30
0,274,30,30
4,262,20,0
0,263,14,30
0,249,19,30
0,194,3,30
15,289,59,30
12,342,35,30
0,229,9,30
0,193,11,30
0,316,114,0
0,204,14,30
0,122,17,30
0,175,1,30
2,196,8,30
2,133,8,30
0,242,8,30
0,264,33,30
5,190,5,30
0,67,2,30
0,262,5,30
0,182,7,30
0,98,6,30
0,164,1,30
0,165,7,30
0,215,6,30
1,229,14,30
0,223,14,30
0,300,30,30
4,155,7,30
1,203,9,30
2,280,26,0
0,218,8,30
28,275,78,30
4,145,25,30
4,173,29,30
17,290,35,0
13,290,35,30
59,300,20,30
0,193,9,30
170,271,44,30
1,269,12,30
0,290,24,30
17,355,90,0
27,376,85,30
1,198,5,30
2,221,6,30
0,216,6,30
7,320,53,30
0,88,2,30
6,90,8,30
4,184,7,30
0,148,1,30
3,200,3,30
0,229,5,30
1,92,6,30
1,360,112,30
0,305,8,30
16,327,81,0
30,306,45,30
0,274,20,30
0,329,10,30
0,186,7,30
15,304,46,30
2,204,8,30
10,355,126,0
0,169,2,30
2,290,20,30
0,242,9,30
0,141,13,30
2,226,14,30
0,88,1,30
0,340,56,30
0,217,4,30
0,201,9,0
0,223,14,30
2,208,9,30
0,240,9,30
0,255,7,30
0,156,10,30
31,336,28,30
0,367,25,30
2,198,4,30
0,367,24,30
1,239,18,30
1,302,30,0
1,350,12,30
0,337,11,30
2,285,26,0
0,140,11,30
1,212,3,30
1,228,14,30
1,190,6,30
3,299,8,30
6,363,28,30
0,194,4,30
12,339,35,0
0,147,12,30
0,316,21,30
4,367,9,30
1,286,11,30
3,227,34,30
0,298,50,30
4,296,36,30
0,148,3,30
0,189,7,30
1,170,4,30
2,256,14,30
0,69,1,30
3,129,6,30
6,105,12,0
0,208,32,30
0,265,10,30
1,304,16,30
0,359,11,30
0,294,21,30
1,305,31,30
14,324,27,30
0,211,7,30
0,258,31,30
0,279,18,0
0,189,3,30
0,202,7,30
0,173,1,30
17,302,31,30
0,292,19,30
0,298,20,30
7,200,7,30
0,236,13,30
0,153,2,0
1,192,10,30
0,225,7,30
92,323,43,30
14,272,17,30
0,325,32,30
1,206,9,30
1,357,12,30
3,271,26,0
2,158,5,30
0,238,8,30
0,264,14,30
45,304,8,30
20,267,51,30
7,276,32,30
0,301,6,30
0,371,10,30
0,196,5,30
0,336,16,30
0,216,7,30
141,228,42,30
0,251,9,30
170,275,55,30
15,108,29,30
3,287,51,30
3,350,20,30
1,207,3,30
15,120,29,30
0,154,5,30
0,158,5,30
63,363,108,30
1,351,20,30
0,333,9,30
239,322,41,0
6,210,15,30
12,114,29,30
0,326,20,30
1,242,5,30
5,214,4,30
0,231,14,30
0,349,87,0
1,282,97,30
31,317,27,30
0,295,36,30
6,107,17,0
1,134,29,30
0,98,2,30
6,167,34,0
92,327,44,30
1,186,4,30
8,299,37,30
5,181,31,30
0,230,14,30
0,81,1,30
3,295,33,30
0,319,34,30
2,172,1,30
5,333,15,30
0,261,5,30
4,360,10,30
8,315,32,30
83,329,104,0
0,195,9,30
23,182,35,30
7,222,13,30
0,191,4,30
0,177,7,30
0,164,14,30
1,196,7,30
1,356,89,0
0,197,2,30
5,345,11,30
0,178,1,30
1,342,75,30
1,191,4,30
5,336,10,30
0,344,17,30
2,312,20,30
1,221,7,30
0,165,10,30
1,296,11,30
31,299,53,30
0,350,13,30
0,338,20,30
5,94,14,0
4,170,1,30
0,253,18,30
1,301,31,30
2,198,5,30
11,297,52,0
16,332,82,0
0,206,7,30
0,236,34,30
0,179,5,30
0,370,24,30
0,361,13,30
0,211,7,30
0,205,8,30
0,290,21,30
5,342,17,30
0,213,2,30
1,46,1,30
0,190,8,30
30,297,31,30
12,120,28,30
0,190,11,30
0,207,9,30
195,303,8,30
9,326,55,0
0,167,5,30
0,160,7,30
3,182,9,30
0,308,32,30
2,293,19,30
236,288,66,30
0,135,5,0
0,316,9,30
1,302,7,30
4,175,29,30
0,205,8,30
6,373,22,30
16,337,34,0
2,211,9,0
2,123,28,30
0,4,0,30
0,357,10,30
2,357,28,0
0,120,2,30
0,169,34,30
19,148,37,30
12,97,29,30
0,216,6,30
0,173,1,30
15,299,20,30
0,197,6,30
0,254,10,30
0,281,21,30
10,263,21,30
4,174,29,30
0,129,10,30
1,314,9,30
0,293,28,30
0,368,23,30
0,340,10,30
0,223,9,30
3,155,6,30
6,255,13,30
6,355,12,30
0,272,7,30
0,295,36,30
9,281,22,30
0,218,9,0
0,218,9,30
11,163,22,0
3,358,23,30
0,183,34,30
45,316,115,30
0,209,32,30
2,309,32,30
0,337,5,0
9,323,55,0
13,277,29,30
0,347,35,30
4,290,13,30
0,152,9,0
0,100,2,30
0,333,16,30
37,338,90,0
0,190,1,30
5,196,12,30
1,299,64,30
1,159,6,30
0,291,10,0
0,196,5,30
0,218,6,30
0,201,2,30
1,95,6,30
2,195,9,30
0,285,32,30
12,325,14,30
4,157,21,30
7,334,11,30
0,243,8,30
0,283,21,30
2,284,78,30
196,299,9,30
31,349,28,30
0,159,6,30
0,213,5,30
9,291,31,30
2,204,8,30
142,175,24,30
3,189,11,30
1,356,129,30
0,154,5,30
0,161,7,30
0,241,8,30
0,185,4,30
1,284,20,30
1,154,7,30
3,272,16,30
0,147,11,30
2,215,13,30
0,270,5,30
3,294,37,30
0,306,56,30
0,253,20,30
2,134,8,0
0,266,36,0
2,298,26,0
0,306,7,30
0,321,9,30
0,299,7,30
4,332,15,30
236,291,66,30
14,181,34,30
0,196,2,30
17,292,36,30
0,194,7,30
1,107,4,30
23,351,114,30
0,130,6,30
36,312,90,0
7,345,13,30
2,255,20,30
0,149,2,30
0,150,8,30
10,348,114,30
5,307,7,30
0,353,10,30
0,241,18,30
0,87,1,30
1,146,11,30
1,298,9,30
1,175,2,30
4,148,25,30
2,310,7,30
1,281,23,0
1,358,23,30
1,164,10,30
3,294,36,30
1,162,10,30
3,200,11,0
6,344,12,30
1,240,8,30
1,281,22,30
0,207,10,0
4,282,39,30
0,246,8,30
10,144,3,30
0,166,10,30
1,258,13,30
11,348,85,0
0,268,6,30
14,342,28,30
2,220,14,30
1,212,7,30
1,187,7,30
0,139,37,30
2,209,9,30
0,174,0,30
236,299,74,30
0,215,14,30
2,231,10,30
3,294,16,0
1,298,26,0
1,242,8,30
0,256,18,0
0,338,9,30
170,278,90,30
0,374,8,30
0,413,37,0
30,307,45,30
6,367,26,30
0,190,10,30
0,204,10,30
46,333,16,30
0,196,8,30
1,160,2,30
141,259,52,30
2,282,10,0
0,217,5,30
3,283,10,30
0,87,1,30
1,105,4,30
53,302,57,30
16,263,32,0
0,206,7,30
13,354,90,30
0,283,35,30
66,300,8,30
1,124,3,0
9,288,49,0
0,311,21,30
0,238,8,30
1,289,31,0
1,325,9,30
3,266,16,30
7,314,80,0
0,304,32,30
4,188,1,30
9,85,25,30
6,300,11,30
0,284,22,30
40,322,81,0
236,317,52,0
4,154,8,30
1,181,6,30
10,347,56,0
14,296,34,30
0,305,30,30
6,348,28,30
1,194,7,30
4,146,25,30
3,117,6,30
46,330,16,30
1,351,20,30
0,161,1,30
0,285,19,0
1,213,15,30
26,364,90,0
0,245,20,30
2,314,15,30
0,322,53,30
5,354,20,30
0,195,7,30
0,289,23,30
0,145,7,30
1,232,7,30
0,223,9,30
3,272,14,30
0,221,7,30
4,366,10,30
3,109,5,30
13,301,46,0
12,119,29,30
8,335,16,30
2,219,9,30
19,315,33,30
0,298,7,30
2,274,14,0
4,108,5,0
2,234,7,30
5,286,51,30
0,170,1,30
0,298,52,30
2,187,6,30
6,239,13,30
3,264,32,30
2,188,2,30
0,150,1,30
0,134,30,30
2,281,7,30
2,328,9,30
8,331,35,30
5,348,20,30
1,244,8,30
0,39,1,30
0,162,6,30
3,198,32,30
0,68,1,30
2,152,6,30
1,292,29,30
0,229,7,30
2,218,16,30
5,344,84,30
3,371,8,30
1,144,6,0
1,303,7,30
0,299,7,30
1,297,16,30
0,81,1,30
0,174,7,30
7,289,16,30
15,302,46,30
16,298,31,30
3,228,34,30
0,131,7,30
14,323,27,30
2,180,2,30
0,195,6,30
28,276,79,30
1,152,5,0
0,192,4,30
3,201,6,30
53,310,57,30
0,154,1,30
2,315,21,30
0,239,5,30
11,264,31,30
1,211,4,30
1,265,36,30
0,184,7,30
1,331,16,30
0,221,14,30
1,284,20,30
0,196,4,30
0,255,18,30
0,204,8,30
1,208,2,30
0,205,9,30
3,273,40,30
6,368,25,30
0,211,6,30
0,229,13,30
1,235,10,30
0,298,16,30
7,187,4,30
37,312,95,0
3,296,50,0
3,263,34,0
0,157,15,30
1,292,16,30
54,351,95,30
2,338,28,30
0,195,2,30
0,220,2,30
3,255,9,30
1,217,8,30
0,191,6,30
0,240,18,30
12,100,26,0
7,286,51,0
0,188,8,30
24,313,54,30
0,152,5,30
0,130,6,30
0,279,68,0
1,307,7,30
3,310,9,30
2,319,15,0
0,343,10,30
0,304,7,30
0,161,7,30
5,331,12,30
0,189,8,30
31,334,28,30
66,310,8,30
2,174,8,30
0,230,7,30
1,292,22,30
9,327,44,30
21,295,8,30
72,335,33,30
3,264,11,30
7,283,56,0
9,273,29,30
3,351,88,30
83,269,18,0
0,282,20,30
1,189,1,30
0,306,27,30
0,261,11,30
1,276,26,30
2,221,17,30
63,359,104,30
0,243,20,30
0,205,9,30
0,285,31,30
0,307,32,30
0,183,3,30
3,345,13,30
12,96,26,30
8,298,64,30
0,209,6,30
0,171,2,30
0,166,5,30
0,227,7,30
2,140,2,30
6,268,104,30
11,89,29,30
10,352,114,0
0,190,6,30
31,270,16,30
0,351,28,30
1,315,33,30
2,194,5,30
3,277,10,30
1,88,6,30
1,239,17,30
0,316,18,30
3,230,5,30
0,232,5,30
1,317,9,30
1,397,35,0
1,296,18,30
3,152,8,30
18,139,1,30
12,307,20,30
1,272,12,30
0,297,28,30
9,297,53,30
0,121,17,30
6,371,24,30
0,214,6,30
2,218,6,30
0,223,17,30
0,242,8,30
0,266,5,30
0,294,13,0
1,169,7,30
0,212,6,30
21,356,89,0
2,329,10,30
1,188,6,30
0,140,13,30
5,349,20,30
1,160,5,30
1,159,2,30
160,282,26,0
4,144,25,30
0,287,29,30
0,184,1,30
2,199,8,30
10,254,20,30
0,358,102,0
10,346,56,0
1,196,3,30
0,251,19,30
0,153,6,30
1,207,4,30
1,229,5,30
0,324,20,30
0,256,8,30
1,260,13,0
2,135,28,30
2,146,7,30
11,261,32,30
6,241,13,30
40,326,114,0
0,262,13,30
2,162,1,30
2,253,13,30
19,335,34,30
17,101,29,0
0,274,16,30
4,160,21,30
13,293,32,0
1,208,9,30
1,196,7,30
0,253,8,30
1,260,9,0
7,184,7,30
1,154,1,30
10,149,4,30
1,193,5,30
1,160,2,30
6,297,29,30
2,131,8,30
0,132,4,30
0,334,9,30
2,197,7,30
16,327,27,30
2,300,30,30
12,291,36,30
0,339,10,30
0,212,7,30
1,198,9,30
22,275,40,30
0,173,7,30
0,267,38,30
6,330,9,30
0,84,1,30
17,296,39,30
0,215,5,30
1,314,43,30
61,299,75,30
0,376,8,30
1,310,6,30
5,341,12,30
0,212,9,30
8,137,1,30
2,255,32,30
2,270,18,30
0,329,9,30
1,190,6,30
0,215,6,30
0,187,31,30
3,233,34,30
141,166,18,30
239,331,48,30
17,339,36,30
0,188,8,30
0,168,1,30
1,360,10,30
8,180,7,30
62,348,83,30
0,109,4,0
1,298,16,30
0,137,33,0
0,115,3,30
0,218,7,30
142,204,35,30
0,307,7,30
141,230,42,30
0,191,11,30
0,182,5,30
0,286,97,30
0,309,26,30
1,187,8,30
5,388,80,0
13,340,77,30
22,315,42,30
0,212,7,30
1,216,4,30
0,306,7,30
6,204,5,30
1,94,4,30
0,308,9,30
0,201,1,30
0,211,11,30
13,300,79,30
1,164,1,30
0,274,17,30
1,112,29,30
1,154,7,30
1,370,10,30
0,297,8,30
0,193,3,30
16,327,26,30
16,299,31,30
62,284,66,30
0,283,36,0
0,185,1,30
0,252,9,30
1,247,20,30
0,150,6,30
1,281,78,30
13,148,27,30
0,259,9,30
1,278,16,30
0,199,6,30
1,90,6,30
12,311,19,30
1,279,14,30
0,169,4,0
0,83,1,30
0,282,23,30
1,113,3,30
104,277,92,30
1,183,6,30
0,30,1,30
1,89,6,30
46,335,15,30
2,178,7,0
1,292,23,30
1,177,1,30
0,153,5,30
4,207,7,30
3,212,5,0
0,329,27,0
13,344,90,0
12,327,21,30
5,339,75,30
15,107,29,30
2,173,1,30
15,189,30,0
2,361,26,30
2,228,8,30
12,116,29,30
14,321,120,0
1,217,13,30
0,246,8,30
0,324,42,30
1,335,28,30
1,232,5,30
0,163,7,30
0,267,36,30
6,166,5,30
5,334,15,30
1,63,2,30
14,355,128,30
0,168,34,0
37,254,20,0
2,201,7,30
0,111,2,30
2,283,11,30
0,112,2,30
13,122,28,0
5,314,41,30
1,270,20,0
1,347,10,30
1,297,26,0
1,190,10,0
1,315,80,30
141,149,8,30
0,224,13,30
8,337,35,30
0,332,11,30
51,325,39,30
1,187,4,30
5,132,4,30
16,298,31,30
3,338,34,0
4,361,10,30
0,155,1,30
90,310,5,30
13,299,33,30
22,353,97,30
3,309,54,30
1,243,8,30
0,220,9,30
0,219,13,0
3,249,8,30
2,346,37,30
2,167,7,30
128,300,71,30
2,292,13,30
0,211,6,30
1,204,7,30
1,236,9,30
0,224,34,30
0,149,5,30
0,155,5,30
19,162,21,0
0,134,11,30
0,213,14,30
2,181,9,30
10,264,21,30
0,155,6,30
1,148,5,30
5,295,33,30
27,276,54,30
160,282,26,30
0,298,30,30
0,368,9,30
1,173,8,30
0,203,10,30
0,302,30,30
0,318,16,30
4,148,22,30
0,245,8,30
6,192,32,30
30,339,28,30
0,181,9,30
2,286,19,30
9,295,34,30
1,38,1,30
3,178,8,30
0,185,1,30
36,313,105,0
62,331,49,30
0,215,6,30
0,161,1,30
1,286,36,0
0,323,9,30
5,335,8,30
1,116,6,30
2,282,11,30
0,189,8,30
4,372,10,30
0,217,13,30
1,177,7,30
0,91,25,30
40,318,92,0
1,335,12,30
5,339,28,0
138,144,1,30
61,282,13,30
86,286,29,0
3,207,6,30
13,297,20,30
1,295,13,30
1,337,10,30
0,171,4,30
0,73,1,30
0,151,5,30
0,270,6,30
138,141,1,30
0,329,9,30
0,164,7,30
141,179,20,30
0,211,6,30
2,313,32,30
0,91,4,30
0,225,11,30
0,107,2,30
1,278,35,0
0,102,2,30
1,218,16,30
0,304,56,0
59,311,19,30
1,213,14,30
3,303,7,30
50,306,8,30
0,300,20,30
0,350,20,30
0,205,7,30
1,208,9,30
0,187,2,30
14,141,29,0
0,195,7,30
3,367,11,0
0,60,1,30
1,285,23,30
1,241,8,30
9,291,65,30
142,203,33,30
2,174,2,30
31,300,52,30
6,362,28,30
1,263,9,0
236,290,64,30
8,388,73,0
2,317,20,30
3,272,26,30
10,307,31,30
0,338,10,30
0,372,8,30
2,344,35,30
1,154,5,30
0,269,10,30
0,215,4,30
0,171,7,0
1,247,9,30
1,137,37,30
1,109,5,30
0,245,9,30
0,174,0,30
0,243,2,30
0,296,32,30
0,110,29,30
0,163,6,30
2,207,9,30
1,240,9,30
83,265,18,0
1,152,1,30
0,58,3,30
0,229,5,30
0,295,16,30
14,302,47,0
4,314,33,30
6,347,12,30
1,315,5,30
2,284,11,30
0,66,1,30
1,81,3,30
3,286,20,30
7,344,36,30
0,217,6,30
1,319,7,30
4,147,25,30
0,85,1,30
0,188,6,30
0,297,20,30
9,350,83,30
1,305,7,30
0,227,17,30
0,179,8,30
0,145,6,30
0,200,8,30
0,191,5,30
0,179,4,30
2,123,4,30
2,97,29,30
0,176,8,30
1,360,23,30
0,182,1,30
0,160,1,30
1,279,87,30
1,131,10,30
0,188,30,30
0,188,6,30
0,357,90,0
