@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
369,29,945,396,0
338,34,868,355,1
329,29,916,348,0
71,0,142,9,1
349,19,826,360,0
280,20,701,285,0
395,0,925,407,1
154,6,456,120,1
360,42,854,370,1
175,15,519,158,0
353,50,922,385,0
260,9,675,265,0
366,3,894,384,1
226,8,595,227,0
310,36,793,323,0
277,21,747,294,0
102,2,244,15,1
378,18,895,390,0
311,1,813,318,0
212,27,580,209,0
365,43,861,375,0
286,3,766,298,1
273,37,755,297,0
336,35,817,349,0
270,9,689,275,0
338,3,904,351,1
330,1,918,354,0
295,47,741,306,0
292,19,728,301,0
165,9,487,132,1
347,8,878,363,1
147,2,395,84,1
360,16,846,370,1
338,34,893,367,0
229,8,600,229,0
372,46,894,384,1
270,36,687,275,0
309,51,801,314,1
288,41,756,299,0
287,44,795,303,1
164,0,493,132,1
330,25,868,343,1
127,2,312,52,0
104,6,239,14,0
381,29,901,394,1
336,13,905,370,1
348,38,922,383,0
371,41,889,388,1
392,2,929,406,1
329,3,916,348,1
177,8,524,162,1
186,4,539,169,1
273,6,747,293,1
375,11,896,386,0
276,39,759,300,0
354,0,829,364,0
240,0,615,241,1
356,51,836,364,0
294,13,736,305,0
309,37,807,314,0
357,52,943,390,0
329,58,865,342,1
337,34,870,357,0
176,3,522,161,0
293,0,789,307,1
319,24,787,329,1
328,9,911,347,1
149,1,417,93,1
148,8,397,87,1
349,34,875,363,1
304,48,760,317,0
240,8,622,239,1
245,26,637,249,0
202,9,579,193,0
61,0,114,19,1
325,4,924,348,1
374,39,889,382,0
338,3,894,351,1
123,1,306,46,0
347,3,811,355,0
233,10,607,233,0
147,0,397,84,1
370,0,891,386,0
306,15,771,321,0
375,27,895,386,1
355,0,828,364,0
335,38,918,363,0
219,9,587,217,0
145,0,417,97,1
330,8,915,348,1
60,0,144,10,0
233,1,609,234,0
246,23,640,251,0
184,4,547,174,0
337,18,898,367,0
117,2,296,37,1
337,15,909,371,0
366,0,862,376,1
273,0,744,295,1
399,0,929,408,1
314,22,808,319,0
257,17,660,261,0
332,39,878,345,0
368,5,892,383,0
338,0,898,371,0
314,6,809,319,0
336,0,892,364,1
110,5,282,29,1
371,18,883,381,1
325,16,795,336,0
384,19,900,394,0
343,58,896,357,0
339,19,820,352,0
192,11,558,181,1
329,8,912,348,0
366,23,867,377,0
305,11,804,312,0
58,0,115,19,0
329,0,864,342,1
374,29,894,390,0
161,4,480,128,0
107,7,244,15,1
102,0,260,10,1
204,7,579,195,1
102,0,267,21,1
340,32,870,356,0
309,20,806,316,0
282,42,707,290,0
308,49,779,319,1
344,49,915,379,1
146,17,392,82,0
282,0,751,303,0
164,24,486,132,1
341,0,908,374,0
329,1,864,342,1
309,7,781,325,0
273,4,739,292,0
116,0,266,7,0
386,47,895,396,0
343,28,873,362,1
322,16,791,333,1
306,50,773,321,0
354,25,890,373,0
385,27,889,394,1
136,2,421,99,0
251,13,653,254,0
193,10,561,182,0
343,0,883,353,1
183,4,527,165,0
251,30,642,250,1
331,10,918,356,1
358,10,844,367,1
357,49,893,376,0
171,27,511,152,1
65,0,117,22,1
337,2,891,350,1
237,14,617,237,0
315,30,817,330,0
282,4,703,288,0
287,36,799,301,1
339,25,867,355,0
381,0,907,397,1
338,1,903,355,0
118,0,294,42,1
343,19,911,378,1
237,12,613,238,1
347,24,816,354,1
366,0,898,382,0
295,2,748,307,0
317,30,816,331,0
341,27,870,357,0
288,21,762,305,0
133,7,343,61,1
375,2,902,393,0
365,44,885,381,0
282,0,753,300,0
293,11,784,307,1
197,24,574,187,0
287,42,755,299,1
343,7,884,353,1
332,7,914,352,1
273,6,741,292,1
286,14,719,296,1
272,38,749,292,0
392,0,899,402,0
383,19,899,393,0
367,0,890,385,1
336,38,907,359,0
335,25,807,346,1
186,4,537,169,0
289,7,780,302,1
140,4,427,105,1
289,14,726,299,0
270,40,745,296,1
279,24,764,302,0
103,8,245,17,1
343,2,912,376,0
351,7,939,382,1
161,0,479,128,1
294,19,799,305,1
341,1,927,372,1
87,0,180,12,0
277,5,744,293,0
271,0,752,297,1
272,6,749,293,1
140,5,436,106,1
128,4,314,56,1
185,8,549,175,1
308,0,781,319,0
357,23,888,379,0
287,5,770,299,0
130,0,316,55,1
379,44,902,395,1
312,7,804,312,0
78,0,190,5,0
138,6,369,69,1
293,8,731,305,0
130,0,317,55,1
78,0,128,17,1
350,50,924,384,1
292,3,767,307,0
352,13,887,370,1
352,3,940,382,0
290,21,766,302,1
278,0,747,293,1
353,24,924,384,1
288,35,789,302,0
133,0,347,62,1
83,0,184,10,1
139,12,366,71,1
68,0,185,6,1
289,7,784,301,1
339,12,894,358,1
339,31,868,355,0
327,0,851,339,1
105,4,276,25,0
284,35,762,297,0
360,13,835,367,0
396,0,912,408,1
309,10,806,314,1
325,39,836,335,0
363,57,947,384,0
269,12,679,273,0
358,0,846,368,1
84,0,123,10,0
323,23,803,336,0
336,53,814,349,0
164,17,488,132,1
157,21,461,124,0
328,6,855,341,1
396,12,914,408,1
203,8,580,194,1
211,2,577,203,1
329,32,917,348,0
167,3,498,142,0
305,10,761,318,1
210,3,582,201,1
317,54,811,322,0
305,21,765,320,0
147,1,394,84,1
336,0,897,366,0
330,11,869,343,1
292,7,765,307,1
93,0,221,7,0
103,0,246,15,1
97,0,233,6,0
238,2,620,240,0
333,11,878,347,1
150,13,450,116,0
184,3,543,172,0
363,30,886,378,0
379,0,897,386,1
129,0,315,54,0
352,38,936,382,0
330,12,804,342,1
311,51,811,318,1
377,40,890,383,0
380,44,906,396,0
327,34,915,351,0
276,25,751,296,0
348,0,825,359,1
128,4,317,55,1
399,3,931,412,0
343,62,893,356,1
287,0,790,302,0
351,45,885,368,0
179,4,524,162,1
346,49,921,380,0
287,6,771,300,0
61,0,115,19,1
399,24,933,409,1
136,5,360,67,0
368,17,900,386,0
273,36,738,292,1
205,18,579,195,1
353,43,890,369,0
364,8,861,374,1
375,13,900,387,1
318,51,821,334,0
366,56,942,394,1
287,8,754,296,0
295,14,748,307,0
361,6,841,369,0
360,14,887,379,1
299,1,774,313,1
334,11,808,347,1
247,12,640,252,1
358,28,938,387,0
292,7,727,301,0
273,1,755,297,1
205,8,582,197,0
387,11,900,398,1
377,18,897,393,1
330,0,907,349,0
329,58,862,341,0
129,0,314,54,1
340,13,908,358,1
386,11,904,399,1
354,58,930,374,0
327,7,899,349,1
364,54,949,395,0
128,14,317,55,1
289,36,782,301,0
254,14,652,254,0
239,1,628,242,0
291,1,762,304,0
323,23,827,331,1
198,20,578,189,1
150,0,415,92,0
287,0,799,302,1
355,8,829,364,1
330,40,876,344,1
301,9,757,314,0
329,40,866,342,1
270,1,743,297,1
103,0,176,14,1
283,10,778,307,1
347,15,876,364,0
121,12,292,41,1
185,18,536,169,0
328,33,913,347,1
357,1,943,390,0
325,2,928,348,1
359,40,833,366,0
324,0,826,330,1
237,5,618,237,1
337,58,888,347,0
331,0,878,345,1
325,15,923,348,1
121,3,294,41,1
367,11,946,394,0
384,46,900,396,1
193,0,557,180,1
380,41,908,396,0
291,34,727,301,0
140,0,432,105,0
373,30,886,391,1
147,0,398,84,1
293,10,732,305,0
145,1,376,79,0
340,40,889,355,0
340,1,865,358,1
275,32,695,280,0
280,17,700,285,1
367,0,884,383,1
284,35,761,297,0
117,11,299,37,0
285,7,763,298,0
329,8,913,348,0
251,30,640,250,0
334,12,916,362,1
345,7,823,358,1
245,22,640,250,0
256,31,663,261,0
164,1,485,130,1
168,0,502,147,0
396,46,906,406,1
282,18,706,290,0
273,7,757,297,1
320,10,819,335,1
365,28,880,380,0
164,0,489,132,1
370,18,902,388,1
282,38,749,302,1
364,26,860,374,1
289,5,785,301,1
257,26,658,261,1
246,13,640,251,1
237,12,612,238,0
340,6,896,359,1
352,1,926,382,1
77,0,129,27,1
358,30,896,377,1
266,26,679,271,0
366,56,945,397,0
390,44,897,400,0
351,24,882,367,0
298,0,774,316,1
247,7,641,249,0
155,9,459,122,0
291,0,755,302,0
99,2,229,7,0
226,5,592,227,0
270,0,745,293,0
337,48,908,370,0
322,36,823,330,0
392,2,930,406,1
142,0,441,108,0
320,0,916,344,0
291,9,782,302,1
323,16,792,334,1
288,10,775,301,0
325,9,927,348,1
318,0,812,324,0
237,22,611,238,1
185,1,535,168,1
272,37,692,276,0
149,1,415,92,1
117,0,295,37,0
189,5,545,173,0
320,37,792,331,1
150,1,413,92,1
319,31,786,329,1
373,26,884,391,0
314,31,788,329,1
211,1,576,202,0
357,40,831,364,1
339,31,869,356,1
171,0,515,153,1
396,23,913,408,1
172,0,501,140,1
342,0,863,356,0
298,26,753,311,0
171,8,501,141,1
365,6,944,395,1
238,4,616,236,0
159,0,472,126,1
398,5,931,412,0
324,0,828,330,0
171,0,510,152,1
340,14,926,371,1
332,5,912,352,1
140,8,414,97,1
273,4,755,297,0
334,14,902,356,1
239,0,627,241,0
336,61,882,351,1
273,31,694,278,0
71,0,143,9,1
117,1,294,37,0
77,0,183,7,1
334,18,806,347,1
193,11,563,183,1
309,37,808,314,0
211,18,575,202,1
335,29,897,355,1
119,2,297,42,1
204,27,579,196,0
330,35,803,342,0
295,9,740,306,1
119,1,266,9,1
354,8,828,364,1
289,9,729,301,0
298,26,754,311,1
294,48,798,304,0
320,25,821,334,1
280,8,699,285,0
138,0,373,74,0
357,37,890,380,1
177,16,520,160,1
392,27,896,402,0
340,1,907,359,1
345,37,918,379,1
324,0,796,335,0
371,0,883,382,0
293,5,768,308,1
276,7,761,300,1
339,36,922,369,1
398,13,925,411,1
330,4,920,349,1
321,35,822,329,0
196,18,559,183,0
300,1,770,314,1
140,0,365,71,1
251,24,644,250,0
360,0,847,370,0
356,0,837,364,0
343,37,912,376,0
129,6,324,57,1
379,0,901,395,0
271,40,750,297,1
338,4,898,351,1
211,4,574,202,1
294,0,736,305,1
272,23,748,295,0
372,45,888,387,0
355,33,891,374,1
367,54,944,392,0
102,0,268,8,1
340,31,869,356,1
241,12,621,239,0
329,5,906,350,0
100,1,236,11,0
294,3,784,307,1
276,22,753,298,1
280,17,698,285,0
288,4,762,305,1
370,3,897,384,1
348,34,876,364,1
317,33,805,332,1
152,14,452,118,0
331,9,916,352,0
349,0,880,367,1
357,23,891,380,0
334,13,897,351,1
359,42,892,380,0
241,6,617,240,1
305,49,762,319,0
378,18,894,390,0
183,10,546,172,1
344,36,916,379,0
377,25,892,390,0
399,47,926,409,1
350,29,883,367,0
381,1,908,397,1
339,32,902,352,1
331,37,871,344,0
351,0,885,367,0
332,2,903,363,0
280,3,749,298,0
396,12,918,408,1
283,7,776,307,1
337,30,887,352,0
107,3,246,15,1
287,44,723,297,0
231,22,604,231,1
305,38,803,312,1
189,4,556,178,1
304,49,799,311,0
106,0,278,26,1
359,17,848,369,0
306,36,769,320,0
288,41,754,299,0
327,6,916,353,0
319,39,815,327,1
335,26,879,350,1
205,5,583,197,1
102,3,266,21,1
387,0,907,400,1
349,1,921,382,0
183,4,533,166,1
383,0,900,388,0
171,0,514,153,0
355,2,885,369,1
279,37,763,302,1
339,39,924,369,0
185,18,551,175,1
287,44,721,297,0
398,23,931,412,1
390,8,895,400,1
331,14,901,362,0
239,11,621,239,0
370,27,896,384,0
137,9,424,103,1
266,34,678,271,1
316,15,810,330,0
185,2,534,168,0
340,32,906,358,1
168,1,499,143,1
336,23,906,370,1
102,3,245,15,1
374,4,898,386,0
291,3,799,305,1
384,0,897,386,0
179,8,526,164,1
316,53,810,321,0
347,50,879,363,0
275,7,696,280,0
399,0,928,408,1
332,8,879,345,0
257,32,666,262,0
290,8,760,303,0
399,4,932,413,1
238,2,624,240,1
334,52,812,347,0
123,4,305,46,1
270,1,740,291,1
105,9,249,19,1
341,31,896,359,1
377,0,894,390,0
131,14,331,58,0
329,0,859,342,1
210,27,572,201,1
78,1,191,6,1
231,0,605,231,1
224,24,592,225,1
293,36,799,303,0
291,4,801,303,1
58,1,116,20,1
365,55,948,393,1
365,11,860,374,1
385,2,890,395,1
364,28,887,383,0
365,0,861,375,0
359,7,888,379,0
186,4,535,169,0
364,19,888,383,0
340,27,871,359,1
363,0,891,379,0
198,25,568,185,0
239,12,625,241,0
396,47,926,410,1
351,47,889,370,0
99,0,173,14,1
383,1,900,391,1
386,9,901,398,1
319,15,788,330,0
282,42,709,290,0
339,30,905,357,1
359,42,847,369,1
350,22,923,385,0
373,9,894,389,1
329,3,915,349,0
366,0,946,393,0
288,42,757,300,0
287,35,759,304,1
193,9,557,180,1
337,59,890,348,0
166,25,496,134,1
198,19,560,185,1
212,19,582,209,0
280,8,740,297,1
351,24,882,367,0
399,24,929,408,1
99,4,230,9,0
313,14,783,328,1
289,46,725,299,0
341,1,887,353,1
230,10,601,230,1
338,0,905,371,1
353,29,888,369,1
281,6,751,301,1
287,44,794,303,0
338,16,905,370,0
324,32,798,335,0
333,0,807,345,0
342,5,822,353,1
287,44,796,302,1
330,3,905,351,1
316,8,791,330,0
330,25,869,343,1
366,0,892,384,1
133,0,350,62,1
376,1,892,393,1
270,39,742,292,1
337,2,907,370,1
149,8,397,87,1
324,57,827,330,0
373,30,895,389,0
142,6,374,78,0
198,19,577,188,0
119,0,298,42,1
370,0,897,384,1
329,0,857,342,1
253,13,647,252,0
199,2,569,186,1
363,23,886,376,0
281,41,705,289,0
319,15,789,330,1
329,9,922,349,1
370,41,890,384,1
309,5,808,316,1
396,11,905,406,1
225,8,592,226,1
400,0,932,409,0
145,2,385,81,0
96,0,267,19,1
279,32,697,284,0
140,2,362,71,1
380,30,904,396,1
140,6,374,76,0
138,0,368,69,1
289,3,779,302,1
71,0,179,5,0
101,7,245,14,1
330,51,807,343,0
230,11,600,230,1
376,42,892,387,0
378,30,898,394,1
338,16,864,354,0
314,9,807,314,0
260,19,673,265,1
350,31,881,365,0
330,28,921,349,1
341,18,872,360,0
106,10,279,26,0
358,10,843,368,1
336,35,818,349,0
336,35,908,370,0
245,26,636,249,0
348,12,822,355,1
359,42,893,380,0
83,0,183,8,1
80,0,121,23,0
360,11,855,369,1
330,38,877,344,0
374,39,889,381,0
159,16,475,126,1
116,6,289,36,1
319,4,790,330,0
226,4,594,227,1
202,12,578,193,0
199,25,573,187,0
340,0,927,372,0
316,33,810,330,0
122,0,263,10,1
272,1,749,294,0
357,9,835,364,1
335,4,894,352,1
333,11,915,354,0
131,1,331,58,1
117,0,297,37,0
376,29,891,382,0
360,42,857,370,0
371,31,953,394,0
360,32,885,377,0
276,25,752,296,0
309,51,802,314,0
135,0,353,66,1
336,31,898,353,1
351,24,938,382,1
348,1,876,363,1
186,3,553,176,0
399,0,926,409,0
290,44,761,304,1
309,24,783,319,0
326,30,901,348,0
277,28,748,294,0
146,0,404,88,1
269,12,680,273,1
98,0,163,13,1
358,10,841,366,0
330,4,909,351,1
281,34,750,302,1
313,21,805,313,0
229,0,599,229,0
356,8,942,388,0
278,43,769,302,0
147,18,393,84,1
374,0,897,386,0
124,0,147,51,1
338,4,900,358,1
356,22,832,363,1
111,0,286,29,0
213,8,585,211,0
333,28,896,352,0
118,0,261,7,1
266,26,680,271,0
225,7,591,226,0
366,0,864,376,1
245,26,634,249,0
357,52,943,389,0
110,1,258,9,1
357,44,888,377,1
197,7,560,184,0
336,61,884,351,1
315,37,801,328,1
138,1,369,69,1
354,0,889,369,0
367,0,883,382,1
339,6,870,356,0
84,1,129,26,0
57,0,114,19,1
335,56,902,353,0
197,6,565,184,1
83,0,182,8,0
164,1,484,130,1
399,48,930,412,1
352,13,885,370,0
330,10,917,352,1
325,4,925,347,1
150,0,412,92,1
338,0,903,371,0
343,19,915,376,0
282,9,712,290,1
166,25,497,134,0
149,1,418,94,0
289,3,793,303,1
269,35,682,274,0
170,14,507,149,1
299,38,777,316,1
336,30,898,356,1
306,50,766,320,0
368,27,888,384,0
185,6,552,175,1
127,1,310,51,1
105,0,275,23,1
184,3,543,173,0
332,0,902,363,0
119,0,271,9,1
199,4,572,187,1
325,24,843,335,0
147,10,400,88,1
324,15,915,350,1
365,41,895,382,1
245,26,635,249,0
143,20,442,109,0
381,0,910,397,1
137,7,359,67,1
339,57,900,354,1
392,11,898,402,0
346,24,824,355,0
279,8,757,302,1
332,3,905,364,0
101,5,239,12,0
357,15,841,366,1
103,3,246,17,1
346,37,811,354,1
185,1,550,175,0
332,37,915,353,0
149,1,410,91,1
368,28,878,381,1
318,1,813,325,1
138,8,365,70,0
333,10,915,354,1
374,41,888,385,0
374,9,888,385,1
307,29,776,323,0
351,24,928,381,1
371,59,948,393,0
140,0,364,71,1
247,8,640,248,1
358,6,841,368,0
298,0,775,316,1
288,8,776,301,1
150,2,418,95,0
272,2,746,297,1
92,0,230,7,0
319,23,818,327,0
285,37,768,297,0
146,4,417,97,1
358,9,939,387,1
159,0,473,126,1
396,3,922,408,0
109,0,281,28,0
369,30,945,397,0
337,5,909,370,1
293,6,762,304,1
291,4,800,303,0
334,2,915,361,1
140,19,439,106,1
128,14,313,56,1
355,0,885,371,0
295,7,736,305,1
340,8,926,371,1
279,0,755,303,1
124,12,308,47,0
353,17,941,383,0
348,14,917,381,0
340,7,905,358,1
320,28,821,335,0
351,16,938,381,0
396,5,916,408,1
198,24,561,185,0
112,5,287,30,1
329,8,908,347,0
299,0,778,316,1
367,0,875,380,0
104,3,247,20,1
241,6,615,240,1
140,5,430,105,1
273,22,749,297,1
287,2,760,304,0
322,3,923,346,0
360,0,853,370,1
295,0,746,307,0
319,5,790,330,0
376,49,892,382,1
270,36,685,275,0
331,9,917,356,0
324,32,797,335,0
345,0,824,358,0
125,3,306,49,0
338,7,921,368,0
242,15,619,241,1
329,58,863,341,0
282,9,711,290,1
381,3,909,397,1
306,5,768,320,1
140,1,416,97,1
326,54,917,351,0
179,7,527,164,1
336,23,898,367,0
347,0,816,356,1
346,3,811,354,1
348,40,821,355,0
255,14,651,254,1
184,6,548,174,1
286,2,764,300,1
325,34,799,336,0
103,9,273,23,0
369,6,896,383,1
231,30,604,231,0
286,43,718,295,0
276,43,764,300,0
339,12,895,358,1
93,0,155,10,1
323,29,825,331,1
359,8,846,369,0
338,26,867,355,0
270,36,684,275,0
325,0,839,335,1
319,39,816,327,0
347,32,876,363,0
140,5,435,106,1
293,35,743,305,1
378,3,897,390,1
278,0,747,293,0
366,0,883,382,1
238,12,617,238,1
373,30,885,391,1
354,26,939,384,0
105,7,245,15,1
368,24,879,381,0
146,0,405,88,1
168,2,498,140,0
135,1,353,62,0
212,0,583,209,1
339,17,871,356,0
212,7,584,209,0
273,36,737,292,0
344,24,913,379,1
341,0,891,355,1
336,3,880,351,1
99,0,170,14,1
145,1,377,79,1
367,33,885,383,0
363,2,942,394,0
337,7,889,348,1
396,0,920,408,1
272,30,691,276,0
231,0,603,231,1
298,26,752,311,0
338,17,893,365,0
260,33,670,265,0
133,0,149,66,1
94,0,226,5,0
283,23,753,301,0
311,52,802,316,1
327,12,917,354,0
325,37,837,335,1
356,39,829,362,0
210,4,567,201,1
298,26,751,311,0
253,15,648,252,0
319,34,806,333,0
282,8,752,299,0
332,25,807,346,1
301,9,756,314,1
293,45,765,306,0
278,2,768,302,1
372,43,890,384,1
238,22,621,240,0
102,0,142,51,1
313,8,806,313,0
282,29,754,299,0
176,1,520,159,0
142,9,374,78,1
279,37,756,303,1
281,1,751,299,0
271,36,690,275,0
138,1,368,69,1
99,0,231,9,0
343,29,893,356,1
210,27,581,201,0
256,3,657,260,1
113,1,285,30,0
216,9,586,213,0
240,8,619,240,0
209,6,579,204,0
220,28,591,218,0
398,23,930,412,0
59,0,108,17,1
298,2,799,308,1
368,26,897,383,0
137,1,365,68,1
140,1,419,97,1
379,44,898,394,1
325,11,803,337,1
306,7,770,320,1
330,7,909,348,0
238,4,616,238,0
337,9,910,370,0
166,27,497,143,1
336,6,880,351,0
344,31,895,358,1
343,0,894,356,1
308,3,780,324,0
301,38,800,311,1
136,1,362,67,1
372,45,887,386,0
348,10,923,383,0
338,40,897,351,1
292,9,764,305,1
338,23,892,367,1
69,0,162,7,1
383,1,898,393,1
337,41,886,352,0
356,14,837,365,1
312,21,798,311,1
224,24,591,225,0
282,34,751,302,1
164,0,490,132,1
371,0,950,396,0
314,32,810,329,0
211,23,573,202,1
324,0,830,330,0
247,8,639,247,1
339,3,901,352,1
117,1,293,37,1
340,8,925,370,1
364,16,870,378,0
367,45,883,383,0
346,37,811,354,0
286,44,789,300,0
155,9,458,122,1
238,11,620,238,0
348,13,826,358,0
343,1,882,353,0
372,46,892,384,1
165,1,486,132,1
341,0,907,374,0
329,0,917,348,1
325,57,928,348,1
372,44,882,389,0
145,5,443,111,0
150,1,449,116,1
283,24,754,302,1
289,3,791,303,1
116,0,287,35,1
399,24,931,408,0
100,2,228,7,0
318,9,807,332,1
131,0,327,58,1
333,11,809,346,1
272,38,745,297,1
183,4,529,165,0
383,26,898,393,0
273,1,740,292,1
274,35,741,297,1
132,15,332,59,0
280,2,756,304,1
313,22,784,328,0
127,0,319,56,0
130,0,313,54,1
286,44,768,298,1
294,48,736,306,1
386,29,893,396,0
274,1,742,297,1
368,44,877,381,0
324,50,795,334,0
336,38,901,352,1
168,6,498,140,1
367,18,873,380,1
373,10,883,390,0
179,3,525,164,1
356,8,834,363,1
121,0,304,43,0
283,5,777,307,1
353,2,883,369,1
290,45,799,303,0
351,43,884,367,0
273,0,754,297,1
110,0,283,29,0
133,4,345,62,1
273,4,748,293,0
330,38,806,343,0
287,7,792,303,1
212,0,579,208,0
334,13,812,347,1
398,4,933,412,0
164,11,497,143,0
372,0,903,389,0
120,0,274,10,1
113,4,171,66,1
70,1,157,36,0
127,0,210,17,1
74,7,122,24,1
69,0,152,37,1
126,15,147,51,1
62,0,86,0,1
54,0,101,13,1
111,4,197,16,1
89,0,127,9,1
39,0,75,17,1
94,1,158,10,1
130,0,137,54,1
120,5,160,68,1
120,19,166,70,1
69,0,124,24,1
99,1,128,43,0
98,0,162,13,1
74,0,128,23,1
115,3,191,15,1
30,0,62,2,1
76,7,115,19,1
69,0,157,37,1
80,4,118,22,0
67,14,138,28,1
124,15,149,52,1
71,1,152,33,1
124,17,145,51,1
69,0,153,37,1
60,0,114,13,1
126,0,205,17,1
114,14,162,67,0
113,15,143,44,1
121,5,141,47,0
39,0,100,3,1
127,14,145,62,1
97,22,125,43,1
112,4,199,17,1
84,0,121,7,0
79,0,128,25,1
98,0,164,13,1
80,0,123,14,1
29,0,72,2,1
110,15,133,49,0
46,0,76,0,1
140,22,169,75,0
108,0,134,43,1
34,0,86,2,1
40,1,104,3,1
91,13,152,50,1
113,0,133,48,1
94,1,149,46,1
92,0,216,6,0
119,39,148,66,1
52,0,129,10,1
124,11,150,70,1
103,22,150,53,0
374,0,892,391,1
109,1,181,14,1
79,0,118,24,1
128,2,142,53,1
124,4,203,15,0
106,18,129,44,1
69,18,152,37,1
81,4,150,41,1
50,2,125,9,1
119,39,162,66,1
25,0,64,1,1
129,0,209,18,1
127,0,144,63,1
121,19,161,68,1
114,17,142,45,1
62,0,89,0,1
51,0,91,0,1
120,2,145,51,1
71,4,119,22,1
116,37,165,69,1
74,0,133,20,1
64,13,136,26,1
134,13,132,60,1
70,3,142,30,1
129,3,203,17,1
116,16,136,45,1
67,14,138,28,1
88,1,100,2,1
120,20,149,52,1
83,0,125,23,0
76,0,90,1,1
67,2,125,24,1
112,35,146,62,0
41,0,68,0,1
127,3,209,17,1
114,7,163,68,1
101,0,196,27,0
130,7,137,58,1
83,0,156,43,1
70,1,148,32,1
62,0,117,14,1
119,39,147,64,1
329,2,904,350,1
40,1,111,3,1
64,9,137,26,1
129,6,138,54,0
81,19,149,42,1
134,0,137,60,1
79,0,97,1,1
102,20,149,50,0
116,7,163,66,0
327,0,902,349,1
27,0,65,0,1
81,1,148,42,1
120,0,135,46,1
86,0,122,24,1
329,0,921,349,1
62,0,86,0,1
103,18,150,50,1
79,5,127,27,1
150,0,412,92,0
119,0,140,43,0
60,0,115,14,1
61,0,92,0,1
139,0,370,71,0
50,5,128,9,1
105,0,131,44,1
87,0,169,11,1
65,0,116,19,1
77,2,120,24,1
41,0,117,3,1
40,1,102,3,1
57,4,111,7,1
36,0,95,3,1
100,2,159,12,1
0,0,15,15,1
69,3,120,22,0
86,0,97,2,1
101,8,148,50,1
66,2,108,15,1
