@relation 'deeplearning-weka.filters.unsupervised.attribute.Remove-V-R1,3,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute timeopen {0,7}


@data
9,451,0
86,257,7
5,579,0
54,964,0
90,403,0
3,316,0
36,334,0
228,568,7
5,487,0
3,587,0
50,446,0
3,272,0
22,377,7
149,1074,7
10,975,0
6,567,0
6,981,0
9,548,0
37,935,0
15,442,0
10,577,0
12,573,0
160,376,0
180,671,7
140,330,0
6,974,0
6,649,0
8,1096,0
13,284,7
3,1050,0
8,312,0
75,574,0
8,589,0
4,495,0
109,452,0
15,1021,0
33,750,7
7,463,0
45,517,7
75,468,7
150,387,0
22,1053,0
18,652,7
30,415,0
36,1025,0
21,537,0
21,449,0
52,937,7
30,495,0
1,610,0
11,667,0
162,726,0
7,708,0
1,266,0
122,645,7
43,371,0
278,368,0
104,447,0
27,1027,7
21,626,0
62,466,0
13,1009,0
2,637,0
18,439,0
16,604,0
19,532,0
53,605,7
74,279,0
8,632,0
126,486,0
11,423,0
60,381,7
4,1053,0
35,448,0
15,492,0
44,576,7
39,443,0
13,1113,7
22,673,0
43,316,7
4,352,0
100,431,0
128,1110,0
22,469,0
7,978,0
44,490,0
10,976,0
324,726,7
189,571,0
33,633,0
74,316,0
19,591,0
56,803,7
13,459,0
107,498,0
20,672,7
22,368,7
10,378,0
6,653,0
8,788,0
10,514,0
46,541,0
9,388,0
35,574,0
9,471,7
57,675,0
33,905,0
53,1100,7
4,652,0
148,414,7
5,244,0
2,957,0
98,472,7
77,372,0
4,802,0
6,1109,0
7,979,0
46,652,0
22,438,0
17,347,7
38,438,0
145,672,0
279,278,7
2,469,0
1,301,0
69,545,0
60,361,7
28,501,7
151,422,7
1279,637,0
42,1028,0
52,418,7
53,446,0
15,669,0
257,575,0
2,646,0
46,636,0
21,807,7
11,675,0
97,629,0
90,328,0
106,1039,0
174,498,0
94,838,0
6,1054,0
202,937,7
93,365,0
88,672,7
36,1030,7
702,638,7
80,475,0
2,646,0
21,466,0
81,1071,7
102,261,0
57,365,0
8,326,0
77,399,0
36,542,0
1,341,0
65,563,0
49,647,7
8,664,0
19,512,7
9,591,0
10,370,0
42,461,0
9,458,0
116,264,0
9,821,0
51,436,0
52,448,0
29,438,0
8,252,7
4,1060,0
157,534,0
179,814,0
60,338,0
5,807,0
40,731,0
53,203,0
23,1055,0
2,521,0
36,263,0
202,566,0
8,463,0
28,449,0
85,492,0
29,366,0
2,627,0
74,335,0
45,560,0
203,653,0
19,1027,0
2,726,0
85,311,0
5,424,0
63,648,0
80,510,7
51,677,0
5,523,0
10,650,0
106,606,0
30,1071,7
21,575,0
3,1062,0
67,645,0
119,364,0
119,634,0
79,1074,0
14,422,0
5,607,0
115,488,0
51,442,0
14,958,0
65,826,0
8,512,0
10,737,0
14,522,0
2,567,0
27,480,0
7,393,0
94,1071,7
24,749,0
3,466,0
2,335,0
31,584,7
496,383,0
2,627,0
34,650,7
32,439,0
31,436,7
7,677,0
54,432,0
52,1064,0
25,523,0
71,1053,0
12,746,0
82,597,0
8,929,0
37,336,0
136,240,0
205,697,0
20,499,0
69,437,0
21,450,7
6,445,0
113,450,0
2,577,0
24,577,0
99,261,0
112,616,7
4,650,0
6,456,0
59,458,7
199,430,0
6,248,0
30,400,0
30,363,0
461,419,0
32,510,0
7,730,0
18,543,0
407,419,7
271,1065,7
15,650,0
8,658,0
24,442,0
15,203,0
21,714,0
9,426,0
104,368,0
7,578,0
29,490,0
193,730,7
4,711,0
38,579,7
9,515,0
21,467,0
32,574,7
75,605,7
84,401,7
52,274,0
6,435,0
26,373,0
42,210,7
32,598,0
4,447,0
13,456,0
6,626,0
18,572,0
84,655,0
124,319,0
12,529,0
67,985,0
116,1076,0
46,616,0
52,732,7
8,664,0
44,664,0
5,494,0
8,593,0
44,1007,7
409,1031,7
31,454,0
31,369,0
32,852,7
37,937,7
17,472,0
7,269,0
1,256,0
2,645,0
166,1075,7
3,394,0
54,410,0
69,450,0
15,671,7
6,291,0
119,791,7
4,402,0
6,677,0
46,790,7
44,364,0
50,369,0
73,425,7
9,626,0
14,634,0
86,474,0
7,226,0
55,365,0
18,332,0
10,528,0
13,284,7
41,358,7
205,745,0
57,488,7
232,1100,0
45,425,7
76,576,0
65,893,0
71,650,0
5,1105,0
3,1060,0
2,652,0
64,455,0
5,973,0
28,411,7
15,1094,0
2,624,0
31,604,7
31,731,0
12,723,0
31,317,0
2,577,0
35,547,0
85,471,0
20,1112,0
9,647,0
54,411,0
12,753,0
214,397,0
17,278,0
844,564,0
39,724,0
6,1024,0
14,624,0
20,1098,7
68,524,0
14,566,0
28,530,7
21,743,0
47,1000,0
20,734,0
22,474,0
16,925,0
44,546,7
7,577,0
3,702,0
64,494,0
171,401,0
161,1055,7
418,1067,7
3,669,0
3,647,0
109,431,0
17,633,0
9,1055,0
33,670,0
9,574,0
41,401,7
8,564,0
3,536,7
38,501,7
47,670,0
72,385,0
75,372,7
75,598,7
115,980,0
37,636,7
28,768,0
67,446,0
27,633,7
48,461,7
67,349,7
176,466,0
2,449,0
46,258,7
146,648,0
14,417,0
73,331,7
202,671,7
9,388,0
10,675,0
35,984,0
22,510,7
4,646,7
313,629,0
33,674,0
6,421,0
9,465,0
27,672,0
189,564,0
85,1059,0
264,365,0
153,1059,7
58,699,0
170,244,0
15,1058,0
86,370,0
59,715,0
501,370,7
2,625,0
37,526,0
52,635,0
6,649,0
5,776,0
2,532,0
8,416,0
130,530,0
115,671,0
63,551,0
30,654,0
367,393,7
11,431,0
23,937,0
1,543,0
133,579,0
128,264,7
1,299,0
49,611,0
2,664,0
82,1067,7
1544,658,0
74,595,0
45,452,7
5,526,0
6,779,0
22,275,0
36,754,0
61,464,7
13,498,0
40,1024,7
44,601,0
30,572,0
111,543,7
7,475,0
52,624,7
13,396,0
649,723,0
73,597,0
594,565,0
6,1063,0
39,680,0
35,496,7
2,549,0
33,630,0
93,1030,0
12,465,0
7,361,0
7,457,0
168,458,7
18,668,0
37,627,0
32,669,7
21,495,0
10,1113,7
6,256,0
54,668,0
31,594,0
90,816,0
18,549,0
3175,675,0
2,673,0
32,472,0
125,332,0
26,624,0
8,674,0
25,578,0
12,365,0
36,466,0
22,352,0
3,823,0
10,371,0
276,800,0
4,1056,0
34,510,0
14,814,0
40,413,0
91,980,0
26,440,0
131,441,7
332,311,0
498,1075,7
104,287,0
131,738,0
40,619,7
89,758,0
110,287,0
3,564,0
3,510,0
86,437,0
85,625,7
15,260,0
16,1099,7
35,445,0
2,669,0
51,311,0
9,647,0
30,663,0
66,327,0
280,460,0
43,636,7
5,536,0
8,633,0
7,633,0
180,319,0
114,1039,7
74,364,0
40,236,0
11,900,0
78,365,0
2,666,0
7,410,0
19,499,7
3,638,0
18,423,0
82,395,7
25,853,0
6,726,0
5,281,0
101,978,0
8,713,0
24,764,0
93,616,7
50,524,0
7,649,0
58,364,0
15,730,0
14,315,0
40,635,0
2,591,0
59,823,0
127,1039,0
10,502,0
107,463,7
2,649,0
31,1090,0
5,1089,0
6,675,0
36,441,0
467,669,0
321,364,0
5,372,0
84,560,0
51,1027,7
49,975,0
2,577,0
11,446,0
73,389,0
48,1065,7
30,401,0
25,719,0
48,442,0
9,436,7
15,796,0
76,381,7
90,729,0
6,576,0
82,234,0
15,327,0
3,566,0
10,524,0
86,666,0
38,387,7
13,584,0
12,454,0
37,447,0
178,435,0
898,646,0
26,482,0
62,995,0
129,620,7
12,507,0
37,285,0
187,664,7
26,655,0
33,732,0
205,646,7
151,732,7
101,496,0
137,792,7
4,485,0
7,674,0
46,1048,0
90,359,0
181,591,0
2,1040,0
7,1102,0
157,674,7
10,676,0
6,1064,0
16,669,0
16,636,7
167,665,7
26,646,7
10,472,0
41,577,7
9,1079,0
12,465,0
2,625,0
105,365,7
67,692,7
136,467,0
54,631,0
19,368,7
71,627,0
38,319,0
60,1047,0
102,799,0
34,531,0
74,654,0
2,646,0
23,323,0
48,498,0
19,672,0
3,630,0
11,402,0
1,340,0
96,1056,7
2,577,0
161,327,0
23,1097,7
112,311,0
9,688,0
40,439,7
6,650,0
98,368,7
106,683,0
20,1102,0
9,493,0
43,1059,7
92,512,0
312,993,0
3,242,7
41,595,0
106,515,7
1123,329,0
4,292,0
97,639,7
272,434,7
79,1098,7
59,615,7
11,1095,0
5,328,0
2,544,0
100,676,0
2,634,0
402,637,7
109,1105,0
6,449,0
16,636,0
6,580,0
1,1098,0
4,533,0
511,937,0
150,414,0
25,445,0
7,386,7
42,624,0
35,1043,7
19,491,0
56,378,7
2,645,0
102,1037,0
38,404,7
39,203,0
5,470,0
14,444,0
16,614,0
5,610,0
5,475,0
7,581,0
20,238,0
25,1025,7
3,1056,0
4,745,0
7,1026,0
34,728,7
4,330,0
69,746,7
13,542,0
214,826,7
3,367,0
56,534,7
7,1098,0
7,731,0
38,1067,0
49,344,0
7,1101,0
136,1059,0
81,804,7
10,666,0
5,485,0
2,624,0
7,673,0
36,1046,0
33,1101,0
22,672,0
22,580,7
50,368,0
2,532,0
6,479,0
102,928,0
4,367,0
12,647,0
14,282,0
55,362,0
111,421,7
17,462,0
116,674,7
331,1108,7
4,372,0
22,820,7
13,693,0
13,469,0
22,604,0
110,438,0
215,737,7
141,467,0
51,606,0
9,628,0
8,835,0
44,447,0
283,934,0
35,937,0
67,667,7
3,814,0
43,439,0
28,634,0
74,746,7
47,406,0
4,611,0
3,326,7
28,1065,0
68,458,7
2,636,0
11,376,0
2,669,0
6,451,7
26,1097,0
141,370,0
20,384,0
86,422,0
2,957,0
71,644,7
150,558,0
10,371,0
7,851,0
7,657,0
2,498,0
151,804,0
57,674,0
13,1028,7
39,1065,0
1,446,0
149,1111,7
29,368,0
154,343,0
15,446,0
19,608,0
97,643,0
233,369,0
16,1059,0
46,363,0
63,395,7
18,566,0
36,221,7
50,378,0
15,894,0
98,887,0
23,494,0
12,468,0
3,1039,0
21,443,0
53,1065,7
33,576,0
72,660,7
87,586,0
40,657,0
85,674,7
5,535,0
121,329,0
29,1003,0
36,937,0
2,450,0
121,637,0
10,540,0
143,364,0
8,971,0
7,733,0
6,244,7
8,408,0
97,1040,0
26,636,0
36,1099,7
10,448,0
283,262,0
27,359,0
23,803,0
48,460,7
156,385,0
5,649,0
1,381,0
67,841,0
32,649,0
35,336,0
9,492,0
197,429,0
122,664,0
14,375,0
16,976,0
2,642,0
49,663,7
28,498,0
89,378,7
8,413,0
10,1100,0
113,1046,7
110,496,0
14,734,0
6,1096,0
88,455,7
80,648,0
8,408,7
108,646,7
52,576,0
10,451,0
2,577,0
1,621,0
2,367,0
100,607,7
6,476,0
46,451,0
51,1101,0
5,531,0
4,511,0
8,669,0
14,526,0
69,470,0
4,378,0
28,594,0
116,362,0
41,999,0
56,464,0
10,658,0
8,464,0
228,571,7
75,383,7
1,369,0
12,1111,0
61,1017,0
82,378,7
36,366,0
81,447,0
11,576,7
27,981,0
57,493,0
24,332,0
302,425,0
69,643,0
3,244,0
110,598,0
34,456,7
17,1028,0
12,653,0
13,538,0
36,485,0
29,326,0
3,737,0
57,364,7
2,577,0
2,485,0
2,631,0
81,509,0
79,731,0
2,770,0
32,562,0
10,404,0
13,421,0
54,402,7
10,577,0
2,638,0
89,364,0
9,467,0
23,572,0
19,257,0
122,264,0
15,1092,0
150,733,0
47,664,7
13,675,0
31,498,7
12,370,0
10,604,0
2,577,0
11,669,0
178,287,0
13,457,0
74,356,0
231,608,7
17,494,0
8,598,0
62,307,7
7,478,7
134,796,0
5,367,0
9,418,0
13,327,7
170,326,0
26,641,0
65,283,7
55,378,0
10,659,0
469,376,0
6,653,0
1064,910,7
110,538,7
10,267,0
2,1070,0
10,532,0
13,408,0
42,641,0
9,336,0
20,1062,0
6,681,0
32,968,0
82,439,0
6,651,0
72,379,7
43,1017,0
99,437,0
51,418,7
5,949,0
11,368,7
10,370,0
5,1036,0
10,382,0
24,671,0
67,381,0
211,554,7
10,663,0
26,1039,0
40,1038,0
30,810,0
72,576,0
8,546,0
8,370,0
26,573,0
18,491,0
5,525,0
175,548,0
71,1002,7
24,318,7
48,552,0
7,360,0
98,454,0
18,233,0
6,669,0
15,542,0
3,339,0
6,577,0
15,262,0
28,1086,0
39,328,0
4,576,0
59,635,0
9,500,0
160,609,0
151,654,0
5,250,0
123,398,7
22,739,0
4,722,0
41,646,0
59,452,7
16,492,0
9,417,0
170,573,0
2,577,0
120,640,0
186,525,0
4,578,0
58,1077,0
6,365,0
14,334,0
173,674,7
70,807,7
126,472,0
11,444,0
22,574,0
61,1032,0
64,397,0
923,494,0
8,246,0
8,438,0
65,737,0
19,480,0
11,676,0
42,1048,0
17,731,0
13,799,0
27,418,0
56,603,0
27,234,0
14,650,0
8,824,0
43,937,0
44,417,0
6,651,0
9,440,0
6,446,0
17,525,0
126,633,0
30,667,0
4,1068,0
59,796,0
4,329,0
197,404,0
60,333,0
26,203,0
82,628,0
67,959,0
15,943,0
82,970,0
8,564,0
160,362,7
18,531,0
3,433,0
13,839,0
335,323,7
74,574,0
105,924,0
53,469,0
7,676,7
6,459,0
33,370,0
43,669,0
55,1039,0
32,279,0
6,573,0
5,598,0
2,665,0
22,670,0
2,577,0
58,645,0
137,246,0
37,440,0
145,731,7
127,1058,0
4,447,0
728,435,7
7,464,0
8,774,0
36,508,7
6,1057,0
252,365,7
6,1037,0
72,380,0
46,671,7
21,288,0
71,631,0
30,209,0
24,408,7
10,422,0
21,573,0
11,423,0
94,449,0
48,597,0
10,623,0
29,627,0
10,450,0
13,363,0
16,368,7
7,749,0
23,606,0
2765,571,7
19,646,0
40,1080,0
112,622,0
46,468,0
43,757,0
33,624,0
100,587,0
36,366,0
53,327,7
61,469,0
9,650,0
9,655,0
45,664,0
46,980,0
40,403,0
19,748,0
13,1082,0
5,559,0
6,508,7
40,654,0
5,472,0
13,897,0
3,766,0
8,618,0
103,499,0
25,446,7
13,1028,7
5,531,0
4,384,0
108,661,7
6,474,0
130,312,7
31,369,0
73,439,0
161,620,0
26,448,0
81,397,7
16,384,0
116,623,0
6,445,0
309,403,0
5,571,0
1,354,0
4,435,0
128,512,7
6,412,0
14,438,0
9,1103,0
181,338,0
100,404,0
10,625,0
8,911,0
116,399,0
41,315,0
70,1082,0
258,847,0
60,800,7
119,671,0
10,501,0
16,295,0
2,627,0
55,623,0
5,445,0
23,437,0
22,820,0
54,627,0
94,409,0
15,576,0
5,661,0
109,661,0
16,496,0
102,625,0
64,1038,7
48,343,7
8,509,0
2,542,0
34,627,0
103,227,0
24,1054,0
85,626,0
29,451,0
17,975,0
24,497,0
78,653,0
26,440,0
109,461,7
4,277,0
2,550,0
5,515,0
8,404,7
22,667,7
62,549,0
120,670,0
301,683,0
41,364,0
2,644,0
6,645,0
138,1031,0
207,506,7
280,785,7
4,951,0
266,608,7
30,261,0
132,511,0
15,576,0
11,203,0
1,968,0
4,451,0
80,627,7
29,1028,7
6,265,0
6,605,0
10,673,0
45,675,0
54,1060,0
4,270,0
11,283,0
56,463,7
104,357,0
82,1108,0
216,350,7
12,510,0
59,378,7
72,935,0
11,452,0
61,328,0
67,454,0
8,405,0
19,1063,0
19,435,7
126,459,7
19,460,0
24,448,0
39,378,0
86,447,7
5,812,0
32,465,0
11,398,0
45,1105,0
19,427,0
5,540,0
265,567,0
36,718,0
7,1058,0
85,461,7
345,1033,0
13,498,0
6,821,0
62,470,0
303,639,7
19,289,0
41,1031,0
56,1060,7
3,320,0
8,981,0
9,408,0
108,467,0
104,737,0
8,607,0
84,730,7
9,445,0
72,329,0
34,437,0
5,397,0
421,431,0
32,893,0
117,606,7
45,414,7
42,937,0
73,1100,0
5,297,0
219,749,0
12,285,0
