@relation 'combined-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,last'

@attribute ncommitsbycreator numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
6,271,38,0
0,334,23,14
1,327,78,14
0,381,74,0
0,427,84,0
0,389,78,0
1,347,25,14
5,464,96,0
1,350,76,0
0,289,56,14
0,406,125,0
3,375,83,0
3,423,79,0
0,372,75,0
9,416,129,0
0,522,150,0
0,442,181,0
0,302,74,0
0,280,25,14
0,376,82,0
0,481,110,0
1,367,102,14
3,356,75,14
0,336,77,0
2,398,81,14
0,463,95,0
0,327,69,0
25,412,145,0
0,380,64,14
0,453,174,0
2,302,29,0
0,320,93,0
0,385,70,0
0,336,84,0
11,521,151,0
0,484,103,0
0,542,137,0
0,513,130,0
0,384,79,0
0,436,168,0
16,272,73,0
10,271,73,0
0,326,71,0
0,384,66,0
0,414,121,14
2,481,104,0
0,396,76,14
0,289,50,14
2,318,27,14
3,316,85,0
0,411,126,14
0,389,112,0
0,390,77,14
12,393,77,14
0,544,171,0
0,393,116,0
0,504,143,0
0,376,83,0
2,366,59,0
0,376,76,0
0,536,134,0
0,440,179,0
0,387,76,0
0,525,131,0
3,531,153,0
0,313,76,0
3,295,74,14
0,440,169,0
3,565,141,0
1,386,66,0
0,402,79,14
0,413,67,0
0,287,14,14
0,423,89,0
0,398,115,0
24,282,49,0
0,334,21,0
5,379,70,0
2,354,58,0
17,274,74,0
0,414,126,0
0,535,133,0
0,395,117,0
0,371,76,0
0,376,63,14
13,309,80,0
0,273,23,0
12,356,58,0
3,399,76,0
0,408,79,14
0,416,78,14
14,275,44,0
0,325,80,0
0,538,168,0
0,365,101,0
5,444,85,0
12,408,129,0
14,266,43,0
7,329,76,0
1,484,115,14
0,312,87,0
1,374,67,0
0,432,80,0
0,326,77,0
0,293,15,14
1,480,177,0
1,407,125,0
2,387,78,14
0,315,27,14
0,334,27,0
0,426,83,0
0,265,34,0
0,445,181,0
0,494,113,0
5,449,172,0
13,275,75,0
0,507,181,0
0,379,82,0
0,531,135,14
0,520,170,0
4,339,24,14
1,316,80,0
0,445,178,0
0,513,125,0
0,280,44,0
0,532,134,0
0,428,159,0
0,326,29,0
0,310,79,0
2,322,77,0
0,423,79,0
0,440,81,0
12,388,70,0
0,407,77,0
0,323,70,0
0,425,162,0
6,402,79,0
0,282,13,0
1,380,68,0
0,453,183,0
0,484,110,0
0,406,124,0
0,440,174,0
0,394,122,0
0,423,76,0
0,407,124,0
13,281,47,0
1,365,59,0
6,383,75,0
0,413,128,0
0,552,141,0
0,451,180,0
2,448,182,0
22,280,56,0
0,402,123,0
0,407,132,0
0,348,24,14
7,410,71,14
1,531,170,0
0,501,118,0
0,328,85,0
3,446,178,0
0,311,87,0
0,411,143,0
0,409,82,0
3,393,75,0
1,330,78,0
8,507,127,0
1,525,186,0
0,525,151,0
0,283,32,0
2,384,76,0
0,275,24,0
0,488,136,0
0,526,185,0
2,529,160,0
0,325,77,0
0,289,53,0
0,420,78,14
0,299,55,14
6,451,174,0
2,420,154,0
0,300,55,0
0,414,129,0
0,318,23,14
37,273,72,0
0,517,130,0
2,294,54,14
0,317,25,14
0,428,157,0
0,427,162,0
19,272,55,0
1,283,25,14
9,270,73,0
0,309,23,14
0,442,175,0
6,272,38,0
6,332,63,0
3,334,87,0
0,421,157,0
7,469,102,0
0,327,70,0
7,323,76,0
0,324,26,14
0,448,104,0
1,381,73,0
0,469,172,0
0,387,78,14
8,363,75,0
0,336,83,0
0,425,76,0
5,386,69,0
0,396,74,14
4,566,141,0
0,429,82,0
0,541,135,0
0,424,76,14
15,270,72,0
0,535,169,0
0,473,174,0
1,335,25,0
0,299,29,0
0,339,29,14
1,388,66,0
0,354,75,0
0,410,77,0
28,413,149,0
0,395,114,0
0,297,51,14
0,416,88,0
0,407,115,0
0,400,121,0
0,488,135,0
0,378,83,0
0,300,56,0
0,356,94,0
0,426,159,0
50,424,161,0
0,384,76,14
0,285,14,14
3,385,110,0
3,268,70,14
0,411,145,0
0,425,83,14
0,274,24,0
0,421,161,14
0,337,84,14
0,401,119,0
0,452,179,0
0,552,142,0
7,332,64,0
0,418,152,0
0,470,174,0
0,417,85,0
0,407,77,0
0,512,129,0
0,523,152,14
0,427,84,0
1,319,79,0
0,407,125,0
15,296,51,0
15,296,56,0
0,413,76,0
5,382,75,0
0,404,67,0
0,310,78,14
4,372,75,0
9,553,140,0
0,519,184,0
0,274,44,14
0,518,149,0
31,368,75,0
0,439,169,0
16,280,45,0
0,388,75,14
0,283,57,0
0,344,64,0
0,381,68,0
21,282,47,0
1,475,177,0
0,316,85,0
2,434,80,0
0,391,119,0
0,507,128,0
0,321,78,0
4,409,127,0
18,278,74,0
0,520,131,0
0,276,77,14
1,449,179,0
0,491,104,0
0,483,109,0
0,405,130,0
2,277,43,14
4,406,77,0
5,275,33,0
3,376,68,0
0,404,79,14
0,440,86,0
0,383,85,14
3,394,74,0
0,337,88,0
0,490,111,0
0,526,151,0
0,450,178,0
0,403,131,0
0,388,78,0
0,413,145,0
0,502,182,0
0,334,83,0
5,434,85,0
0,406,79,14
0,363,56,0
0,247,11,14
0,428,163,0
0,465,95,0
6,322,83,0
0,427,163,0
8,462,179,0
5,401,76,14
7,362,74,0
3,317,75,0
0,474,174,0
0,344,31,0
0,374,63,0
1,524,181,0
0,387,111,0
0,341,78,0
0,511,125,0
2,360,59,0
12,392,75,0
0,487,103,0
0,435,171,0
0,315,78,0
9,274,41,0
0,487,177,0
0,410,78,0
0,516,128,0
20,308,76,14
0,524,131,0
4,408,127,0
0,376,68,14
0,512,129,0
0,386,70,0
0,373,76,14
66,443,181,0
2,396,81,14
0,333,83,0
0,399,74,0
48,424,161,0
62,436,170,0
0,545,142,0
0,398,74,0
3,380,68,0
32,374,76,0
0,377,102,0
0,404,79,14
0,310,77,0
0,505,143,0
0,386,68,14
5,488,103,0
0,276,23,14
0,329,77,0
2,272,41,14
0,287,25,0
0,422,89,0
0,440,81,14
3,382,71,0
14,283,49,0
0,426,83,14
0,436,98,0
0,540,137,0
0,350,23,14
0,373,79,0
0,515,130,0
0,552,139,0
0,450,179,0
0,482,108,0
11,273,74,0
37,420,155,0
0,389,78,14
3,326,83,0
0,489,123,14
7,328,76,0
0,505,143,0
2,346,87,0
0,349,89,0
0,433,78,0
0,453,175,0
8,268,73,14
7,407,76,14
0,326,71,0
0,362,72,0
0,288,56,14
0,411,129,0
0,526,183,0
0,384,73,0
0,523,133,0
0,523,151,0
0,409,130,0
0,336,32,0
0,429,160,0
1,286,24,0
1,337,27,0
0,446,182,0
15,386,66,0
2,340,31,14
0,488,136,0
0,482,107,0
0,414,122,0
0,432,169,0
0,447,173,0
1,356,76,14
55,438,167,0
42,420,156,0
0,423,157,0
14,367,62,0
0,553,136,14
0,319,93,14
1,410,78,0
0,324,91,0
4,378,101,0
0,431,166,0
0,498,117,0
3,397,122,0
0,437,168,0
0,341,85,0
7,519,148,0
0,313,27,0
3,502,122,0
1,350,53,0
0,434,80,0
8,274,39,0
0,330,76,0
0,538,135,14
0,317,77,0
0,426,83,0
1,274,32,0
0,312,79,0
0,391,71,14
0,392,108,0
2,396,81,14
0,427,163,0
0,524,151,0
0,423,78,14
0,498,120,0
0,373,102,0
3,324,83,0
0,388,69,0
4,414,125,0
25,328,78,0
0,464,95,0
0,451,182,0
0,393,71,0
0,392,74,0
3,305,30,0
0,401,118,0
0,394,110,0
0,386,73,14
2,436,168,0
0,494,105,0
0,385,107,0
0,447,94,0
0,357,95,0
1,386,66,0
0,382,74,0
1,279,49,14
1,521,178,0
0,278,33,0
0,320,91,0
18,277,57,0
0,330,79,0
0,398,77,0
0,327,23,0
2,352,58,0
0,385,64,0
0,299,18,14
0,335,21,0
0,331,81,0
1,314,80,0
0,407,135,0
0,327,80,0
7,419,152,0
0,386,75,14
13,410,141,0
2,442,179,0
0,414,128,0
0,413,68,0
0,387,66,0
0,370,101,0
50,431,159,0
0,404,125,0
1,276,43,14
0,386,108,0
0,525,129,0
0,493,114,0
0,326,73,0
0,404,123,0
23,311,74,0
0,410,81,0
0,435,80,0
2,396,76,0
1,431,76,0
11,389,70,0
0,511,182,0
0,431,165,0
0,386,107,0
0,342,33,14
3,532,135,0
0,504,122,0
0,354,52,0
0,534,170,0
0,425,161,0
16,489,178,0
2,483,117,0
1,401,78,0
2,374,67,0
7,514,129,0
0,411,143,0
0,259,53,0
1,336,27,0
0,405,125,0
2,524,183,0
0,293,75,14
9,406,126,0
0,275,76,0
0,407,69,14
22,284,50,0
8,415,127,0
0,410,76,0
0,414,68,0
0,458,107,0
26,416,148,0
0,488,111,0
0,515,123,14
7,409,119,0
2,335,88,0
0,385,63,14
3,386,110,0
0,273,75,14
0,274,33,14
6,495,110,0
7,278,72,0
1,412,127,0
12,275,74,0
4,268,70,0
0,301,24,14
0,305,28,14
0,420,88,0
2,414,88,0
0,366,57,0
11,322,88,0
0,409,127,0
0,439,174,0
0,462,96,0
1,437,167,0
2,444,178,0
0,266,42,0
0,321,68,0
0,375,68,0
0,400,79,14
0,419,72,0
0,379,79,0
0,424,157,0
0,291,25,14
0,276,13,14
2,335,81,0
0,401,115,14
1,380,76,0
1,269,41,0
0,522,131,14
1,376,63,0
0,412,67,0
0,410,72,0
0,410,127,0
0,446,180,0
0,347,25,0
0,540,171,0
15,289,76,14
0,375,76,14
0,280,60,14
11,276,44,0
7,405,115,0
2,338,80,0
35,415,150,0
0,402,119,0
0,488,135,0
20,261,55,0
0,435,169,0
0,426,80,14
0,376,101,0
0,447,172,0
20,297,73,0
0,470,103,0
0,302,46,14
7,331,64,0
0,505,181,0
0,383,66,0
0,528,152,0
0,346,33,0
14,273,75,0
0,398,118,0
1,413,121,0
17,286,56,0
0,352,40,14
0,343,65,0
0,271,44,14
0,376,63,14
2,338,21,0
0,466,96,14
3,384,63,0
0,329,79,0
2,387,77,0
1,343,27,0
44,425,159,0
0,433,77,0
0,449,173,0
5,270,71,0
0,427,161,0
0,404,132,0
1,445,181,0
0,258,53,0
0,277,13,0
0,315,21,14
0,413,71,0
0,500,181,0
0,288,25,0
0,385,87,14
6,353,93,0
0,426,157,0
22,308,76,0
0,497,116,0
2,395,75,0
0,315,75,0
0,457,177,0
0,472,103,0
3,400,79,0
0,462,177,0
1,543,135,0
2,409,129,0
0,424,78,14
24,285,52,14
0,337,28,0
0,269,36,0
13,415,80,0
0,355,23,14
0,406,68,0
19,298,72,0
10,407,126,0
3,394,78,0
0,346,76,0
0,397,121,0
1,265,56,0
1,341,26,0
4,327,84,0
0,500,121,0
0,371,78,0
0,525,152,0
0,333,32,0
0,329,70,0
0,284,32,14
27,300,54,0
1,376,69,0
0,420,78,14
0,306,76,0
2,327,76,0
0,282,58,14
6,276,72,0
9,326,87,0
0,331,82,0
2,529,133,0
8,269,72,0
0,444,180,0
5,402,76,14
0,330,68,0
1,359,23,0
0,314,73,0
2,526,183,0
1,336,21,0
1,307,78,14
33,379,76,0
1,344,85,0
13,269,46,0
27,336,77,0
0,290,54,0
0,534,133,0
0,283,49,0
0,448,178,0
0,340,85,0
3,421,76,0
6,266,40,0
0,408,130,0
0,459,175,0
2,324,76,0
2,271,31,0
1,371,61,0
26,322,79,0
1,521,150,0
0,414,149,0
1,331,76,0
0,544,138,0
1,523,131,0
7,406,115,0
15,276,43,0
0,479,104,0
0,294,26,14
0,397,114,0
0,490,124,14
0,377,68,0
24,285,52,14
1,387,66,0
0,497,115,0
0,398,121,0
0,537,135,0
24,312,77,0
0,259,15,0
13,388,72,0
0,324,28,14
3,381,75,0
4,375,69,0
2,385,76,0
0,411,76,0
0,419,78,0
3,481,115,0
0,274,37,0
2,418,129,0
2,350,57,0
0,500,117,0
0,310,43,0
0,323,70,0
0,354,23,14
0,441,179,0
0,472,103,14
0,436,167,0
0,325,78,0
0,543,137,0
0,404,130,0
1,373,63,0
0,409,127,0
0,314,27,14
0,328,77,0
21,301,74,0
3,394,73,0
1,309,18,0
20,260,53,0
0,391,70,0
0,438,175,0
2,396,71,0
0,519,175,0
0,295,41,0
0,278,77,14
20,407,133,0
0,342,85,0
4,486,103,0
0,352,55,0
0,547,143,0
6,457,96,0
0,272,14,14
0,338,29,14
0,482,177,0
0,346,65,0
0,411,84,0
0,552,143,0
10,407,127,0
0,410,76,0
0,448,174,0
0,421,88,0
0,551,139,14
0,527,151,0
0,411,121,14
0,384,66,0
0,223,8,14
0,392,78,14
43,277,75,0
1,526,149,0
0,487,105,14
3,265,69,0
2,344,32,0
10,430,84,0
5,427,82,0
0,268,39,0
0,372,63,0
4,387,68,0
1,388,69,0
2,378,63,14
1,371,102,0
0,286,40,14
0,255,14,0
10,406,126,0
2,266,68,0
0,318,78,0
2,408,127,0
0,471,111,0
1,540,135,0
0,368,62,0
0,392,74,0
1,530,133,0
2,264,67,0
0,402,130,0
0,409,126,0
14,307,78,14
0,298,26,0
0,313,89,14
0,362,72,0
0,377,63,0
1,505,180,0
0,389,78,0
0,449,182,0
0,396,78,0
2,402,76,0
0,500,122,0
2,271,41,0
4,319,76,0
0,403,130,0
1,377,70,0
0,359,74,0
0,383,68,0
0,311,18,14
0,376,80,0
8,412,121,0
0,379,81,0
7,406,128,0
0,349,76,14
0,348,75,14
0,482,176,0
7,272,40,0
3,385,110,0
0,343,31,0
0,446,174,0
17,286,55,0
2,400,78,0
0,531,188,0
3,389,72,14
0,270,13,14
1,316,90,0
0,522,171,0
0,511,182,0
0,279,59,0
2,522,149,0
0,511,129,0
1,288,54,0
0,372,103,0
0,292,50,0
0,522,131,0
0,315,80,0
0,515,183,0
2,325,76,0
0,487,123,0
0,395,74,14
0,324,76,0
0,408,128,14
10,388,75,14
23,284,51,14
7,520,149,0
0,424,161,0
47,425,160,0
0,523,150,0
4,268,43,0
0,270,55,14
0,526,160,0
0,418,88,0
0,386,69,0
3,387,74,0
0,376,102,0
0,392,74,0
0,414,145,0
0,354,23,0
0,264,7,14
345,309,9,14
0,267,8,14
342,256,7,14
0,212,84,0
0,303,8,14
0,316,14,14
0,275,3,14
308,297,9,14
0,289,9,14
320,45,0,14
360,267,8,14
0,270,30,14
248,255,4,14
0,112,0,14
0,225,78,0
0,283,8,14
372,255,10,14
329,305,7,14
0,251,7,14
0,272,43,14
0,235,126,0
0,276,13,14
0,310,10,14
179,207,96,14
0,388,76,0
0,267,4,14
0,303,155,14
0,289,10,14
0,442,86,14
359,303,8,14
0,178,94,14
348,250,8,14
14,403,76,0
0,261,25,14
306,245,9,14
13,325,7,14
0,288,9,14
0,299,7,14
380,289,8,14
0,237,12,0
361,244,1,14
339,287,10,14
370,274,9,14
414,280,11,14
368,304,9,14
0,291,7,14
346,247,9,14
43,299,171,14
0,261,6,14
358,304,8,14
397,263,11,14
387,286,7,14
0,335,83,0
398,272,11,14
268,301,171,14
0,211,84,0
30,333,29,14
0,119,0,14
252,91,0,14
316,254,11,14
0,405,78,0
5,289,6,14
0,274,11,14
308,120,0,14
292,296,7,14
0,297,5,14
0,511,129,0
385,253,3,14
11,424,83,0
2,271,7,14
0,272,11,14
0,234,9,14
0,296,87,14
315,282,6,14
241,58,0,14
0,289,8,14
322,263,11,14
0,273,2,14
325,276,13,14
0,261,2,14
366,271,8,14
245,121,2,14
0,293,14,14
0,264,10,14
221,267,6,0
0,279,3,14
0,288,8,14
0,266,4,14
0,241,2,14
325,257,6,14
215,86,0,14
0,274,40,0
0,280,5,14
91,267,2,14
0,116,3,14
0,110,3,14
0,281,5,14
213,262,5,14
0,329,8,0
235,261,160,0
0,267,4,14
0,241,9,14
339,251,11,14
385,324,6,14
0,269,7,14
0,263,10,14
0,289,8,14
0,292,16,14
364,276,2,14
359,270,8,14
0,174,97,14
0,268,187,14
267,246,2,14
220,262,6,0
45,262,45,14
379,292,8,14
0,224,83,0
0,276,2,14
0,288,8,14
0,267,4,14
0,351,12,14
363,296,10,14
0,277,2,14
73,283,14,0
0,252,10,14
0,243,157,0
0,275,10,14
240,63,0,14
0,103,0,14
52,328,30,14
0,256,8,0
350,272,8,14
0,248,1,14
0,263,10,14
391,318,6,14
0,341,11,14
0,253,8,14
264,246,2,14
0,258,162,14
184,259,45,14
0,293,10,14
268,281,187,14
0,176,9,14
338,268,7,14
0,302,5,14
0,252,164,0
0,266,4,14
0,322,20,0
0,107,3,14
22,359,17,14
93,269,2,14
0,467,96,14
370,289,10,14
0,301,8,14
52,316,29,0
55,223,79,0
0,289,8,14
420,361,13,14
297,286,5,14
278,273,2,14
231,67,0,14
0,280,2,14
0,301,3,14
0,270,13,14
0,29,0,14
0,291,5,14
0,145,7,14
0,350,12,14
269,246,2,14
308,232,10,14
0,301,9,14
0,273,1,14
0,255,8,14
0,276,10,14
0,285,6,14
0,297,42,0
367,267,7,14
0,277,3,14
0,273,2,14
378,271,4,14
0,120,2,0
0,269,4,14
53,272,15,14
296,283,5,14
0,78,0,14
52,318,32,0
0,270,4,14
358,314,8,14
0,312,16,14
0,294,82,14
0,261,70,14
381,300,9,14
0,283,2,14
0,285,50,0
127,175,97,14
0,318,6,14
315,253,11,14
0,262,10,14
0,324,7,14
335,321,25,14
0,272,11,14
0,281,48,0
0,229,126,0
0,104,0,14
385,326,7,14
365,259,3,14
59,270,44,14
0,115,3,14
243,276,40,14
210,229,75,0
0,55,0,14
0,277,2,14
0,332,11,14
340,97,0,14
0,301,126,14
349,312,9,14
283,2,0,14
0,306,9,14
122,107,3,14
0,99,0,14
0,252,8,14
0,289,6,14
345,252,8,14
0,156,7,14
236,265,4,14
0,287,8,14
0,115,3,14
328,314,24,0
317,304,5,14
386,282,7,14
0,15,0,14
0,279,4,14
309,10,0,14
122,201,90,14
0,296,4,14
0,358,12,14
402,360,12,14
393,265,11,14
0,280,10,14
0,257,6,14
0,257,6,14
412,273,12,14
195,265,44,14
0,250,2,14
342,299,8,14
327,317,25,0
0,255,2,14
0,291,8,14
0,344,11,14
0,289,41,0
328,130,0,14
0,254,11,14
0,301,12,14
0,295,53,0
0,300,8,14
0,316,15,14
0,294,4,14
0,245,2,14
0,187,91,14
0,307,7,14
0,320,8,14
0,273,7,14
309,12,0,14
0,299,9,14
0,274,11,14
0,251,7,14
0,261,6,14
310,232,9,14
0,249,7,14
0,274,9,0
0,253,7,14
0,328,13,0
0,261,45,14
0,301,156,14
0,282,9,14
0,275,33,14
0,272,19,14
0,234,8,0
0,429,82,0
35,323,30,14
0,270,11,14
0,285,50,0
0,344,12,14
353,265,7,14
0,361,19,14
58,265,64,14
342,263,6,14
0,270,7,14
330,306,7,14
213,263,5,14
0,107,0,14
0,284,6,14
245,60,0,14
202,230,93,0
22,325,6,14
133,207,90,0
58,249,159,14
223,251,164,14
0,264,171,14
0,275,11,14
0,251,3,14
0,281,5,14
0,113,2,14
261,292,60,14
0,288,10,14
267,247,2,14
0,319,6,14
73,175,10,0
0,321,23,0
0,277,37,14
372,290,9,14
0,285,6,14
254,284,90,14
0,267,11,14
0,289,8,14
0,234,104,0
0,289,9,14
0,98,0,14
0,126,2,14
343,303,6,14
289,297,6,14
215,222,79,14
0,282,3,14
390,297,3,14
0,315,14,14
0,252,9,14
24,319,26,0
75,232,98,14
0,428,82,0
0,296,7,14
354,316,9,14
0,194,91,14
0,300,7,14
0,119,0,14
0,293,3,14
0,267,22,0
0,267,67,14
0,295,69,14
0,252,11,14
358,251,1,14
2,289,7,14
0,280,8,14
0,522,151,0
0,188,94,14
0,278,3,14
66,342,29,0
0,271,8,14
0,287,11,14
14,282,4,14
0,109,2,14
0,262,25,14
317,293,10,14
0,310,10,14
252,274,187,14
0,120,4,14
62,317,24,0
0,287,11,14
0,254,57,0
392,299,3,14
0,100,0,14
0,242,7,14
0,127,2,14
374,291,10,14
0,244,157,0
408,353,12,14
0,265,25,14
0,271,23,0
405,309,4,14
0,257,9,14
0,521,131,14
0,295,8,14
0,111,2,14
0,266,11,14
0,152,7,14
407,264,11,14
0,102,0,14
64,279,43,0
296,283,5,14
0,316,6,14
41,265,6,14
351,292,14,14
0,298,5,14
0,210,96,0
0,300,171,14
0,267,4,14
190,261,25,14
0,176,11,14
0,297,10,14
88,260,2,14
0,284,6,14
378,275,4,14
0,277,10,14
268,297,171,14
379,251,9,14
215,254,6,14
125,176,97,14
0,315,9,14
238,119,2,14
0,121,2,14
18,311,21,14
0,263,17,14
0,269,4,14
385,336,9,14
36,162,7,14
0,279,98,14
0,270,8,14
0,273,7,14
210,229,95,0
0,260,12,14
0,321,25,14
0,276,3,14
52,270,21,14
0,282,9,14
0,323,6,14
202,233,93,0
61,107,2,14
347,294,16,14
331,275,13,14
431,366,13,14
382,259,11,14
353,316,9,14
0,338,29,0
321,233,9,14
0,251,8,14
0,206,90,14
0,209,70,14
409,353,12,14
0,383,79,0
0,97,0,14
19,291,62,14
252,56,0,14
0,267,4,14
0,174,10,0
0,319,13,14
14,308,3,0
0,254,7,14
255,286,90,14
309,115,0,14
317,279,1,14
376,268,4,14
197,265,44,14
0,300,9,14
0,207,84,0
358,321,8,14
0,257,60,14
397,273,11,14
306,301,7,14
356,253,7,14
243,113,0,14
62,264,167,14
348,269,11,14
0,241,2,14
238,265,4,14
0,231,8,14
0,292,9,14
432,366,13,14
0,252,8,14
348,272,11,14
182,254,25,14
0,303,7,14
0,327,64,0
0,252,2,14
0,296,7,14
372,298,10,14
0,143,7,14
0,257,7,0
329,319,23,0
0,343,11,14
194,264,44,14
185,263,49,14
342,264,6,14
0,283,5,14
0,296,87,14
177,205,97,14
334,111,0,14
410,277,11,14
359,280,2,14
0,291,43,14
0,258,11,14
402,277,11,14
21,317,23,0
0,289,7,14
0,123,2,14
0,264,9,14
55,260,68,14
0,240,9,14
0,281,5,14
0,279,7,14
0,289,7,14
0,276,2,14
0,279,11,14
0,269,8,14
209,232,104,14
0,308,6,0
369,275,8,14
48,171,8,14
118,187,92,14
376,247,2,14
350,276,2,14
382,272,4,14
430,366,13,14
0,112,0,0
0,302,10,14
0,311,9,14
0,255,7,14
0,260,6,14
5,270,7,14
0,269,8,14
255,296,74,14
307,296,8,14
0,324,6,14
0,279,1,14
4,378,63,0
0,296,6,0
0,288,43,14
0,259,3,14
125,175,97,14
358,238,1,14
11,289,6,14
7,408,77,14
334,237,9,14
0,254,8,14
0,276,38,14
0,273,11,14
0,30,0,14
0,225,86,14
0,284,27,0
8,359,12,14
0,263,12,14
0,295,16,14
0,318,15,14
0,290,55,14
267,294,150,14
299,286,5,14
349,246,7,14
0,261,68,14
345,308,9,14
0,304,8,14
383,334,9,14
387,269,4,14
0,309,4,14
34,279,13,0
0,148,7,14
370,275,8,14
0,313,25,0
0,273,4,14
384,279,4,14
0,412,141,0
29,321,28,14
0,341,32,0
0,352,12,14
0,246,2,14
352,248,7,14
0,337,17,14
304,247,9,14
0,117,0,14
0,285,5,0
342,304,6,14
389,299,8,14
37,242,11,0
0,287,7,14
264,96,0,14
0,265,4,14
0,311,15,14
382,287,8,14
351,286,10,14
218,267,5,14
324,272,1,14
0,258,27,14
0,271,13,14
341,300,9,14
91,264,2,14
0,359,16,0
0,267,11,14
0,276,2,14
0,254,7,14
0,327,73,0
0,311,19,0
0,257,6,14
0,277,15,14
291,297,7,14
0,284,7,0
333,263,7,14
372,273,9,14
387,338,10,14
0,278,37,14
0,268,19,0
0,106,1,14
0,320,24,14
70,347,34,0
0,114,3,14
0,334,11,0
338,255,6,14
0,327,12,14
95,255,46,14
102,107,2,14
0,118,2,14
34,287,18,0
0,293,113,14
242,59,0,14
0,255,5,14
7,284,5,14
0,278,10,14
0,293,10,14
333,282,14,14
309,9,0,14
13,437,86,0
0,165,7,14
0,304,9,14
5,337,9,14
0,171,10,14
0,125,2,14
0,174,10,14
0,273,9,14
0,327,8,14
0,338,17,14
0,244,1,14
0,339,13,14
0,341,13,0
0,351,13,0
363,315,8,14
305,305,10,14
0,267,7,14
0,277,10,14
0,278,8,14
112,249,2,14
0,156,7,14
0,362,13,14
0,268,19,14
0,289,182,14
0,248,7,14
55,98,2,14
0,83,0,14
304,110,0,14
289,275,2,14
0,217,90,14
0,278,19,0
395,285,27,14
0,303,130,14
253,280,92,14
0,173,10,14
393,266,11,14
0,265,29,0
341,254,7,14
0,259,3,14
122,257,3,14
366,256,9,14
0,293,177,14
0,300,138,14
213,230,77,0
356,277,2,14
366,265,4,14
0,251,7,14
392,297,3,14
0,269,11,14
192,219,90,14
0,361,17,14
0,210,76,14
340,254,7,14
389,290,2,14
232,259,160,0
182,259,25,14
0,303,6,14
409,305,3,14
0,502,126,0
0,248,8,14
347,249,8,14
0,335,17,0
0,297,4,14
232,253,162,0
0,205,84,14
54,266,73,14
392,284,4,0
0,103,2,14
356,283,10,14
39,260,6,14
0,349,12,14
47,304,134,14
0,187,95,14
50,307,167,14
216,226,78,14
81,275,8,14
0,265,7,14
218,259,6,0
0,292,10,14
0,311,4,14
0,479,111,0
0,261,57,14
0,260,6,14
0,265,189,14
359,287,10,14
6,305,9,14
375,281,11,14
0,364,13,14
0,294,3,14
400,299,4,0
0,253,9,14
0,255,8,14
0,320,6,14
344,284,9,14
0,256,9,14
0,253,7,14
0,112,2,14
0,278,2,14
223,242,157,0
371,270,8,14
0,169,9,14
0,262,15,0
217,263,70,14
197,265,17,14
0,527,134,0
320,46,0,14
326,281,3,14
0,274,8,14
235,70,0,14
0,253,7,14
0,270,34,0
347,276,11,14
0,291,10,14
400,293,4,14
0,263,6,14
0,342,16,14
0,268,12,0
64,322,24,0
47,307,134,14
0,260,49,14
347,272,2,14
70,124,2,14
336,268,7,14
356,266,7,14
321,281,10,14
369,277,8,14
0,269,11,14
50,267,15,14
309,6,0,14
111,181,93,14
0,273,11,14
0,289,10,14
