@relation 'combined-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,last'

@attribute ncommitsbycreator numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
66,443,181,0
2,396,81,30
0,333,83,0
0,399,74,0
48,424,161,0
62,436,170,0
0,545,142,0
0,398,74,0
3,380,68,0
32,374,76,0
0,377,102,0
0,404,79,30
0,310,77,0
0,505,143,0
0,386,68,30
5,488,103,0
0,276,23,30
0,329,77,0
2,272,41,30
0,287,25,0
0,422,89,0
0,440,81,30
3,382,71,0
14,283,49,0
0,426,83,0
0,436,98,0
0,540,137,0
0,350,23,30
0,373,79,0
0,515,130,0
0,552,139,0
0,450,179,0
0,482,108,0
11,273,74,0
37,420,155,0
0,389,78,30
3,326,83,0
0,489,123,30
7,328,76,0
0,505,143,0
2,346,87,0
0,349,89,0
0,433,78,0
0,453,175,0
8,268,73,30
7,407,76,0
0,326,71,0
0,362,72,0
0,288,56,30
0,411,129,0
0,526,183,0
0,384,73,0
0,523,133,0
0,523,151,0
0,409,130,0
0,336,32,0
0,429,160,0
1,286,24,0
1,337,27,0
0,446,182,0
15,386,66,0
2,340,31,0
0,488,136,0
0,482,107,0
0,414,122,0
0,432,169,0
0,447,173,0
1,356,76,0
55,438,167,0
42,420,156,0
0,423,157,0
14,367,62,0
0,553,136,0
0,319,93,30
1,410,78,0
0,324,91,0
4,378,101,0
0,431,166,0
0,498,117,0
3,397,122,0
0,437,168,0
0,341,85,0
7,519,148,0
0,313,27,0
3,502,122,0
1,350,53,0
0,434,80,0
8,274,39,0
0,330,76,0
0,538,135,30
0,317,77,0
0,426,83,0
1,274,32,0
0,312,79,0
0,391,71,30
0,392,108,0
2,396,81,0
0,427,163,0
0,524,151,0
0,423,78,0
0,498,120,0
0,373,102,0
3,324,83,0
0,388,69,0
4,414,125,0
25,328,78,0
0,464,95,0
0,451,182,0
0,393,71,0
0,392,74,0
3,305,30,0
0,401,118,0
0,394,110,0
0,386,73,30
2,436,168,0
0,494,105,0
0,385,107,0
0,447,94,0
0,357,95,0
1,386,66,0
0,382,74,0
1,279,49,30
1,521,178,0
0,278,33,0
0,320,91,0
18,277,57,0
0,330,79,0
0,398,77,0
0,327,23,0
2,352,58,0
0,385,64,0
0,299,18,30
0,335,21,0
0,331,81,0
1,314,80,0
0,407,135,0
0,327,80,0
7,419,152,0
0,386,75,30
13,410,141,0
2,442,179,0
0,414,128,0
0,413,68,0
0,387,66,0
0,370,101,0
50,431,159,0
0,404,125,0
1,276,43,30
0,386,108,0
0,525,129,0
0,493,114,0
0,326,73,0
0,404,123,0
23,311,74,0
0,410,81,0
0,435,80,0
2,396,76,0
1,431,76,0
11,389,70,0
0,511,182,0
0,431,165,0
0,386,107,0
0,342,33,30
3,532,135,0
0,504,122,0
0,354,52,0
0,534,170,0
0,425,161,0
16,489,178,0
2,483,117,0
1,401,78,0
2,374,67,0
7,514,129,0
0,411,143,0
0,259,53,0
1,336,27,0
0,405,125,0
2,524,183,0
0,293,75,30
9,406,126,0
0,275,76,0
0,407,69,30
22,284,50,0
8,415,127,0
0,410,76,0
0,414,68,0
0,458,107,0
26,416,148,0
0,488,111,0
0,515,123,30
7,409,119,0
2,335,88,0
0,385,63,30
3,386,110,0
0,273,75,30
0,274,33,30
6,495,110,0
7,278,72,0
1,412,127,0
12,275,74,0
4,268,70,0
0,301,24,30
0,305,28,30
0,420,88,0
2,414,88,0
0,366,57,0
11,322,88,0
0,409,127,0
0,439,174,0
0,462,96,0
1,437,167,0
2,444,178,0
0,266,42,0
0,321,68,0
0,375,68,0
0,400,79,0
0,419,72,0
0,379,79,0
0,424,157,0
0,291,25,30
0,276,13,30
2,335,81,0
0,401,115,0
1,380,76,0
1,269,41,0
0,522,131,30
1,376,63,0
0,412,67,0
0,410,72,0
0,410,127,0
0,446,180,0
0,347,25,0
0,540,171,0
15,289,76,30
0,375,76,0
0,280,60,0
11,276,44,0
7,405,115,0
2,338,80,0
35,415,150,0
0,402,119,0
0,488,135,0
20,261,55,0
0,435,169,0
0,426,80,0
0,376,101,0
0,447,172,0
20,297,73,0
0,470,103,0
0,302,46,30
7,331,64,0
0,505,181,0
0,383,66,0
0,528,152,0
0,346,33,0
14,273,75,0
0,398,118,0
1,413,121,0
17,286,56,0
0,352,40,30
0,343,65,0
0,271,44,30
0,376,63,0
2,338,21,0
0,466,96,0
3,384,63,0
0,329,79,0
2,387,77,0
1,343,27,0
44,425,159,0
0,433,77,0
0,449,173,0
5,270,71,0
0,427,161,0
0,404,132,0
1,445,181,0
0,258,53,0
0,277,13,0
0,315,21,30
0,413,71,0
0,500,181,0
0,288,25,0
0,385,87,0
6,353,93,0
0,426,157,0
22,308,76,0
0,497,116,0
2,395,75,0
0,315,75,0
0,457,177,0
0,472,103,0
3,400,79,0
0,462,177,0
1,543,135,0
2,409,129,0
0,424,78,0
24,285,52,30
0,337,28,0
0,269,36,0
13,415,80,0
0,355,23,30
0,406,68,0
19,298,72,0
10,407,126,0
3,394,78,0
0,346,76,0
0,397,121,0
1,265,56,0
1,341,26,0
4,327,84,0
0,500,121,0
0,371,78,0
0,525,152,0
0,333,32,0
0,329,70,0
0,284,32,30
27,300,54,0
1,376,69,0
0,420,78,0
0,306,76,0
2,327,76,0
0,282,58,0
6,276,72,0
9,326,87,0
0,331,82,0
2,529,133,0
8,269,72,0
0,444,180,0
5,402,76,0
0,330,68,0
1,359,23,0
0,314,73,0
2,526,183,0
1,336,21,0
1,307,78,0
33,379,76,0
1,344,85,0
13,269,46,0
27,336,77,0
0,290,54,0
0,534,133,0
0,283,49,0
0,448,178,0
0,340,85,0
3,421,76,0
6,266,40,0
0,408,130,0
0,459,175,0
2,324,76,0
2,271,31,0
1,371,61,0
26,322,79,0
1,521,150,0
0,414,149,0
1,331,76,0
0,544,138,0
1,523,131,0
7,406,115,0
15,276,43,0
0,479,104,0
0,294,26,30
0,397,114,0
0,490,124,0
0,377,68,0
24,285,52,30
1,387,66,0
0,497,115,0
0,398,121,0
0,537,135,0
24,312,77,0
0,259,15,0
13,388,72,0
0,324,28,30
3,381,75,0
4,375,69,0
2,385,76,0
0,411,76,0
0,419,78,0
3,481,115,0
0,274,37,0
2,418,129,0
2,350,57,0
0,500,117,0
0,310,43,0
0,323,70,0
0,354,23,30
0,441,179,0
0,472,103,0
0,436,167,0
0,325,78,0
0,543,137,0
0,404,130,0
1,373,63,0
0,409,127,0
0,314,27,30
0,328,77,0
21,301,74,0
3,394,73,0
1,309,18,0
20,260,53,0
0,391,70,0
0,438,175,0
2,396,71,0
0,519,175,0
0,295,41,0
0,278,77,0
20,407,133,0
0,342,85,0
4,486,103,0
0,352,55,0
0,547,143,0
6,457,96,0
0,272,14,30
0,338,29,30
0,482,177,0
0,346,65,0
0,411,84,0
0,552,143,0
10,407,127,0
0,410,76,0
0,448,174,0
0,421,88,0
0,551,139,30
0,527,151,0
0,411,121,30
0,384,66,0
0,223,8,30
0,392,78,30
43,277,75,0
1,526,149,0
0,487,105,30
3,265,69,0
2,344,32,0
10,430,84,0
5,427,82,0
0,268,39,0
0,372,63,0
4,387,68,0
1,388,69,0
2,378,63,0
1,371,102,0
0,286,40,30
0,255,14,0
10,406,126,0
2,266,68,0
0,318,78,0
2,408,127,0
0,471,111,0
1,540,135,0
0,368,62,0
0,392,74,0
1,530,133,0
2,264,67,0
0,402,130,0
0,409,126,0
14,307,78,30
0,298,26,0
0,313,89,30
0,362,72,0
0,377,63,0
1,505,180,0
0,389,78,0
0,449,182,0
0,396,78,0
2,402,76,0
0,500,122,0
2,271,41,0
4,319,76,0
0,403,130,0
1,377,70,0
0,359,74,0
0,383,68,0
0,311,18,30
0,376,80,0
8,412,121,0
0,379,81,0
7,406,128,0
0,349,76,0
0,348,75,0
0,482,176,0
7,272,40,0
3,385,110,0
0,343,31,0
0,446,174,0
17,286,55,0
2,400,78,0
0,531,188,0
3,389,72,30
0,270,13,30
1,316,90,0
0,522,171,0
0,511,182,0
0,279,59,0
2,522,149,0
0,511,129,0
1,288,54,0
0,372,103,0
0,292,50,0
0,522,131,0
0,315,80,0
0,515,183,0
2,325,76,0
0,487,123,0
0,395,74,0
0,324,76,0
0,408,128,0
10,388,75,30
23,284,51,0
7,520,149,0
0,424,161,0
47,425,160,0
0,523,150,0
4,268,43,0
0,270,55,30
0,526,160,0
0,418,88,0
0,386,69,0
3,387,74,0
0,376,102,0
0,392,74,0
0,414,145,0
0,354,23,0
0,264,7,30
345,309,9,30
0,267,8,30
342,256,7,30
0,212,84,0
0,303,8,30
0,316,14,30
0,275,3,30
308,297,9,30
0,289,9,30
320,45,0,30
360,267,8,30
0,270,30,30
248,255,4,30
0,112,0,30
0,225,78,0
0,283,8,30
372,255,10,30
329,305,7,30
0,251,7,30
0,272,43,30
0,235,126,0
0,276,13,30
0,310,10,30
179,207,96,0
0,388,76,0
0,267,4,30
0,303,155,30
0,289,10,30
0,442,86,30
359,303,8,30
0,178,94,0
348,250,8,30
14,403,76,0
0,261,25,30
306,245,9,30
13,325,7,30
0,288,9,30
0,299,7,30
380,289,8,30
0,237,12,0
361,244,1,30
339,287,10,30
370,274,9,30
414,280,11,30
368,304,9,30
0,291,7,30
346,247,9,30
43,299,171,30
0,261,6,30
358,304,8,30
397,263,11,30
387,286,7,30
0,335,83,0
398,272,11,30
268,301,171,30
0,211,84,0
30,333,29,30
0,119,0,30
252,91,0,30
316,254,11,30
0,405,78,0
5,289,6,30
0,274,11,30
308,120,0,30
292,296,7,30
0,297,5,30
0,511,129,0
385,253,3,30
11,424,83,0
2,271,7,30
0,272,11,30
0,234,9,30
0,296,87,30
315,282,6,30
241,58,0,30
0,289,8,30
322,263,11,30
0,273,2,0
325,276,13,30
0,261,2,30
366,271,8,30
245,121,2,30
0,293,14,30
0,264,10,30
221,267,6,0
0,279,3,30
0,288,8,30
0,266,4,30
0,241,2,30
325,257,6,30
215,86,0,30
0,274,40,0
0,280,5,30
91,267,2,30
0,116,3,30
0,110,3,30
0,281,5,30
213,262,5,30
0,329,8,0
235,261,160,0
0,267,4,30
0,241,9,30
339,251,11,30
385,324,6,30
0,269,7,30
0,263,10,30
0,289,8,30
0,292,16,30
364,276,2,30
359,270,8,30
0,174,97,30
0,268,187,30
267,246,2,30
220,262,6,0
45,262,45,30
379,292,8,30
0,224,83,0
0,276,2,30
0,288,8,30
0,267,4,30
0,351,12,30
363,296,10,30
0,277,2,30
73,283,14,0
0,252,10,30
0,243,157,0
0,275,10,30
240,63,0,30
0,103,0,30
52,328,30,30
0,256,8,0
350,272,8,30
0,248,1,30
0,263,10,30
391,318,6,30
0,341,11,30
0,253,8,30
264,246,2,30
0,258,162,30
184,259,45,30
0,293,10,30
268,281,187,30
0,176,9,0
338,268,7,30
0,302,5,30
0,252,164,0
0,266,4,30
0,322,20,0
0,107,3,30
22,359,17,0
93,269,2,30
0,467,96,0
370,289,10,30
0,301,8,30
52,316,29,0
55,223,79,0
0,289,8,30
420,361,13,30
297,286,5,30
278,273,2,30
231,67,0,30
0,280,2,30
0,301,3,30
0,270,13,30
0,29,0,30
0,291,5,30
0,145,7,30
0,350,12,30
269,246,2,30
308,232,10,30
0,301,9,30
0,273,1,30
0,255,8,30
0,276,10,30
0,285,6,30
0,297,42,0
367,267,7,30
0,277,3,30
0,273,2,30
378,271,4,30
0,120,2,0
0,269,4,30
53,272,15,30
296,283,5,30
0,78,0,30
52,318,32,0
0,270,4,30
358,314,8,30
0,312,16,30
0,294,82,30
0,261,70,30
381,300,9,30
0,283,2,30
0,285,50,0
127,175,97,30
0,318,6,30
315,253,11,30
0,262,10,30
0,324,7,30
335,321,25,0
0,272,11,30
0,281,48,0
0,229,126,0
0,104,0,30
385,326,7,30
365,259,3,30
59,270,44,30
0,115,3,30
243,276,40,30
210,229,75,0
0,55,0,30
0,277,2,30
0,332,11,0
340,97,0,30
0,301,126,30
349,312,9,30
283,2,0,30
0,306,9,30
122,107,3,30
0,99,0,30
0,252,8,30
0,289,6,30
345,252,8,30
0,156,7,30
236,265,4,30
0,287,8,30
0,115,3,30
328,314,24,0
317,304,5,30
386,282,7,30
0,15,0,30
0,279,4,30
309,10,0,30
122,201,90,30
0,296,4,30
0,358,12,30
402,360,12,30
393,265,11,30
0,280,10,30
0,257,6,30
0,257,6,30
412,273,12,30
195,265,44,30
0,250,2,30
342,299,8,30
327,317,25,0
0,255,2,0
0,291,8,30
0,344,11,30
0,289,41,0
328,130,0,30
0,254,11,30
0,301,12,30
0,295,53,0
0,300,8,30
0,316,15,30
0,294,4,30
0,245,2,30
0,187,91,30
0,307,7,30
0,320,8,30
0,273,7,30
309,12,0,30
0,299,9,30
0,274,11,30
0,251,7,30
0,261,6,30
310,232,9,30
0,249,7,30
0,274,9,0
0,253,7,30
0,328,13,0
0,261,45,30
0,301,156,30
0,282,9,30
0,275,33,30
0,272,19,30
0,234,8,0
0,429,82,0
35,323,30,30
0,270,11,30
0,285,50,0
0,344,12,30
353,265,7,30
0,361,19,30
58,265,64,30
342,263,6,30
0,270,7,30
330,306,7,30
213,263,5,30
0,107,0,30
0,284,6,30
245,60,0,30
202,230,93,0
22,325,6,30
133,207,90,0
58,249,159,30
223,251,164,30
0,264,171,30
0,275,11,30
0,251,3,30
0,281,5,30
0,113,2,30
261,292,60,0
0,288,10,30
267,247,2,30
0,319,6,30
73,175,10,0
0,321,23,0
0,277,37,30
372,290,9,30
0,285,6,30
254,284,90,30
0,267,11,30
0,289,8,30
0,234,104,0
0,289,9,30
0,98,0,30
0,126,2,30
343,303,6,30
289,297,6,30
215,222,79,30
0,282,3,30
390,297,3,30
0,315,14,30
0,252,9,30
24,319,26,0
75,232,98,30
0,428,82,0
0,296,7,30
354,316,9,30
0,194,91,0
0,300,7,30
0,119,0,30
0,293,3,30
0,267,22,0
0,267,67,30
0,295,69,30
0,252,11,30
358,251,1,30
2,289,7,30
0,280,8,30
0,522,151,0
0,188,94,30
0,278,3,30
66,342,29,0
0,271,8,30
0,287,11,30
14,282,4,30
0,109,2,30
0,262,25,30
317,293,10,30
0,310,10,30
252,274,187,30
0,120,4,30
62,317,24,0
0,287,11,30
0,254,57,0
392,299,3,30
0,100,0,30
0,242,7,30
0,127,2,30
374,291,10,30
0,244,157,0
408,353,12,30
0,265,25,30
0,271,23,0
405,309,4,30
0,257,9,30
0,521,131,30
0,295,8,30
0,111,2,30
0,266,11,30
0,152,7,30
407,264,11,30
0,102,0,30
64,279,43,0
296,283,5,30
0,316,6,30
41,265,6,30
351,292,14,30
0,298,5,30
0,210,96,0
0,300,171,30
0,267,4,30
190,261,25,30
0,176,11,0
0,297,10,30
88,260,2,30
0,284,6,30
378,275,4,30
0,277,10,30
268,297,171,30
379,251,9,30
215,254,6,30
125,176,97,30
0,315,9,30
238,119,2,30
0,121,2,30
18,311,21,30
0,263,17,30
0,269,4,30
385,336,9,30
36,162,7,30
0,279,98,30
0,270,8,30
0,273,7,30
210,229,95,0
0,260,12,30
0,321,25,30
0,276,3,30
52,270,21,0
0,282,9,30
0,323,6,30
202,233,93,0
61,107,2,30
347,294,16,30
331,275,13,30
431,366,13,30
382,259,11,30
353,316,9,30
0,338,29,0
321,233,9,30
0,251,8,30
0,206,90,30
0,209,70,30
409,353,12,30
0,383,79,0
0,97,0,30
19,291,62,30
252,56,0,30
0,267,4,30
0,174,10,0
0,319,13,30
14,308,3,0
0,254,7,30
255,286,90,30
309,115,0,30
317,279,1,30
376,268,4,30
197,265,44,30
0,300,9,30
0,207,84,0
358,321,8,30
0,257,60,30
397,273,11,30
306,301,7,30
356,253,7,30
243,113,0,30
62,264,167,30
348,269,11,30
0,241,2,30
238,265,4,30
0,231,8,30
0,292,9,30
432,366,13,30
0,252,8,30
348,272,11,30
182,254,25,30
0,303,7,30
0,327,64,0
0,252,2,30
0,296,7,30
372,298,10,30
0,143,7,30
0,257,7,0
329,319,23,0
0,343,11,30
194,264,44,30
185,263,49,30
342,264,6,30
0,283,5,30
0,296,87,30
177,205,97,30
334,111,0,30
410,277,11,30
359,280,2,30
0,291,43,30
0,258,11,30
402,277,11,30
21,317,23,0
0,289,7,30
0,123,2,30
0,264,9,30
55,260,68,30
0,240,9,30
0,281,5,30
0,279,7,30
0,289,7,30
0,276,2,30
0,279,11,30
0,269,8,30
209,232,104,30
0,308,6,0
369,275,8,30
48,171,8,30
118,187,92,30
376,247,2,30
350,276,2,30
382,272,4,30
430,366,13,30
0,112,0,0
0,302,10,30
0,311,9,30
0,255,7,30
0,260,6,30
5,270,7,30
0,269,8,30
255,296,74,30
307,296,8,30
0,324,6,30
0,279,1,30
4,378,63,0
0,296,6,0
0,288,43,30
0,259,3,30
125,175,97,30
358,238,1,30
11,289,6,30
7,408,77,30
334,237,9,30
0,254,8,30
0,276,38,30
0,273,11,30
0,30,0,30
0,225,86,0
0,284,27,0
8,359,12,30
0,263,12,30
0,295,16,30
0,318,15,30
0,290,55,30
267,294,150,30
299,286,5,30
349,246,7,30
0,261,68,30
345,308,9,30
0,304,8,30
383,334,9,30
387,269,4,30
0,309,4,30
34,279,13,0
0,148,7,30
370,275,8,30
0,313,25,0
0,273,4,30
384,279,4,30
0,412,141,0
29,321,28,30
0,341,32,0
0,352,12,30
0,246,2,30
352,248,7,30
0,337,17,30
304,247,9,30
0,117,0,30
0,285,5,0
342,304,6,30
389,299,8,30
37,242,11,0
0,287,7,30
264,96,0,30
0,265,4,30
0,311,15,0
382,287,8,30
351,286,10,30
218,267,5,30
324,272,1,30
0,258,27,30
0,271,13,30
341,300,9,30
91,264,2,30
0,359,16,0
0,267,11,30
0,276,2,30
0,254,7,30
0,327,73,0
0,311,19,0
0,257,6,30
0,277,15,30
291,297,7,30
0,284,7,0
333,263,7,30
372,273,9,30
387,338,10,30
0,278,37,30
0,268,19,0
0,106,1,30
0,320,24,30
70,347,34,0
0,114,3,30
0,334,11,0
338,255,6,30
0,327,12,30
95,255,46,30
102,107,2,30
0,118,2,30
34,287,18,0
0,293,113,30
242,59,0,30
0,255,5,30
7,284,5,30
0,278,10,30
0,293,10,30
333,282,14,30
309,9,0,30
13,437,86,0
0,165,7,30
0,304,9,30
5,337,9,30
0,171,10,30
0,125,2,30
0,174,10,30
0,273,9,30
0,327,8,30
0,338,17,30
0,244,1,30
0,339,13,30
0,341,13,0
0,351,13,0
363,315,8,30
305,305,10,30
0,267,7,30
0,277,10,30
0,278,8,30
112,249,2,30
0,156,7,30
0,362,13,30
0,268,19,30
0,289,182,30
0,248,7,30
55,98,2,30
0,83,0,30
304,110,0,30
289,275,2,30
0,217,90,0
0,278,19,0
395,285,27,30
0,303,130,30
253,280,92,30
0,173,10,30
393,266,11,30
0,265,29,0
341,254,7,30
0,259,3,30
122,257,3,30
366,256,9,30
0,293,177,30
0,300,138,30
213,230,77,0
356,277,2,30
366,265,4,30
0,251,7,30
392,297,3,30
0,269,11,30
192,219,90,0
0,361,17,30
0,210,76,0
340,254,7,30
389,290,2,30
232,259,160,0
182,259,25,30
0,303,6,30
409,305,3,30
0,502,126,0
0,248,8,30
347,249,8,30
0,335,17,0
0,297,4,30
232,253,162,0
0,205,84,30
54,266,73,30
392,284,4,0
0,103,2,30
356,283,10,30
39,260,6,30
0,349,12,30
47,304,134,30
0,187,95,30
50,307,167,30
216,226,78,30
81,275,8,30
0,265,7,30
218,259,6,0
0,292,10,30
0,311,4,30
0,479,111,0
0,261,57,30
0,260,6,30
0,265,189,30
359,287,10,30
6,305,9,30
375,281,11,30
0,364,13,30
0,294,3,30
400,299,4,0
0,253,9,30
0,255,8,30
0,320,6,30
344,284,9,30
0,256,9,30
0,253,7,30
0,112,2,30
0,278,2,30
223,242,157,0
371,270,8,30
0,169,9,0
0,262,15,0
217,263,70,0
197,265,17,30
0,527,134,0
320,46,0,30
326,281,3,30
0,274,8,30
235,70,0,30
0,253,7,30
0,270,34,0
347,276,11,30
0,291,10,30
400,293,4,30
0,263,6,30
0,342,16,30
0,268,12,0
64,322,24,0
47,307,134,30
0,260,49,30
347,272,2,30
70,124,2,30
336,268,7,30
356,266,7,30
321,281,10,30
369,277,8,30
0,269,11,30
50,267,15,30
309,6,0,30
111,181,93,0
0,273,11,30
0,289,10,30
