@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
130,49,788,12,10,423,388,7
34,17,781,8,7,458,418,7
9,12,801,17,15,423,386,7
23,1,827,1,0,54,46,1
5,135,964,109,101,398,370,1
30,11,1169,19,11,286,258,1
68,0,944,3,2,446,410,180
23,5,1212,12,9,192,177,14
187,3,938,5,4,438,401,7
35,0,877,6,5,448,420,14
5,5,1207,11,8,192,174,1
21,0,670,4,3,387,279,7
147,15,746,6,5,444,411,1
51,0,650,27,19,406,283,7
105,0,1235,2,0,281,261,7
8,0,760,33,31,447,417,7
8,0,607,9,3,383,254,180
6,5,1207,10,8,191,174,1
14,0,767,5,3,451,406,7
26,32,794,9,7,456,414,1
174,0,710,8,5,389,302,90
37,226,687,17,15,416,308,1
25,4,806,7,6,444,411,1
22,6,835,4,2,60,52,1
26,0,237,1,0,139,62,7
11,0,943,2,1,433,403,1
33,19,235,19,12,158,64,1
45,0,1276,1,0,23,19,1
12,6,775,2,1,445,413,1
54,21,277,14,10,164,78,7
59,0,676,4,3,428,308,90
69,0,832,4,2,66,58,7
33,49,787,11,10,424,390,1
120,18,241,18,16,143,64,7
12,19,844,52,21,321,270,1
14,0,808,6,5,448,416,7
97,0,1194,14,13,177,167,7
35,0,620,1,0,380,262,14
31,236,1234,7,6,226,206,1
136,27,637,24,18,366,250,7
104,211,693,13,12,435,320,1
71,0,1196,13,12,211,190,1
70,40,570,29,26,337,234,90
114,0,278,1,0,168,80,90
38,0,875,4,2,436,403,1
12,0,643,17,12,362,250,7
45,7,1205,7,6,112,101,1
69,46,1164,3,2,146,130,1
172,0,969,49,49,403,379,1
161,51,726,23,22,406,309,7
49,0,844,1,0,70,62,14
34,0,389,1,0,236,140,90
89,0,483,3,3,295,196,90
32,19,844,78,21,346,269,7
6,20,1209,14,13,172,157,1
45,0,668,33,24,417,302,1
109,17,610,5,4,348,234,1
57,0,630,22,15,389,269,1
141,0,682,12,5,362,272,90
12,19,844,86,21,354,269,7
18,33,764,11,7,370,322,1
40,69,700,33,30,418,305,90
142,0,602,12,8,345,239,14
42,0,1274,1,0,23,20,180
10,16,1205,8,8,113,101,7
31,50,641,13,12,365,246,7
44,0,1305,1,0,30,23,365
9,40,630,29,21,388,269,1
117,0,335,2,0,203,111,30
3,19,237,20,13,159,67,1
108,175,837,1,1,62,56,7
1138,0,615,3,2,390,259,7
27,0,1471,2,1,41,37,7
11,0,1186,7,5,174,163,1
84,270,695,36,32,393,299,7
3,81,944,34,31,446,412,7
122,0,1226,1,0,280,257,30
53,16,1246,1,0,236,213,1
16,1,1130,1,0,48,38,1
61,0,700,10,5,392,302,1
94,0,672,5,5,375,259,180
17,19,844,81,21,349,269,7
82,3,243,5,2,141,64,7
8,0,1183,4,3,183,172,1
63,0,1172,2,0,106,98,7
25,0,874,29,25,441,400,7
42,19,844,72,21,340,269,1
66,0,873,25,23,441,411,1
18,30,668,28,21,388,272,1
16,0,792,5,4,433,397,7
15,0,613,14,8,352,235,7
18,48,664,26,23,382,288,1
47,0,683,15,15,363,282,180
16,0,1171,25,24,154,135,1
82,0,1277,5,0,27,19,30
35,0,875,1,0,441,401,1
17,11,929,3,2,374,347,1
26,0,798,12,10,461,422,1
18,5,1207,9,8,190,174,1
24,35,469,13,12,286,188,30
17,20,857,12,11,453,422,1
63,3,1237,4,2,232,209,7
80,0,726,6,3,407,309,1
25,19,844,82,21,350,269,1
123,0,251,3,0,160,72,1
57,1,870,5,3,449,416,1
45,0,804,8,1,419,374,7
13,0,1141,14,13,285,260,1
13,0,666,8,6,357,266,7
137,50,648,14,12,366,246,1
60,0,868,2,0,45,36,7
78,15,811,7,6,449,415,7
8,0,664,26,18,388,267,7
19,11,1169,21,11,288,258,1
14,0,823,3,2,440,415,30
35,0,665,9,4,388,276,90
21,1,619,1,0,355,237,7
43,0,931,7,6,439,406,1
24,83,903,91,78,361,327,1
64,87,688,26,25,433,315,1
39,0,699,6,3,420,311,30
9,135,964,106,101,395,370,1
27,59,939,17,16,391,366,1
8,7,710,10,7,392,302,180
521,0,1202,12,11,208,186,1
112,0,711,1,0,370,302,90
32,0,1164,3,1,143,130,7
26,0,1156,1,0,131,119,7
66,0,867,26,25,451,417,1
10,0,1141,20,17,287,262,1
270,0,791,15,13,432,398,7
124,0,251,4,1,161,73,30
47,83,669,23,22,422,307,1
5,49,901,14,12,360,326,7
87,0,664,3,1,389,267,7
10,0,667,1,0,382,278,7
14,13,620,21,7,374,254,7
44,0,1201,1,0,213,192,1
46,0,643,5,2,398,282,7
69,7,336,1,0,210,113,30
54,3,1161,3,2,90,83,1
9,41,928,2,1,43,35,7
38,0,765,32,30,447,413,30
228,101,266,29,24,158,74,90
17,49,586,29,27,344,240,1
72,0,690,3,2,417,300,90
18,1,732,6,5,414,314,7
42,13,791,4,3,435,395,7
22,11,792,13,12,460,417,7
45,242,1251,11,8,238,215,1
14,0,1258,9,8,251,228,1
356,34,742,8,7,445,400,7
84,32,636,9,8,362,246,365
25,0,873,29,24,442,399,1
46,19,1128,30,21,299,270,7
5,75,869,36,34,444,414,1
21,111,940,104,100,396,372,1
41,0,636,1,2,387,265,1
24,42,643,30,22,396,282,1
15,0,680,1,0,366,281,7
8,0,1250,8,7,237,215,1
11,30,674,14,8,386,272,1
25,63,974,27,26,424,399,7
287,26,643,22,18,363,250,7
30,4,274,1,0,167,80,90
14,0,1199,4,3,160,149,1
8,0,1164,8,1,149,130,7
71,0,711,2,0,367,302,14
24,0,970,18,17,404,380,1
18,19,844,43,21,312,270,1
17,19,844,56,21,325,270,1
25,0,1253,53,52,279,255,1
18,1,671,2,1,386,273,1
907,0,1049,1,0,20,13,7
43,0,683,4,3,423,309,90
21,0,937,2,1,437,401,1
101,0,763,2,2,446,404,1
60,23,678,21,19,429,310,90
1,0,1120,1,0,85,80,1
240,7,1444,2,1,41,36,1
80,0,944,1,0,446,411,7
26,19,1128,25,21,294,270,7
27,0,1164,4,1,144,130,7
43,53,791,23,20,436,396,180
38,0,970,51,51,411,388,1
23,0,767,2,1,452,406,7
63,0,874,30,24,444,403,1
118,18,702,10,8,417,304,1
47,0,1163,2,1,286,263,14
25,42,1210,6,5,165,153,1
205,0,281,4,1,174,88,90
10,0,1289,1,0,29,22,7
41,19,1128,26,21,295,270,7
16,0,1226,39,38,225,205,1
10,19,844,59,21,328,270,1
117,0,1266,17,16,258,239,7
9,0,278,1,0,168,80,90
96,15,713,22,14,424,304,7
7,9,1078,6,5,72,66,7
72,0,693,1,0,420,300,1
34,94,823,44,40,443,416,1
10,0,613,13,8,353,234,7
111,0,806,1,0,463,425,7
26,19,844,75,21,343,269,1
69,31,630,21,18,392,274,7
38,0,649,10,3,402,283,1
44,0,790,3,1,420,384,7
25,238,714,26,21,425,304,7
40,1,620,3,3,386,263,7
27,173,838,2,1,69,59,1
77,19,806,6,4,445,413,7
68,18,939,4,1,429,399,30
8,2,765,1,0,446,413,1
72,3,677,11,4,410,307,7
66,0,930,3,1,438,403,1
15,6,1262,7,4,266,250,1
141,1,812,2,1,442,414,30
5,0,650,1,0,383,259,1
68,1,1052,1,0,19,12,7
216,71,636,19,20,392,274,7
37,0,632,10,8,350,255,30
82,56,772,23,19,443,402,7
43,0,1198,34,33,202,185,1
19,43,926,3,1,44,35,1
132,0,1117,12,11,52,43,90
67,0,671,22,14,391,276,90
49,0,846,3,2,57,51,1
32,7,660,11,10,386,267,90
7,102,930,98,92,377,349,1
57,1,664,9,4,356,263,90
108,12,713,23,16,426,298,7
48,0,1155,23,22,140,129,1
45,66,620,22,14,345,243,90
61,4,645,11,4,370,246,7
9,5,1204,13,11,206,186,90
198,9,710,19,16,423,299,14
27,0,638,24,18,395,278,7
64,0,969,25,23,417,392,1
150,23,240,21,16,157,69,7
35,102,266,27,22,156,72,90
44,0,611,2,1,349,232,14
21,0,1453,10,9,40,36,1
48,0,746,34,31,446,414,30
7,0,684,2,0,360,277,90
15,0,955,2,1,426,398,1
9,0,1277,2,0,24,19,1
11,62,972,22,22,412,390,1
345,22,282,16,13,162,75,30
64,0,746,12,8,368,312,90
22,0,1377,1,0,41,35,1
50,3,647,4,4,365,264,90
4,0,1190,3,2,174,161,1
14,19,844,71,21,340,270,1
96,101,264,21,20,149,70,1
50,99,268,31,24,164,73,90
349,0,278,5,1,167,80,30
14,0,1262,49,48,264,248,1
50,0,683,30,25,412,307,7
9,0,1262,14,9,242,222,7
52,0,278,1,0,157,70,30
115,0,241,1,0,158,65,14
11,19,844,65,21,334,270,1
57,1,870,6,4,450,417,1
10,1,221,4,3,150,65,30
325,0,748,1,0,370,312,14
30,236,1235,8,6,228,207,7
10,73,1037,1,0,24,17,1
86,86,676,25,22,427,308,1
16,19,1121,38,21,307,270,1
310,60,690,10,9,362,272,7
16,0,931,16,15,375,348,1
47,5,629,5,4,375,257,7
82,56,772,22,19,442,402,7
37,0,695,8,4,360,284,180
23,55,771,18,17,439,403,1
41,0,681,5,1,422,307,7
45,0,1268,2,0,272,253,90
63,0,680,31,25,418,306,180
600,37,786,7,7,443,404,14
255,0,1072,11,10,79,73,7
17,10,711,20,16,424,299,7
37,19,1128,29,21,298,270,7
84,2,242,4,2,143,65,7
62,0,885,9,8,438,404,7
29,0,790,2,1,425,389,7
36,51,661,25,21,380,271,1
7,135,964,110,101,399,370,1
58,29,690,25,22,361,272,180
29,0,660,1,0,372,254,7
35,9,1205,8,6,115,103,1
30,0,771,5,3,442,401,7
112,53,653,15,14,368,251,1
85,0,1126,11,10,49,38,1
31,11,670,15,16,385,271,1
25,0,1255,16,14,276,251,7
122,0,661,11,4,382,272,90
12,0,612,2,2,351,234,7
8,0,934,26,21,382,351,30
36,41,615,11,10,354,231,7
3,56,745,17,15,448,413,1
35,0,681,4,0,360,277,365
6,0,773,1,0,447,413,7
12,0,802,6,1,417,374,7
94,11,711,21,16,424,298,7
321,188,668,11,8,421,306,7
150,21,934,12,3,438,403,365
71,6,1257,6,4,249,227,90
7,0,671,2,1,385,273,14
7,0,1187,9,6,176,164,1
145,0,938,17,16,388,364,1
28,215,562,38,35,335,230,90
40,0,604,2,0,346,240,90
47,7,633,15,14,363,241,7
9,13,882,6,4,46,36,7
6,70,725,33,29,415,305,1
17,272,708,30,29,394,297,1
21,0,1198,4,3,201,185,7
23,0,641,1,0,382,262,180
25,0,696,10,6,412,298,7
39,14,1328,6,4,32,24,1
34,0,644,9,6,369,246,90
137,4,616,13,6,350,240,90
116,18,615,9,7,354,232,7
44,0,1195,30,29,179,168,1
219,0,1161,12,11,100,94,1
36,0,1263,46,45,260,241,1
38,0,1180,11,10,96,92,1
31,0,663,1,0,357,263,14
29,29,763,9,6,372,325,1
41,0,671,6,4,392,276,30
98,0,1170,2,1,97,93,90
20,0,758,14,11,436,385,7
305,74,651,22,16,384,268,14
166,19,227,18,12,156,64,30
75,0,1385,1,0,40,35,14
19,0,1221,21,20,125,115,1
23,63,943,19,17,393,367,1
54,0,1172,14,12,94,89,1
929,0,1047,2,1,23,17,7
31,0,673,1,0,377,262,90
32,18,749,21,18,373,319,180
63,0,755,7,3,373,315,90
17,273,709,32,29,396,297,1
17,0,660,20,15,381,270,14
24,1,646,1,0,384,268,7
181,0,1210,13,12,113,106,1
4,15,1329,7,5,33,25,1
4,0,1156,3,1,130,119,7
61,0,1389,1,0,39,35,14
10,0,665,23,15,383,269,7
86,102,266,24,20,153,70,1
52,0,683,2,0,414,307,1
39,33,626,13,10,388,267,1
69,0,837,3,2,63,56,7
9,51,666,25,25,385,276,14
36,17,876,4,3,447,418,7
65,2,745,6,4,450,413,30
77,0,639,25,17,381,260,14
6,17,762,19,17,366,322,7
73,0,639,2,1,388,267,7
7,38,622,27,18,390,261,1
12,19,844,87,21,355,269,7
20,87,869,43,37,447,415,1
2,1,802,4,2,441,411,1
926,0,1050,3,2,25,19,30
17,19,930,8,1,431,397,90
17,0,928,2,0,438,404,365
25,3,278,2,0,161,68,30
25,3,648,4,3,360,264,30
61,0,1202,35,34,209,186,1
14,0,1216,2,0,197,181,1
55,0,630,23,15,390,269,7
45,6,750,8,5,451,413,7
440,0,1245,1,0,279,256,1
29,11,1169,17,11,284,258,1
82,6,268,4,2,161,73,7
67,29,680,26,25,419,315,7
21,0,1208,12,9,220,199,7
13,2,972,13,11,405,382,7
25,0,1238,18,16,281,263,1
173,74,619,23,16,386,261,7
389,0,960,23,22,408,382,1
48,9,1267,12,6,272,252,7
40,0,1164,2,1,142,130,7
122,2,613,12,5,352,234,90
48,0,711,9,3,428,302,180
44,0,645,25,18,399,281,1
10,7,655,14,12,359,262,7
22,12,1405,1,0,40,34,1
12,1,889,1,0,45,36,7
13,0,1083,2,1,43,35,1
24,19,844,46,21,315,270,1
35,0,649,3,2,405,283,7
10,56,1203,8,7,186,172,1
91,0,1263,1,0,256,236,7
28,33,670,11,8,376,259,7
53,1,783,3,2,456,415,7
21,0,1171,10,9,93,88,1
26,40,710,30,29,400,304,180
29,0,940,4,3,434,403,14
78,0,662,3,1,388,268,14
17,0,765,4,3,450,405,30
17,0,761,2,1,438,387,1
110,10,690,8,7,423,308,1
47,49,643,20,18,365,246,1
29,10,875,3,0,440,401,1
9,0,1169,1,0,98,93,7
15,7,788,9,6,460,422,7
53,0,661,28,19,415,291,7
48,1,646,2,0,385,268,7
48,0,748,3,0,372,319,180
7,0,1249,7,6,236,214,1
77,254,719,27,26,418,302,1
25,29,667,27,21,387,272,7
40,6,1045,1,0,19,12,1
97,2,795,2,1,461,418,1
9,54,680,32,28,419,306,180
49,0,1211,20,19,119,110,1
111,0,804,16,15,420,374,1
84,17,610,7,4,348,232,1
25,0,1245,1,0,277,254,1
38,14,1328,5,3,31,23,1
83,14,664,28,22,386,287,90
23,0,837,2,1,440,415,1
45,0,707,8,3,426,301,180
46,35,750,9,7,444,398,1
73,0,689,3,2,362,274,14
67,14,666,27,22,387,289,90
18,0,660,10,4,382,272,180
7,135,964,111,101,400,370,1
58,19,877,11,10,448,418,7
12,1,763,2,1,370,325,90
382,0,943,25,24,437,403,7
10,19,844,60,21,329,270,1
14,7,710,8,7,390,302,180
35,174,939,11,10,390,366,14
35,72,618,11,11,354,237,7
5,46,1226,10,9,278,257,1
16,0,752,18,17,449,417,1
42,45,760,17,13,444,393,7
51,0,702,7,6,433,319,90
1112,0,1169,9,8,92,87,1
45,0,668,34,25,418,303,7
49,25,688,26,19,434,315,90
27,67,693,33,29,392,300,180
68,0,1161,1,0,99,94,1
86,0,675,3,1,386,273,14
13,19,844,70,21,339,270,1
15,19,844,51,21,320,270,1
10,44,656,13,9,378,260,30
30,36,606,26,17,385,255,7
19,0,1251,51,50,277,252,1
155,15,1170,10,9,158,138,1
26,4,619,4,3,374,255,1
34,0,869,11,9,445,408,7
112,0,645,4,2,401,281,7
13,2,971,12,10,402,379,1
28,0,643,8,6,397,282,180
416,0,600,1,0,344,239,90
79,231,1313,3,2,23,21,14
37,92,637,12,10,365,249,7
58,21,255,19,16,139,72,7
70,17,1201,11,10,198,182,1
63,0,711,1,0,368,302,90
187,0,1077,9,8,76,68,1
7,46,1257,8,7,247,226,1
55,0,680,8,6,425,316,180
97,9,1205,7,6,114,103,1
95,6,680,15,11,419,306,14
68,7,873,3,2,446,418,7
39,0,607,8,0,386,255,90
11,19,1121,39,21,308,270,1
369,54,671,33,28,425,308,7
40,0,649,11,3,404,283,7
120,22,276,17,13,159,69,30
57,0,682,3,3,422,309,180
8,4,1070,6,5,78,73,1
2,51,632,20,19,349,254,1
12,15,664,23,25,382,284,30
19,6,765,5,4,448,413,1
47,7,1263,8,5,267,251,1
25,13,768,6,5,439,400,7
33,0,939,27,22,389,365,7
31,0,1150,28,27,175,164,1
20,41,790,8,7,436,395,1
18,0,1164,5,1,145,130,7
73,109,946,103,99,394,369,1
173,0,1148,22,21,137,125,1
63,0,655,13,4,414,288,7
19,0,683,11,5,360,276,7
24,0,907,24,21,368,334,7
5,0,914,15,14,374,339,1
4,34,1078,7,5,75,68,7
20,27,664,25,21,386,276,7
10,19,844,64,21,333,270,1
91,225,702,18,16,415,303,1
24,0,840,1,0,53,46,7
122,0,247,1,0,157,71,1
51,0,931,5,4,441,408,7
14,19,844,57,21,326,270,1
27,19,844,76,21,344,269,1
27,0,1204,1,0,205,186,7
34,0,1216,3,0,223,200,1
154,24,639,22,20,378,259,7
20,0,615,4,2,391,259,90
23,0,745,35,31,449,413,365
7,102,930,97,92,376,349,1
26,30,676,16,9,386,274,30
36,45,619,12,11,356,237,7
25,0,684,12,5,361,276,7
24,12,801,18,15,422,385,7
124,0,1194,3,2,210,188,14
43,0,805,1,0,421,374,7
16,12,675,8,6,380,262,7
14,1,825,3,2,439,415,90
64,30,665,17,9,384,269,90
26,19,844,74,21,342,269,1
11,19,844,58,21,327,270,1
29,19,1128,28,21,297,270,7
85,0,279,5,4,162,68,30
48,0,683,1,0,413,307,7
46,269,725,29,29,410,312,1
3,0,1435,1,0,13,4,365
71,0,755,6,3,372,315,7
11,19,844,84,21,352,269,1
20,5,743,6,4,443,411,1
132,5,661,10,9,361,265,7
10,19,844,61,21,330,270,1
205,0,643,10,3,397,282,180
20,0,1214,32,31,197,179,1
9,1,810,1,0,443,415,1
92,4,653,11,6,356,260,30
29,0,1035,3,2,45,36,1
80,131,1144,4,3,286,260,1
77,0,617,3,1,349,239,90
7,36,607,25,16,384,254,1
23,13,703,21,14,421,299,14
62,5,607,9,5,383,254,14
98,0,332,1,1,192,105,30
32,61,794,17,16,456,415,1
4,22,1181,15,14,180,169,7
38,0,700,8,7,419,311,180
45,30,674,15,8,386,272,30
43,64,936,29,27,426,400,14
19,0,664,2,0,386,269,90
190,0,683,1,0,425,308,180
21,29,620,19,17,384,258,7
37,19,1128,27,21,296,270,7
45,0,1257,1,0,248,226,1
11,84,904,94,79,364,328,1
43,0,695,1,0,364,290,30
20,0,1184,26,25,159,139,1
103,0,1081,8,7,71,65,1
17,0,633,4,3,353,255,7
13,0,1258,44,43,252,228,1
36,151,968,115,112,421,394,1
73,0,1173,14,13,157,137,1
3,61,972,26,24,423,396,1
153,50,790,10,9,441,402,7
12,19,1121,36,21,305,270,1
4,62,970,24,22,419,394,1
26,11,1169,16,11,283,258,1
12,0,876,3,1,442,412,1
133,0,253,7,2,162,67,14
63,0,683,9,5,364,282,7
39,236,1235,10,6,231,207,7
43,6,748,7,5,450,412,7
15,0,1207,3,2,216,195,7
8,55,767,24,22,372,323,7
63,0,971,4,2,401,379,30
21,5,1207,14,12,217,198,1
40,48,664,29,24,386,288,90
15,19,1121,37,21,306,270,1
8,3,682,4,2,413,305,7
103,0,1201,11,10,199,182,1
25,8,802,11,10,462,421,7
66,30,284,21,19,142,84,1
13,30,610,21,17,388,255,30
12,0,1234,6,5,227,206,1
99,6,699,13,12,413,299,30
184,94,700,28,26,422,310,30
15,19,1204,12,12,168,155,1
51,7,639,16,14,365,249,7
59,186,668,10,8,420,304,1
12,19,844,50,21,319,270,1
23,0,652,4,2,410,285,1
3,88,907,95,83,366,333,1
8,0,1277,6,0,28,19,30
15,0,805,34,33,443,413,14
26,0,1080,7,5,71,64,1
39,0,1353,8,6,35,31,1
63,0,1263,50,49,265,249,1
87,6,619,6,5,384,262,7
46,11,1169,15,11,282,258,1
171,0,276,4,2,165,77,14
23,0,680,10,0,418,306,90
7,46,1086,8,6,80,74,1
40,0,1243,53,53,278,259,1
76,0,930,27,26,432,397,1
6,135,964,105,101,394,370,1
43,14,1453,3,2,43,37,1
41,0,874,2,0,443,403,14
37,60,940,18,16,392,366,1
6,2,971,11,9,402,379,180
74,0,275,2,0,166,76,1
40,27,641,22,9,382,262,1
17,42,684,12,10,362,275,1
57,4,913,2,1,373,338,1
134,222,1158,3,3,132,119,7
25,4,1243,5,2,235,212,1
11,4,744,9,7,446,412,7
74,0,667,32,24,417,302,7
97,9,715,10,5,429,298,7
41,0,805,1,1,444,413,14
41,0,657,14,6,375,256,1
19,63,674,12,11,379,262,7
25,33,636,10,8,363,246,7
150,227,704,20,17,420,305,1
304,21,776,7,6,456,417,1
71,21,780,8,6,457,418,1
34,0,605,3,2,384,255,180
8,5,1265,15,13,269,251,1
72,0,1159,2,1,129,119,1
13,19,844,66,21,335,270,1
7,0,861,1,0,451,418,1
69,0,884,1,0,445,421,7
57,260,726,28,27,415,305,1
26,0,268,2,0,161,73,1
165,0,1172,2,1,104,97,90
64,0,750,10,9,437,386,30
178,40,616,10,9,349,240,7
70,196,682,12,10,432,310,1
17,47,1209,13,11,284,262,7
6,67,951,21,19,396,371,1
79,0,609,3,1,352,234,7
65,12,790,16,14,422,385,1
35,2,940,2,1,42,33,1
33,0,746,9,3,369,312,180
12,15,664,22,24,381,288,1
46,0,1355,7,6,34,31,1
2,13,1051,4,2,40,32,1
23,19,844,44,21,313,270,1
90,24,691,26,19,430,315,90
45,0,939,6,5,41,32,1
37,35,670,12,10,386,271,365
149,0,638,1,0,364,245,180
92,0,277,6,1,166,73,7
69,2,233,4,2,141,61,14
19,3,915,1,0,372,337,1
99,0,661,3,2,373,255,7
20,0,790,8,7,432,397,7
65,0,711,2,1,372,302,90
444,0,681,2,2,359,273,30
70,40,570,28,25,336,233,1
10,56,1203,9,7,187,172,1
26,0,697,10,7,421,310,90
12,121,734,33,30,367,303,90
100,13,765,6,5,369,325,365
39,4,762,7,6,367,322,90
73,19,1128,33,21,302,270,7
56,149,963,113,110,406,382,1
49,0,681,5,0,427,317,90
31,0,808,10,9,449,416,7
11,0,1263,11,10,257,236,1
139,14,714,24,16,427,297,1
78,5,813,1,0,446,416,7
16,9,799,12,10,461,418,1
101,24,753,22,18,376,314,7
43,0,934,3,2,381,352,1
23,55,771,19,17,440,403,1
61,25,687,25,19,431,315,1
44,0,645,26,19,400,282,7
65,1,734,2,1,365,303,90
20,0,650,9,6,368,251,90
73,0,715,32,29,429,297,14
42,9,753,1,0,453,413,30
56,27,642,23,18,363,249,7
51,32,654,25,20,413,286,7
19,9,929,5,3,46,38,7
36,6,936,4,3,386,362,1
33,34,1135,11,10,290,262,7
46,24,651,22,20,382,259,7
75,15,233,21,12,147,67,7
46,0,1260,48,47,262,246,1
22,1,233,2,2,140,61,7
5,2,649,5,3,384,261,14
16,2,830,4,3,64,57,1
7,0,862,2,1,452,421,7
47,0,962,50,50,409,382,1
34,9,661,15,14,382,273,1
155,2,236,5,2,141,60,14
27,64,701,32,30,420,307,180
122,7,636,18,12,392,273,90
3,0,1209,2,0,170,157,7
23,0,278,1,2,166,80,30
117,30,619,21,17,386,258,7
21,31,650,22,18,407,283,1
5,46,1226,11,9,279,257,1
10,15,824,9,8,57,48,7
6,4,753,2,1,448,417,1
47,71,736,36,30,415,309,180
206,0,1260,16,15,244,223,1
21,11,794,14,12,457,414,180
26,236,1235,9,6,229,207,7
237,0,752,6,6,374,314,14
11,74,633,12,11,362,241,7
138,227,704,21,17,421,305,30
41,38,1269,10,9,260,245,7
139,108,932,102,98,383,361,7
25,8,802,10,9,462,422,1
54,37,644,17,17,365,262,90
14,4,744,8,7,445,412,7
9,0,686,11,6,414,299,1
28,19,847,41,21,310,270,1
11,0,1186,8,6,175,164,90
12,19,844,83,21,351,269,7
36,29,696,26,22,365,273,30
51,131,1257,3,2,245,223,1
20,36,679,26,24,418,302,1
22,0,1208,38,37,221,199,1
45,80,692,28,27,418,300,1
34,6,869,2,2,45,36,7
14,45,751,14,13,443,398,7
44,1,640,3,0,374,257,1
262,1,795,2,1,458,414,1
99,0,1255,41,40,240,219,1
40,1,620,4,3,387,263,7
63,0,711,2,0,371,302,180
9,50,907,15,12,369,334,7
5,3,799,2,0,461,417,1
29,0,649,2,0,403,283,90
17,19,844,77,21,345,269,1
515,0,655,8,8,376,256,30
32,0,789,11,10,461,422,14
23,19,844,48,21,317,270,1
33,0,935,6,5,441,406,1
4,0,1107,1,0,84,78,7
45,2,614,11,5,351,238,14
49,0,840,3,2,54,46,7
30,0,680,4,2,413,307,180
23,116,813,47,45,447,416,14
15,2,398,3,0,255,157,30
41,9,1190,6,5,108,101,1
35,101,277,32,24,165,73,90
15,0,850,9,7,442,417,1
35,0,1236,19,17,282,262,7
132,166,1384,3,2,41,35,90
11,0,1125,23,20,293,265,7
45,0,1146,19,17,285,259,7
159,65,638,21,19,380,260,7
77,6,639,16,10,376,259,14
12,1,225,1,0,152,68,30
435,1,1057,2,0,20,12,30
44,270,693,37,32,394,299,7
4,21,1426,9,9,40,34,1
20,0,823,32,33,441,415,7
21,0,755,4,0,448,416,30
