@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,1021,425,162,1
6,848,402,79,1
0,595,282,13,1
1,1010,380,68,14
0,1074,453,183,7
0,975,484,110,1
0,861,406,124,1
0,1066,440,174,1
0,812,394,122,7
0,805,423,76,14
0,882,407,124,1
13,492,281,47,1
1,971,365,59,1
6,996,383,75,1
0,936,413,128,1
0,971,552,141,1
0,1079,451,180,7
2,1078,448,182,1
22,449,280,56,1
0,842,402,123,1
0,966,407,132,1
0,641,348,24,365
7,766,410,71,90
1,1244,531,170,7
0,997,501,118,1
0,671,328,85,1
3,1086,446,178,1
0,690,311,87,1
0,983,411,143,1
0,847,409,82,7
3,693,393,75,7
1,675,330,78,1
8,990,507,127,1
1,1185,525,186,1
0,1290,525,151,1
0,472,283,32,14
2,818,384,76,1
0,637,275,24,7
0,1309,488,136,1
0,1187,526,185,1
2,1253,529,160,1
0,694,325,77,7
0,491,289,53,1
0,680,420,78,90
0,503,299,55,365
6,1129,451,174,1
2,1033,420,154,1
0,504,300,55,1
0,822,414,129,7
0,690,318,23,365
37,473,273,72,1
0,974,517,130,1
2,523,294,54,90
0,631,317,25,365
0,1041,428,157,7
0,1039,427,162,1
19,455,272,55,1
1,662,283,25,90
9,460,270,73,1
0,660,309,23,30
0,1065,442,175,1
6,455,272,38,1
6,905,332,63,1
3,687,334,87,7
0,1032,421,157,1
7,1034,469,102,1
0,869,327,70,14
7,848,323,76,7
0,620,324,26,30
0,818,448,104,7
1,892,381,73,1
0,1148,469,172,1
0,851,387,78,365
8,783,363,75,1
0,695,336,83,7
0,831,425,76,1
5,873,386,69,7
0,844,396,74,30
4,1047,566,141,1
0,832,429,82,14
0,1009,541,135,7
0,807,424,76,180
15,499,270,72,1
0,1246,535,169,1
0,1169,473,174,1
1,676,335,25,1
0,513,299,29,1
0,573,339,29,180
1,1003,388,66,7
0,750,354,75,1
0,678,410,77,1
28,1006,413,149,1
0,823,395,114,1
0,520,297,51,90
0,811,416,88,7
0,840,407,115,7
0,798,400,121,7
0,1318,488,135,1
0,975,378,83,1
0,503,300,56,14
0,733,356,94,1
0,1041,426,159,1
50,1018,424,161,1
0,792,384,76,30
0,556,285,14,90
3,790,385,110,7
3,443,268,70,180
0,986,411,145,1
0,830,425,83,30
0,639,274,24,7
0,1037,421,161,30
0,940,337,84,180
0,836,401,119,1
0,1079,452,179,1
0,970,552,142,1
7,906,332,64,7
0,1028,418,152,1
0,1165,470,174,1
0,832,417,85,1
0,1055,407,77,1
0,982,512,129,1
0,1219,523,152,30
0,816,427,84,1
1,637,319,79,1
0,839,407,125,1
15,520,296,51,1
15,494,296,56,7
0,1018,413,76,1
5,982,382,75,1
0,758,404,67,7
0,562,310,78,365
4,972,372,75,7
9,1019,553,140,1
0,1185,519,184,7
0,587,274,44,180
0,1328,518,149,7
31,788,368,75,1
0,1056,439,169,1
16,493,280,45,7
0,702,388,75,90
0,445,283,57,14
0,912,344,64,7
0,1010,381,68,7
21,501,282,47,1
1,1169,475,177,1
0,688,316,85,7
2,768,434,80,7
0,813,391,119,1
0,981,507,128,1
0,673,321,78,1
4,935,409,127,7
18,502,278,74,1
0,972,520,131,1
0,477,276,77,90
1,1083,449,179,7
0,1037,491,104,1
0,981,483,109,1
0,960,405,130,7
2,488,277,43,90
4,1049,406,77,14
5,433,275,33,1
3,988,376,68,1
0,1047,404,79,30
0,1030,440,86,7
0,849,383,85,90
3,827,394,74,1
0,686,337,88,14
0,978,490,111,1
0,1232,526,151,1
0,1084,450,178,7
0,966,403,131,1
0,851,388,78,14
0,988,413,145,1
0,1205,502,182,1
0,914,334,83,1
5,1026,434,85,1
0,1047,406,79,30
0,963,363,56,7
0,562,247,11,180
0,1034,428,163,7
0,1070,465,95,1
6,661,322,83,14
0,1031,427,163,1
8,1137,462,179,1
5,1053,401,76,30
7,767,362,74,1
3,862,317,75,1
0,1170,474,174,1
0,580,344,31,1
0,1051,374,63,7
1,1190,524,181,1
0,793,387,111,14
0,724,341,78,1
0,896,511,125,7
2,949,360,59,14
12,695,392,75,1
0,1027,487,103,1
0,1060,435,171,7
0,568,315,78,1
9,487,274,41,1
0,1169,487,177,1
0,671,410,78,1
0,937,516,128,1
20,562,308,76,30
0,942,524,131,7
4,934,408,127,7
0,1011,376,68,30
0,930,512,129,7
0,864,386,70,7
0,973,373,76,30
66,1071,443,181,1
2,827,396,81,365
0,694,333,83,7
0,848,399,74,7
48,1049,424,161,1
62,1067,436,170,1
0,1006,545,142,1
0,851,398,74,1
3,1016,380,68,14
32,798,374,76,1
0,769,377,102,7
0,844,404,79,90
0,552,310,77,14
0,1325,505,143,1
0,992,386,68,90
5,1036,488,103,7
0,610,276,23,365
0,840,329,77,7
2,487,272,41,90
0,679,287,25,1
0,816,422,89,1
0,743,440,81,90
3,815,382,71,7
14,488,283,49,1
0,830,426,83,30
0,809,436,98,14
0,976,540,137,1
0,661,350,23,365
0,962,373,79,1
0,974,515,130,7
0,1007,552,139,7
0,1079,450,179,1
0,981,482,108,1
11,467,273,74,1
37,1028,420,155,1
0,797,389,78,90
3,667,326,83,1
0,837,489,123,90
7,811,328,76,7
0,1330,505,143,7
2,707,346,87,1
0,711,349,89,1
0,808,433,78,7
0,1133,453,175,1
8,457,268,73,90
7,1031,407,76,30
0,871,326,71,7
0,958,362,72,7
0,490,288,56,1000
0,841,411,129,7
0,1182,526,183,1
0,840,384,73,7
0,978,523,133,7
0,1213,523,151,1
0,958,409,130,7
0,572,336,32,1
0,1029,429,160,14
1,673,286,24,1
1,586,337,27,7
0,1072,446,182,7
15,1008,386,66,7
2,565,340,31,30
0,1319,488,136,7
0,987,482,107,1
0,937,414,122,1
0,1059,432,169,1
0,1105,447,173,7
1,751,356,76,30
55,1045,438,167,1
42,1030,420,156,1
0,1036,423,157,1
14,987,367,62,7
0,1033,553,136,30
0,715,319,93,90
1,676,410,78,7
0,778,324,91,7
4,763,378,101,1
0,1034,431,166,1
0,997,498,117,1
3,838,397,122,14
0,1042,437,168,7
0,699,341,85,1
7,1326,519,148,1
0,527,313,27,1
3,981,502,122,1
1,969,350,53,1
0,733,434,80,1
8,450,274,39,1
0,937,330,76,1
0,999,538,135,365
0,557,317,77,7
0,802,426,83,1
1,435,274,32,1
0,636,312,79,7
0,744,391,71,180
0,820,392,108,1
2,833,396,81,30
0,1043,427,163,1
0,1286,524,151,1
0,689,423,78,30
0,997,498,120,1
0,765,373,102,7
3,662,324,83,1
0,1000,388,69,7
4,928,414,125,1
25,672,328,78,1
0,1066,464,95,7
0,1104,451,182,1
0,738,393,71,14
0,830,392,74,7
3,502,305,30,7
0,830,401,118,1
0,822,394,110,1
0,782,386,73,180
2,1061,436,168,7
0,1037,494,105,7
0,790,385,107,1
0,1038,447,94,7
0,738,357,95,1
1,998,386,66,1
0,860,382,74,7
1,499,279,49,365
1,1186,521,178,1
0,433,278,33,7
0,750,320,91,1
18,458,277,57,1
0,945,330,79,1
0,842,398,77,1
0,690,327,23,7
2,958,352,58,7
0,1061,385,64,7
0,601,299,18,1000
0,641,335,21,7
0,911,331,81,7
1,627,314,80,7
0,971,407,135,1
0,915,327,80,1
7,1028,419,152,1
0,705,386,75,365
13,975,410,141,1
2,1080,442,179,7
0,937,414,128,1
0,778,413,68,14
0,998,387,66,1
0,757,370,101,1
50,1053,431,159,1
0,903,404,125,1
1,609,276,43,90
0,798,386,108,1
0,934,525,129,7
0,993,493,114,1
0,931,326,73,1
0,838,404,123,1
23,570,311,74,7
0,844,410,81,1
0,786,435,80,14
2,845,396,76,7
1,800,431,76,1
11,962,389,70,7
0,1180,511,182,1
0,1033,431,165,1
0,791,386,107,1
0,578,342,33,90
3,968,532,135,7
0,981,504,122,1
0,984,354,52,7
0,1247,534,170,1
0,1047,425,161,1
16,1176,489,178,7
2,827,483,117,1
1,866,401,78,1
2,983,374,67,1
7,930,514,129,1
0,983,411,143,1
0,433,259,53,1
1,586,336,27,1
0,905,405,125,1
2,1192,524,183,1
0,539,293,75,90
9,842,406,126,1
0,476,275,76,1
0,764,407,69,90
22,489,284,50,1
8,932,415,127,1
0,1014,410,76,1
0,778,414,68,14
0,830,458,107,7
26,991,416,148,1
0,978,488,111,1
0,911,515,123,365
7,937,409,119,7
2,682,335,88,7
0,1060,385,63,365
3,788,386,110,1
0,495,273,75,90
0,434,274,33,365
6,1026,495,110,7
7,473,278,72,1
1,810,412,127,7
12,468,275,74,1
4,467,268,70,1
0,637,301,24,180
0,492,305,28,180
0,811,420,88,7
2,805,414,88,1
0,1028,366,57,7
11,781,322,88,1
0,842,409,127,1
0,1063,439,174,1
0,1062,462,96,7
1,1044,437,167,7
2,1090,444,178,7
0,459,266,42,1
0,865,321,68,1
0,942,375,68,1
0,1047,400,79,30
0,794,419,72,14
0,993,379,79,7
0,1037,424,157,7
0,670,291,25,90
0,616,276,13,90
2,951,335,81,1
0,833,401,115,30
1,817,380,76,1
1,490,269,41,1
0,941,522,131,90
1,1040,376,63,14
0,766,412,67,7
0,768,410,72,7
0,934,410,127,7
0,1093,446,180,1
0,636,347,25,1
0,1262,540,171,1
15,528,289,76,90
0,973,375,76,30
0,461,280,60,30
11,497,276,44,7
7,840,405,115,7
2,954,338,80,7
35,1024,415,150,1
0,836,402,119,1
0,1315,488,135,1
20,439,261,55,7
0,1061,435,169,7
0,688,426,80,30
0,765,376,101,7
0,1135,447,172,1
20,543,297,73,1
0,1036,470,103,7
0,536,302,46,180
7,906,331,64,7
0,1200,505,181,1
0,1049,383,66,1
0,1305,528,152,1
0,577,346,33,7
14,498,273,75,1
0,828,398,118,1
1,937,413,121,1
17,471,286,56,7
0,635,352,40,1000
0,918,343,65,7
0,491,271,44,90
0,1053,376,63,30
2,646,338,21,7
0,1070,466,96,30
3,1057,384,63,1
0,895,329,79,14
2,1011,387,77,7
1,626,343,27,1
44,1037,425,159,1
0,807,433,77,7
0,1106,449,173,1
5,471,270,71,1
0,1044,427,161,7
0,967,404,132,1
1,1069,445,181,1
0,430,258,53,7
0,601,277,13,14
0,630,315,21,90
0,792,413,71,1
0,1213,500,181,1
0,667,288,25,14
0,883,385,87,30
6,729,353,93,1
0,1041,426,157,7
22,557,308,76,1
0,997,497,116,1
2,855,395,75,7
0,566,315,75,1
0,1128,457,177,1
0,1034,472,103,1
3,830,400,79,1
0,1137,462,177,7
1,996,543,135,1
2,946,409,129,7
0,688,424,78,30
24,497,285,52,90
0,580,337,28,7
0,443,269,36,1
13,678,415,80,7
0,647,355,23,365
0,763,406,68,14
19,535,298,72,1
10,927,407,126,1
3,1039,394,78,1
0,742,346,76,1
0,836,397,121,1
1,451,265,56,1
1,627,341,26,1
4,670,327,84,1
0,995,500,121,1
0,965,371,78,7
0,1254,525,152,1
0,556,333,32,1
0,869,329,70,1
0,472,284,32,1000
27,518,300,54,1
1,986,376,69,1
0,680,420,78,30
0,555,306,76,1
2,841,327,76,1
0,442,282,58,30
6,472,276,72,1
9,807,326,87,1
0,832,331,82,1
2,978,529,133,1
8,453,269,72,1
0,1093,444,180,1
5,1052,402,76,30
0,902,330,68,7
1,640,359,23,7
0,565,314,73,1
2,1181,526,183,1
1,656,336,21,1
1,556,307,78,30
33,816,379,76,1
1,705,344,85,1
13,469,269,46,1
27,713,336,77,1
0,491,290,54,7
0,989,534,133,1
0,502,283,49,1
0,1079,448,178,1
0,699,340,85,1
3,805,421,76,1
6,493,266,40,7
0,958,408,130,7
0,1133,459,175,7
2,846,324,76,7
2,440,271,31,1
1,990,371,61,1
26,674,322,79,7
1,1214,521,150,1
0,1008,414,149,1
1,938,331,76,1
0,979,544,138,1
1,939,523,131,7
7,840,406,115,7
15,487,276,43,1
0,1036,479,104,1
0,653,294,26,365
0,824,397,114,7
0,831,490,124,30
0,990,377,68,7
24,497,285,52,90
1,1003,387,66,1
0,997,497,115,1
0,835,398,121,7
0,999,537,135,1
24,553,312,77,7
0,608,259,15,7
13,774,388,72,1
0,692,324,28,365
3,1003,381,75,1
4,988,375,69,1
2,1007,385,76,7
0,1015,411,76,1
0,680,419,78,7
3,821,481,115,1
0,447,274,37,1
2,934,418,129,1
2,954,350,57,1
0,997,500,117,1
0,521,310,43,14
0,884,323,70,1
0,650,354,23,90
0,1073,441,179,1
0,1032,472,103,30
0,1062,436,167,1
0,694,325,78,1
0,978,543,137,7
0,960,404,130,7
1,996,373,63,7
0,934,409,127,1
0,543,314,27,180
0,841,328,77,1
21,544,301,74,1
3,843,394,73,1
1,666,309,18,7
20,432,260,53,1
0,962,391,70,7
0,1068,438,175,1
2,1016,396,71,1
0,1204,519,175,1
0,668,295,41,1
0,483,278,77,30
20,966,407,133,1
0,699,342,85,1
4,1027,486,103,1
0,969,352,55,7
0,974,547,143,1
6,1043,457,96,1
0,586,272,14,1000
0,581,338,29,1000
0,1178,482,177,1
0,921,346,65,7
0,854,411,84,14
0,973,552,143,1
10,845,407,127,1
0,1015,410,76,7
0,1091,448,174,1
0,816,421,88,1
0,1017,551,139,90
0,1301,527,151,7
0,940,411,121,90
0,995,384,66,7
0,529,223,8,365
0,814,392,78,90
43,476,277,75,1
1,1253,526,149,7
0,1024,487,105,180
3,466,265,69,1
2,568,344,32,1
10,816,430,84,7
5,1021,427,82,1
0,495,268,39,1
0,1052,372,63,1
4,1004,387,68,7
1,898,388,69,14
2,1056,378,63,30
1,758,371,102,1
0,589,286,40,180
0,608,255,14,7
10,930,406,126,1
2,431,266,68,1
0,592,318,78,1
2,845,408,127,1
0,829,471,111,1
1,1000,540,135,14
0,992,368,62,1
0,820,392,74,1
1,979,530,133,1
2,429,264,67,1
0,960,402,130,7
0,938,409,126,7
14,560,307,78,90
0,649,298,26,7
0,691,313,89,90
0,963,362,72,7
0,1051,377,63,7
1,1181,505,180,1
0,851,389,78,14
0,1104,449,182,1
0,850,396,78,14
2,1049,402,76,14
0,996,500,122,1
2,490,271,41,1
4,864,319,76,1
0,960,403,130,7
1,989,377,70,1
0,763,359,74,1
0,1012,383,68,1
0,665,311,18,1000
0,974,376,80,7
8,939,412,121,14
0,854,379,81,7
7,928,406,128,7
0,746,349,76,30
0,747,348,75,30
0,1163,482,176,1
7,497,272,40,1
3,788,385,110,1
0,575,343,31,1
0,1090,446,174,1
17,481,286,55,1
2,870,400,78,1
0,1194,531,188,7
3,772,389,72,90
0,624,270,13,180
1,697,316,90,1
0,1209,522,171,1
0,1177,511,182,7
0,457,279,59,7
2,1243,522,149,1
0,935,511,129,1
1,488,288,54,1
0,761,372,103,7
0,512,292,50,1
0,972,522,131,1
0,626,315,80,1
0,1181,515,183,1
2,841,325,76,7
0,837,487,123,1
0,844,395,74,30
0,847,324,76,1
0,927,408,128,30
10,775,388,75,180
23,489,284,51,30
7,1328,520,149,1
0,1052,424,161,14
47,1041,425,160,1
0,1214,523,150,7
4,489,268,43,1
0,454,270,55,180
0,1257,526,160,7
0,811,418,88,7
0,930,386,69,1
3,863,387,74,1
0,769,376,102,7
0,820,392,74,7
0,991,414,145,1
0,641,354,23,7
0,655,264,7,365
345,578,309,9,365
0,694,267,8,180
342,646,256,7,365
0,468,212,84,7
0,577,303,8,365
0,530,316,14,180
0,545,275,3,365
308,656,297,9,365
0,711,289,9,365
320,444,45,0,365
360,701,267,8,365
0,576,270,30,365
248,617,255,4,180
0,467,112,0,365
0,493,225,78,7
0,753,283,8,365
372,654,255,10,365
329,524,305,7,180
0,639,251,7,365
0,592,272,43,365
0,515,235,126,7
0,579,276,13,1000
0,674,310,10,1000
179,494,207,96,30
0,782,388,76,1
0,676,267,4,1000
0,590,303,155,365
0,670,289,10,180
0,1027,442,86,365
359,577,303,8,365
0,416,178,94,30
348,640,250,8,365
14,1049,403,76,1
0,549,261,25,365
306,568,245,9,365
13,718,325,7,365
0,617,288,9,365
0,601,299,7,365
380,768,289,8,365
0,487,237,12,1
361,599,244,1,180
339,695,287,10,365
370,645,274,9,1000
414,710,280,11,365
368,721,304,9,365
0,595,291,7,365
346,634,247,9,365
43,582,299,171,365
0,645,261,6,365
358,578,304,8,365
397,707,263,11,365
387,716,286,7,365
0,921,335,83,1
398,697,272,11,365
268,586,301,171,90
0,468,211,84,7
30,591,333,29,1000
0,320,119,0,180
252,306,91,0,365
316,566,254,11,1000
0,688,405,78,14
5,507,289,6,180
0,609,274,11,1000
308,381,120,0,1000
292,488,296,7,365
0,506,297,5,180
0,933,511,129,14
385,641,253,3,180
11,828,424,83,1
2,685,271,7,365
0,704,272,11,90
0,596,234,9,365
0,571,296,87,180
315,516,282,6,180
241,320,58,0,365
0,739,289,8,365
322,569,263,11,1000
0,697,273,2,30
325,569,276,13,1000
0,681,261,2,180
366,691,271,8,365
245,321,121,2,1000
0,624,293,14,1000
0,568,264,10,1000
221,546,267,6,7
0,551,279,3,1000
0,713,288,8,90
0,691,266,4,1000
0,605,241,2,180
325,645,257,6,365
215,256,86,0,365
0,450,274,40,1
0,555,280,5,365
91,678,267,2,365
0,178,116,3,180
0,168,110,3,1000
0,556,281,5,180
213,571,262,5,1000
0,614,329,8,1
235,543,261,160,1
0,660,267,4,365
0,630,241,9,365
339,595,251,11,1000
385,728,324,6,365
0,735,269,7,365
0,569,263,10,1000
0,738,289,8,365
0,623,292,16,365
364,602,276,2,365
359,700,270,8,365
0,416,174,97,90
0,554,268,187,365
267,620,246,2,180
220,538,262,6,7
45,544,262,45,365
379,769,292,8,365
0,493,224,83,7
0,595,276,2,1000
0,710,288,8,365
0,674,267,4,180
0,664,351,12,365
363,637,296,10,1000
0,601,277,2,365
73,713,283,14,1
0,620,252,10,90
0,520,243,157,14
0,644,275,10,365
240,322,63,0,365
0,328,103,0,365
52,548,328,30,90
0,651,256,8,1
350,685,272,8,365
0,623,248,1,365
0,560,263,10,1000
391,713,318,6,365
0,595,341,11,90
0,584,253,8,1000
264,617,246,2,180
0,538,258,162,365
184,539,259,45,365
0,724,293,10,1000
268,578,281,187,90
0,378,176,9,30
338,661,268,7,365
0,510,302,5,180
0,524,252,164,14
0,668,266,4,180
0,681,322,20,1
0,180,107,3,180
22,634,359,17,30
93,680,269,2,1000
0,1070,467,96,30
370,723,289,10,1000
0,518,301,8,1000
52,646,316,29,1
55,494,223,79,14
0,716,289,8,365
420,673,361,13,365
297,479,286,5,180
278,683,273,2,1000
231,314,67,0,365
0,597,280,2,365
0,675,301,3,365
0,581,270,13,1000
0,437,29,0,365
0,496,291,5,365
0,302,145,7,90
0,624,350,12,365
269,623,246,2,180
308,576,232,10,365
0,645,301,9,1000
0,699,273,1,365
0,617,255,8,365
0,605,276,10,1000
0,510,285,6,180
0,663,297,42,7
367,691,267,7,365
0,532,277,3,180
0,614,273,2,365
378,672,271,4,365
0,227,120,2,7
0,697,269,4,365
53,576,272,15,1000
296,483,283,5,365
0,298,78,0,1000
52,647,318,32,1
0,698,270,4,180
358,705,314,8,365
0,518,312,16,1000
0,573,294,82,180
0,554,261,70,180
381,727,300,9,365
0,642,283,2,365
0,508,285,50,1
127,416,175,97,1000
0,712,318,6,365
315,565,253,11,1000
0,553,262,10,1000
0,697,324,7,180
335,615,321,25,30
0,665,272,11,1000
0,490,281,48,1
0,498,229,126,7
0,452,104,0,365
385,716,326,7,365
365,623,259,3,180
59,584,270,44,365
0,178,115,3,180
243,569,276,40,180
210,494,229,75,7
0,328,55,0,365
0,597,277,2,365
0,639,332,11,30
340,437,97,0,365
0,578,301,126,180
349,581,312,9,365
283,399,2,0,365
0,600,306,9,365
122,168,107,3,1000
0,447,99,0,365
0,583,252,8,1000
0,729,289,6,365
345,638,252,8,365
0,325,156,7,90
236,591,265,4,365
0,715,287,8,365
0,178,115,3,180
328,597,314,24,7
317,513,304,5,180
386,711,282,7,365
0,437,15,0,365
0,553,279,4,180
309,425,10,0,1000
122,442,201,90,180
0,749,296,4,180
0,668,358,12,365
402,651,360,12,365
393,702,265,11,1000
0,709,280,10,365
0,647,257,6,365
0,534,257,6,180
412,709,273,12,1000
195,572,265,44,365
0,595,250,2,180
342,547,299,8,365
327,610,317,25,7
0,653,255,2,30
0,770,291,8,180
0,606,344,11,1000
0,517,289,41,1
328,408,130,0,365
0,600,254,11,1000
0,528,301,12,180
0,520,295,53,1
0,556,300,8,365
0,528,316,15,365
0,741,294,4,365
0,615,245,2,180
0,426,187,91,90
0,536,307,7,180
0,687,320,8,365
0,697,273,7,365
309,425,12,0,365
0,729,299,9,365
0,661,274,11,365
0,639,251,7,365
0,648,261,6,365
310,585,232,9,365
0,632,249,7,365
0,660,274,9,7
0,642,253,7,365
0,552,328,13,7
0,540,261,45,365
0,595,301,156,365
0,615,282,9,365
0,580,275,33,365
0,590,272,19,180
0,567,234,8,7
0,836,429,82,7
35,560,323,30,1000
0,702,270,11,180
0,490,285,50,1
0,610,344,12,365
353,674,265,7,365
0,632,361,19,180
58,519,265,64,365
342,659,263,6,365
0,704,270,7,365
330,537,306,7,180
213,571,263,5,90
0,342,107,0,365
0,484,284,6,365
245,323,60,0,365
202,488,230,93,7
22,726,325,6,365
133,455,207,90,14
58,526,249,159,365
223,524,251,164,180
0,548,264,171,365
0,600,275,11,1000
0,642,251,3,180
0,484,281,5,1000
0,184,113,2,180
261,595,292,60,30
0,626,288,10,1000
267,620,247,2,180
0,725,319,6,365
73,392,175,10,14
0,617,321,23,14
0,564,277,37,180
372,714,290,9,365
0,725,285,6,365
254,567,284,90,90
0,690,267,11,1000
0,718,289,8,365
0,525,234,104,14
0,621,289,9,365
0,330,98,0,365
0,199,126,2,90
343,614,303,6,365
289,486,297,6,365
215,496,222,79,1000
0,552,282,3,180
390,674,297,3,365
0,519,315,14,365
0,664,252,9,365
24,602,319,26,1
75,501,232,98,365
0,1017,428,82,1
0,601,296,7,1000
354,583,316,9,365
0,432,194,91,30
0,602,300,7,365
0,409,119,0,1000
0,664,293,3,365
0,560,267,22,7
0,521,267,67,365
0,588,295,69,1000
0,595,252,11,1000
358,605,251,1,180
2,598,289,7,1000
0,732,280,8,365
0,1256,522,151,1
0,426,188,94,180
0,535,278,3,180
66,598,342,29,7
0,693,271,8,365
0,675,287,11,365
14,717,282,4,365
0,165,109,2,180
0,547,262,25,365
317,675,293,10,365
0,675,310,10,365
252,559,274,187,90
