@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
25,107,5,39,14
33,219,1,107,1
34,650,3,134,30
72,566,22,67,30
80,1226,5,146,1
57,149,8,66,90
55,1088,46,216,180
64,613,18,82,14
30,785,3,76,1
161,1196,10,206,14
13,218,49,129,7
26,1242,1,149,180
22,1373,0,163,1
7,274,2,84,1
60,600,1,136,180
110,923,0,118,1000
32,735,5,80,14
90,328,10,64,90
185,802,11,121,7
14,1251,0,185,1000
21,357,1,68,1000
6,351,2,22,365
7,738,0,149,180
199,547,1,41,180
91,268,11,39,365
28,1138,0,89,1
18,231,1,69,180
10,703,10,66,1
208,556,2,64,1
67,359,5,70,1000
27,1127,11,107,1000
52,180,3,22,180
44,756,15,148,14
14,1031,3,58,7
79,342,1,42,1
73,194,0,29,365
121,922,2,118,90
35,210,13,34,1000
92,158,2,63,7
101,1078,5,214,1000
59,613,6,72,180
6,360,8,19,180
281,263,0,38,14
29,919,0,118,90
59,110,3,33,365
5,291,0,90,1
31,1527,29,264,1000
37,239,0,123,7
66,130,2,62,1
28,536,3,101,1000
50,279,4,87,1
155,573,2,71,1000
188,217,0,10,1000
4,576,4,55,365
65,597,5,111,1
74,247,4,93,1
17,1117,0,86,1000
124,857,10,139,1
77,784,1,141,7
72,1185,0,75,1
59,193,30,100,180
31,1232,1,148,1000
18,369,0,54,1
97,258,8,35,365
84,1203,1,194,14
45,1140,7,176,7
18,1253,26,188,1
114,173,14,66,1
49,723,0,84,7
35,152,24,63,90
7,186,33,59,90
56,1458,21,259,180
45,249,7,37,365
43,648,10,135,1
18,219,9,107,365
66,1206,25,216,7
20,873,1,82,14
33,903,0,90,90
54,125,20,60,90
64,546,0,58,1
43,1175,0,148,180
71,401,6,76,1
22,1379,52,168,14
63,628,0,80,7
48,515,8,84,7
24,365,4,20,180
295,124,1,26,1
37,742,1,154,90
108,1377,0,169,180
113,611,1,138,7
306,248,10,105,90
78,578,21,67,90
42,1196,5,177,14
16,265,0,37,1
93,963,0,106,30
23,533,22,57,1
39,947,6,156,90
147,808,12,115,365
57,679,2,81,1
69,605,20,92,1
77,203,5,115,7
93,431,3,79,1
28,1355,0,230,1
210,859,15,62,90
65,191,0,46,90
29,308,1,69,90
108,280,0,54,7
95,1177,1,75,1
47,741,0,154,7
45,314,7,78,1
7,358,4,117,1
48,358,2,71,7
50,128,0,27,1
58,544,2,67,1000
52,606,0,72,90
45,326,0,63,180
21,582,1,81,1
65,917,1,58,1
48,559,9,62,30
27,661,2,77,365
2,322,0,70,1
49,277,28,82,1
3,1161,0,199,14
68,1253,6,243,1000
79,264,1,20,180
23,652,23,128,7
76,1193,24,208,1
103,201,0,99,1
95,1284,2,188,1000
51,347,0,23,180
33,204,1,105,90
145,605,2,127,7
39,820,1,146,1
64,853,21,147,1
66,95,1,26,30
23,363,1,72,7
103,456,1,57,1000
13,101,0,31,1000
8,1117,0,86,1000
62,671,2,72,1
12,723,5,134,1
82,918,6,160,90
95,345,0,111,7
51,905,1,81,30
17,713,0,120,1
65,331,0,36,365
94,966,0,118,1
14,482,1,54,1
44,934,0,142,30
32,721,8,120,7
19,634,12,134,1000
27,0,0,9,90
72,1033,0,60,7
22,326,1,73,1000
22,686,9,135,1000
21,362,0,126,7
37,419,4,82,1
62,937,5,121,365
35,1346,0,243,1
7,186,33,59,90
104,322,0,36,180
865,173,28,58,180
15,741,0,154,180
44,1166,3,169,7
61,288,35,108,30
42,395,0,73,90
36,1116,3,177,1
33,0,3,26,1000
69,275,10,34,1000
61,880,2,136,7
24,405,4,73,1
202,207,0,19,180
48,0,0,26,90
51,1316,63,178,14
100,193,5,61,30
25,357,8,19,365
55,467,5,52,1000
30,1094,4,205,7
29,1221,6,128,1000
120,749,1,79,7
45,208,0,104,1
35,323,19,61,90
26,571,15,101,1
5,729,4,90,1
67,709,11,129,1000
182,959,5,78,1
279,1160,12,205,7
37,48,1,29,7
140,1171,0,209,30
65,906,0,142,180
160,1161,30,206,30
14,1167,5,169,1
73,1134,34,192,1
41,793,9,149,1
51,252,8,42,14
70,1191,4,178,180
113,1106,17,71,7
16,1138,1,192,14
295,1374,2,237,1
30,1230,5,183,7
65,604,0,62,1
18,1193,0,150,1
136,402,0,76,14
88,936,24,154,1000
149,862,0,84,1000
48,720,1,69,365
46,113,0,56,365
58,706,11,117,180
48,517,7,100,90
1238,348,5,70,90
59,630,2,136,90
35,797,0,69,1
65,1168,3,206,30
235,128,0,60,180
41,975,0,155,1000
116,893,0,92,365
75,832,5,95,365
129,1224,0,148,1000
28,760,0,84,1000
127,405,2,39,180
148,758,0,84,365
29,792,12,146,90
12,780,30,163,1
98,503,0,99,1000
97,741,0,69,1000
121,932,13,132,7
39,575,17,103,1000
17,1185,16,157,180
69,834,6,69,1
72,881,0,85,90
46,264,2,20,30
36,854,5,151,30
65,237,13,44,14
56,595,21,131,1
197,1059,2,186,1000
39,339,2,46,30
54,324,8,62,14
24,1220,2,73,7
5,1234,0,148,365
98,213,0,64,1
25,1046,11,104,1
32,365,2,69,7
122,588,19,134,1000
78,117,4,30,180
122,851,2,135,1
7,1201,6,235,1
57,163,0,61,7
28,248,1,40,90
23,238,19,123,180
308,586,3,52,180
23,543,1,61,1
53,1383,1,241,1
59,181,1,22,365
17,212,2,41,1
37,239,0,105,1
8,1018,0,137,7
22,794,3,90,1
54,361,0,20,90
81,798,5,115,180
72,247,8,40,365
150,797,4,98,1
36,972,11,155,1000
7,187,25,79,1
78,102,2,31,30
14,873,1,82,14
10,873,1,82,14
7,876,5,161,1
52,1131,11,227,1000
97,1193,0,75,1000
68,1264,5,227,1
4,213,14,46,7
51,1156,19,176,1
70,867,1,145,14
380,127,9,30,365
8,959,10,160,1
11,1137,2,186,1
21,650,0,131,1
27,328,11,101,1
13,696,9,101,365
23,371,1,58,365
24,1193,21,207,1
21,904,0,115,1
57,1455,2,253,14
200,744,10,119,7
7,1229,9,148,7
62,1120,2,113,1
50,206,42,102,7
175,1214,1,99,7
100,791,1,146,1
27,1322,1,227,1
25,229,3,82,90
38,759,7,78,1
284,558,3,104,180
66,1514,1,269,90
700,708,0,116,1000
58,1004,7,154,1000
14,854,18,147,1
310,89,2,26,1000
19,1389,15,243,1
65,677,0,134,1000
21,0,1,23,1
16,1121,10,122,1000
62,210,0,34,1000
70,1425,1,255,1
106,963,0,106,180
185,1207,0,198,1000
50,539,0,62,1000
124,1166,6,214,1000
26,220,3,66,180
51,1230,4,223,1
68,713,2,66,1
5,298,8,23,180
7,918,0,160,7
19,972,7,134,7
208,315,20,76,180
49,413,5,40,1
81,326,1,100,1
49,1235,4,191,1
22,324,10,82,7
114,603,2,127,1
24,141,3,47,1000
112,884,0,87,7
117,935,30,172,30
39,1168,17,169,180
82,1323,13,125,1000
20,1192,1,178,7
81,763,2,84,365
60,601,23,131,365
46,1416,4,252,1
70,541,13,60,14
66,405,7,39,1000
45,506,0,56,7
63,718,0,80,1000
59,1372,51,163,7
553,757,1,65,1
11,1249,0,184,1
88,902,3,137,1000
34,956,18,150,1000
185,569,0,61,30
6,308,23,107,1
12,1242,8,189,1
96,1265,0,107,1000
12,290,1,33,1
15,1020,13,104,1
93,338,2,121,1000
65,0,1,17,30
43,194,0,60,1
64,1280,3,110,1
59,295,0,54,1
113,332,8,76,7
136,1126,16,178,1000
8,582,0,76,90
7,850,0,93,1
12,200,39,98,30
64,866,0,149,1000
49,1437,4,262,1000
21,830,0,133,180
34,343,11,74,1
64,603,0,59,30
137,540,3,59,7
92,144,1,59,14
32,1154,27,203,1000
63,746,8,147,30
126,1159,1,165,7
80,302,36,107,7
16,194,30,101,1
52,552,0,83,1
104,655,3,54,1000
34,122,5,30,1
24,320,3,68,1
23,232,16,121,1
55,231,0,105,1000
13,1248,5,184,1
56,1117,1,86,7
64,891,6,160,7
20,326,1,73,1
28,332,34,116,1
25,289,3,54,1000
126,1125,0,190,14
518,932,1,83,90
32,906,2,74,7
39,978,6,160,7
143,736,1,63,14
42,194,1,15,1
108,598,1,65,90
10,1166,12,195,1000
44,333,0,59,180
376,366,0,20,90
25,1187,10,228,1
532,902,6,157,1000
73,417,0,33,1000
36,257,8,36,1
32,1162,4,112,30
25,948,0,157,30
204,713,3,121,1
239,328,10,108,7
81,929,0,54,7
46,536,3,101,1000
101,366,0,71,1000
55,881,1,85,30
124,1251,12,244,90
41,747,11,67,7
40,379,1,38,1000
56,1163,7,211,1
179,571,16,102,365
78,199,1,103,7
34,277,4,80,1
54,178,31,66,30
19,684,2,127,7
4,242,2,94,7
29,313,24,74,1
107,193,0,51,365
17,564,3,68,1
27,661,2,77,365
70,303,19,108,90
82,1513,1,258,7
243,519,4,100,90
32,183,6,54,90
