@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
338,3,904,351,7
330,1,918,354,1
295,47,741,306,1
292,19,728,301,1
165,9,487,132,30
347,8,878,363,14
147,2,395,84,180
360,16,846,370,90
338,34,893,367,1
229,8,600,229,1
372,46,894,384,14
270,36,687,275,1
309,51,801,314,7
288,41,756,299,1
287,44,795,303,7
164,0,493,132,14
330,25,868,343,7
127,2,312,52,1
104,6,239,14,1
381,29,901,394,7
336,13,905,370,7
348,38,922,383,1
371,41,889,388,7
392,2,929,406,7
329,3,916,348,14
177,8,524,162,7
186,4,539,169,14
273,6,747,293,90
375,11,896,386,1
276,39,759,300,1
354,0,829,364,1
240,0,615,241,180
356,51,836,364,1
294,13,736,305,1
309,37,807,314,1
357,52,943,390,1
329,58,865,342,7
337,34,870,357,1
176,3,522,161,1
293,0,789,307,7
319,24,787,329,7
328,9,911,347,30
149,1,417,93,30
148,8,397,87,30
349,34,875,363,7
304,48,760,317,1
240,8,622,239,30
245,26,637,249,1
202,9,579,193,1
61,0,114,19,14
325,4,924,348,7
374,39,889,382,1
338,3,894,351,30
123,1,306,46,1
347,3,811,355,1
233,10,607,233,1
147,0,397,84,180
370,0,891,386,1
306,15,771,321,1
375,27,895,386,7
355,0,828,364,1
335,38,918,363,1
219,9,587,217,1
145,0,417,97,14
330,8,915,348,14
60,0,144,10,1
233,1,609,234,1
246,23,640,251,1
184,4,547,174,1
337,18,898,367,1
117,2,296,37,7
337,15,909,371,1
366,0,862,376,7
273,0,744,295,30
399,0,929,408,7
314,22,808,319,1
257,17,660,261,1
332,39,878,345,1
368,5,892,383,1
338,0,898,371,1
314,6,809,319,1
336,0,892,364,7
110,5,282,29,7
371,18,883,381,7
325,16,795,336,1
384,19,900,394,1
343,58,896,357,1
339,19,820,352,1
192,11,558,181,90
329,8,912,348,1
366,23,867,377,1
305,11,804,312,1
58,0,115,19,1
329,0,864,342,7
374,29,894,390,1
161,4,480,128,1
107,7,244,15,365
102,0,260,10,90
204,7,579,195,365
102,0,267,21,14
340,32,870,356,1
309,20,806,316,1
282,42,707,290,1
308,49,779,319,7
344,49,915,379,7
146,17,392,82,1
282,0,751,303,1
164,24,486,132,7
341,0,908,374,1
329,1,864,342,7
309,7,781,325,1
273,4,739,292,1
116,0,266,7,1
386,47,895,396,1
343,28,873,362,30
322,16,791,333,7
306,50,773,321,1
354,25,890,373,1
385,27,889,394,7
136,2,421,99,1
251,13,653,254,1
193,10,561,182,1
343,0,883,353,30
183,4,527,165,1
251,30,642,250,7
331,10,918,356,7
358,10,844,367,180
357,49,893,376,1
171,27,511,152,7
65,0,117,22,7
337,2,891,350,7
237,14,617,237,1
315,30,817,330,1
282,4,703,288,1
287,36,799,301,7
339,25,867,355,1
381,0,907,397,14
338,1,903,355,1
118,0,294,42,90
343,19,911,378,7
237,12,613,238,14
347,24,816,354,14
366,0,898,382,1
295,2,748,307,1
317,30,816,331,1
341,27,870,357,1
288,21,762,305,1
133,7,343,61,90
375,2,902,393,1
365,44,885,381,1
282,0,753,300,1
293,11,784,307,30
197,24,574,187,1
287,42,755,299,7
343,7,884,353,7
332,7,914,352,7
273,6,741,292,14
286,14,719,296,30
272,38,749,292,1
392,0,899,402,1
383,19,899,393,1
367,0,890,385,7
336,38,907,359,1
335,25,807,346,7
186,4,537,169,1
289,7,780,302,7
140,4,427,105,14
289,14,726,299,1
270,40,745,296,7
279,24,764,302,1
103,8,245,17,7
343,2,912,376,1
351,7,939,382,7
161,0,479,128,7
294,19,799,305,90
341,1,927,372,7
87,0,180,12,1
277,5,744,293,1
271,0,752,297,7
272,6,749,293,7
140,5,436,106,7
128,4,314,56,14
185,8,549,175,30
308,0,781,319,1
357,23,888,379,1
287,5,770,299,1
130,0,316,55,90
379,44,902,395,7
312,7,804,312,1
78,0,190,5,1
138,6,369,69,14
293,8,731,305,1
130,0,317,55,7
78,0,128,17,90
350,50,924,384,14
292,3,767,307,1
352,13,887,370,7
352,3,940,382,1
290,21,766,302,14
278,0,747,293,7
353,24,924,384,7
288,35,789,302,1
133,0,347,62,7
83,0,184,10,365
139,12,366,71,7
68,0,185,6,365
289,7,784,301,7
339,12,894,358,7
339,31,868,355,1
327,0,851,339,90
105,4,276,25,1
284,35,762,297,1
360,13,835,367,1
396,0,912,408,14
309,10,806,314,7
325,39,836,335,1
363,57,947,384,1
269,12,679,273,1
358,0,846,368,90
84,0,123,10,1
323,23,803,336,1
336,53,814,349,1
164,17,488,132,14
157,21,461,124,1
328,6,855,341,14
396,12,914,408,30
203,8,580,194,7
211,2,577,203,7
329,32,917,348,1
167,3,498,142,1
305,10,761,318,7
210,3,582,201,7
317,54,811,322,1
305,21,765,320,1
147,1,394,84,30
336,0,897,366,1
330,11,869,343,90
292,7,765,307,7
93,0,221,7,1
103,0,246,15,365
97,0,233,6,1
238,2,620,240,1
333,11,878,347,7
150,13,450,116,1
184,3,543,172,1
363,30,886,378,1
379,0,897,386,7
129,0,315,54,1
352,38,936,382,1
330,12,804,342,14
311,51,811,318,7
377,40,890,383,1
380,44,906,396,1
327,34,915,351,1
276,25,751,296,1
348,0,825,359,90
128,4,317,55,7
399,3,931,412,1
343,62,893,356,7
287,0,790,302,1
351,45,885,368,1
179,4,524,162,7
346,49,921,380,1
287,6,771,300,1
61,0,115,19,1000
399,24,933,409,7
136,5,360,67,1
368,17,900,386,1
273,36,738,292,7
205,18,579,195,7
353,43,890,369,1
364,8,861,374,7
375,13,900,387,90
318,51,821,334,1
366,56,942,394,7
287,8,754,296,1
295,14,748,307,1
361,6,841,369,1
360,14,887,379,180
299,1,774,313,14
334,11,808,347,7
247,12,640,252,7
358,28,938,387,1
292,7,727,301,1
273,1,755,297,7
205,8,582,197,1
387,11,900,398,14
377,18,897,393,7
330,0,907,349,1
329,58,862,341,1
129,0,314,54,7
340,13,908,358,90
386,11,904,399,7
354,58,930,374,1
327,7,899,349,30
364,54,949,395,1
128,14,317,55,180
289,36,782,301,1
254,14,652,254,1
239,1,628,242,1
291,1,762,304,1
323,23,827,331,90
198,20,578,189,7
150,0,415,92,1
287,0,799,302,90
355,8,829,364,30
330,40,876,344,7
301,9,757,314,1
329,40,866,342,14
270,1,743,297,7
103,0,176,14,1000
283,10,778,307,30
347,15,876,364,1
121,12,292,41,7
185,18,536,169,1
328,33,913,347,7
357,1,943,390,1
325,2,928,348,14
359,40,833,366,1
324,0,826,330,7
237,5,618,237,7
337,58,888,347,1
331,0,878,345,14
325,15,923,348,7
121,3,294,41,180
367,11,946,394,1
384,46,900,396,7
193,0,557,180,180
380,41,908,396,1
291,34,727,301,1
140,0,432,105,1
373,30,886,391,7
147,0,398,84,7
293,10,732,305,1
145,1,376,79,1
340,40,889,355,1
340,1,865,358,7
275,32,695,280,1
280,17,700,285,7
367,0,884,383,90
284,35,761,297,1
117,11,299,37,1
285,7,763,298,1
329,8,913,348,1
251,30,640,250,1
334,12,916,362,14
345,7,823,358,7
245,22,640,250,1
256,31,663,261,1
164,1,485,130,90
168,0,502,147,1
396,46,906,406,7
282,18,706,290,1
273,7,757,297,14
320,10,819,335,7
365,28,880,380,1
164,0,489,132,30
370,18,902,388,30
282,38,749,302,30
364,26,860,374,7
289,5,785,301,90
257,26,658,261,7
246,13,640,251,7
237,12,612,238,1
340,6,896,359,7
352,1,926,382,7
77,0,129,27,1000
358,30,896,377,7
266,26,679,271,1
366,56,945,397,1
390,44,897,400,1
351,24,882,367,1
298,0,774,316,7
247,7,641,249,1
155,9,459,122,1
291,0,755,302,1
99,2,229,7,1
226,5,592,227,1
270,0,745,293,1
337,48,908,370,1
322,36,823,330,1
392,2,930,406,7
142,0,441,108,1
320,0,916,344,1
291,9,782,302,14
323,16,792,334,7
288,10,775,301,1
325,9,927,348,7
318,0,812,324,1
237,22,611,238,7
185,1,535,168,7
272,37,692,276,1
149,1,415,92,14
117,0,295,37,1
189,5,545,173,1
320,37,792,331,7
150,1,413,92,180
319,31,786,329,180
373,26,884,391,1
314,31,788,329,7
211,1,576,202,1
357,40,831,364,7
339,31,869,356,30
171,0,515,153,14
396,23,913,408,30
172,0,501,140,14
342,0,863,356,1
298,26,753,311,1
171,8,501,141,14
365,6,944,395,7
238,4,616,236,1
159,0,472,126,30
398,5,931,412,1
324,0,828,330,1
171,0,510,152,90
340,14,926,371,7
332,5,912,352,7
140,8,414,97,14
273,4,755,297,1
334,14,902,356,7
239,0,627,241,1
336,61,882,351,7
273,31,694,278,1
71,0,143,9,1000
117,1,294,37,1
77,0,183,7,1000
334,18,806,347,7
193,11,563,183,7
309,37,808,314,1
211,18,575,202,7
335,29,897,355,7
119,2,297,42,7
204,27,579,196,1
330,35,803,342,1
295,9,740,306,7
119,1,266,9,90
354,8,828,364,7
289,9,729,301,1
298,26,754,311,180
294,48,798,304,1
320,25,821,334,7
280,8,699,285,1
138,0,373,74,1
357,37,890,380,14
177,16,520,160,7
392,27,896,402,1
340,1,907,359,7
345,37,918,379,7
324,0,796,335,1
371,0,883,382,1
293,5,768,308,14
276,7,761,300,90
339,36,922,369,7
398,13,925,411,7
330,4,920,349,30
321,35,822,329,1
196,18,559,183,1
300,1,770,314,14
140,0,365,71,180
251,24,644,250,1
360,0,847,370,1
356,0,837,364,1
343,37,912,376,1
129,6,324,57,90
379,0,901,395,1
271,40,750,297,7
338,4,898,351,7
211,4,574,202,7
294,0,736,305,14
272,23,748,295,1
372,45,888,387,1
355,33,891,374,14
367,54,944,392,1
102,0,268,8,90
340,31,869,356,30
241,12,621,239,1
329,5,906,350,1
100,1,236,11,1
294,3,784,307,7
276,22,753,298,14
280,17,698,285,1
288,4,762,305,14
370,3,897,384,7
348,34,876,364,7
317,33,805,332,7
152,14,452,118,1
331,9,916,352,1
349,0,880,367,7
357,23,891,380,1
334,13,897,351,7
359,42,892,380,1
241,6,617,240,7
305,49,762,319,1
378,18,894,390,1
183,10,546,172,30
344,36,916,379,1
377,25,892,390,1
399,47,926,409,30
350,29,883,367,1
381,1,908,397,30
339,32,902,352,14
331,37,871,344,1
351,0,885,367,1
332,2,903,363,1
280,3,749,298,1
396,12,918,408,7
283,7,776,307,14
337,30,887,352,1
107,3,246,15,14
287,44,723,297,1
231,22,604,231,7
305,38,803,312,90
189,4,556,178,14
304,49,799,311,1
106,0,278,26,14
359,17,848,369,1
306,36,769,320,1
288,41,754,299,1
327,6,916,353,1
319,39,815,327,14
335,26,879,350,7
205,5,583,197,7
102,3,266,21,7
387,0,907,400,7
349,1,921,382,1
183,4,533,166,7
383,0,900,388,1
171,0,514,153,1
355,2,885,369,7
279,37,763,302,14
339,39,924,369,1
185,18,551,175,14
287,44,721,297,1
398,23,931,412,7
390,8,895,400,90
331,14,901,362,1
239,11,621,239,1
370,27,896,384,1
137,9,424,103,90
266,34,678,271,7
316,15,810,330,1
185,2,534,168,1
340,32,906,358,7
168,1,499,143,365
336,23,906,370,7
102,3,245,15,30
374,4,898,386,1
291,3,799,305,14
384,0,897,386,1
179,8,526,164,30
316,53,810,321,1
347,50,879,363,1
275,7,696,280,1
399,0,928,408,90
332,8,879,345,1
257,32,666,262,1
290,8,760,303,1
399,4,932,413,90
238,2,624,240,7
334,52,812,347,1
123,4,305,46,30
270,1,740,291,30
105,9,249,19,7
341,31,896,359,90
377,0,894,390,1
131,14,331,58,1
329,0,859,342,14
210,27,572,201,7
78,1,191,6,365
231,0,605,231,14
224,24,592,225,7
293,36,799,303,1
291,4,801,303,7
58,1,116,20,1000
365,55,948,393,7
365,11,860,374,30
385,2,890,395,7
364,28,887,383,1
365,0,861,375,1
359,7,888,379,1
186,4,535,169,1
364,19,888,383,1
340,27,871,359,7
363,0,891,379,1
198,25,568,185,1
239,12,625,241,1
396,47,926,410,7
351,47,889,370,1
99,0,173,14,1000
383,1,900,391,90
386,9,901,398,7
319,15,788,330,1
282,42,709,290,1
339,30,905,357,7
359,42,847,369,7
350,22,923,385,1
373,9,894,389,7
329,3,915,349,1
366,0,946,393,1
288,42,757,300,1
287,35,759,304,30
193,9,557,180,7
337,59,890,348,1
166,25,496,134,7
198,19,560,185,7
212,19,582,209,1
280,8,740,297,90
351,24,882,367,1
399,24,929,408,30
99,4,230,9,1
313,14,783,328,7
289,46,725,299,1
341,1,887,353,7
230,10,601,230,7
338,0,905,371,7
353,29,888,369,7
281,6,751,301,14
287,44,794,303,1
338,16,905,370,1
324,32,798,335,1
333,0,807,345,1
342,5,822,353,180
287,44,796,302,7
330,3,905,351,14
316,8,791,330,1
330,25,869,343,7
366,0,892,384,7
133,0,350,62,14
376,1,892,393,30
270,39,742,292,7
337,2,907,370,7
149,8,397,87,7
324,57,827,330,1
373,30,895,389,1
142,6,374,78,1
198,19,577,188,1
119,0,298,42,365
370,0,897,384,7
329,0,857,342,7
253,13,647,252,1
199,2,569,186,14
363,23,886,376,1
281,41,705,289,1
319,15,789,330,7
329,9,922,349,7
370,41,890,384,90
309,5,808,316,7
396,11,905,406,30
225,8,592,226,14
400,0,932,409,1
145,2,385,81,1
96,0,267,19,30
279,32,697,284,1
140,2,362,71,14
380,30,904,396,7
140,6,374,76,1
138,0,368,69,30
289,3,779,302,90
71,0,179,5,1
101,7,245,14,7
330,51,807,343,1
230,11,600,230,7
376,42,892,387,1
378,30,898,394,7
338,16,864,354,1
314,9,807,314,1
260,19,673,265,7
350,31,881,365,1
330,28,921,349,7
341,18,872,360,1
106,10,279,26,1
358,10,843,368,14
336,35,818,349,1
336,35,908,370,1
245,26,636,249,1
348,12,822,355,7
359,42,893,380,1
83,0,183,8,1000
80,0,121,23,1
360,11,855,369,90
330,38,877,344,1
374,39,889,381,1
159,16,475,126,7
116,6,289,36,90
319,4,790,330,1
226,4,594,227,14
202,12,578,193,1
199,25,573,187,1
340,0,927,372,1
316,33,810,330,1
122,0,263,10,365
272,1,749,294,1
357,9,835,364,7
335,4,894,352,14
333,11,915,354,1
131,1,331,58,30
117,0,297,37,1
376,29,891,382,1
360,42,857,370,1
371,31,953,394,1
360,32,885,377,1
276,25,752,296,1
309,51,802,314,1
135,0,353,66,90
336,31,898,353,7
351,24,938,382,7
348,1,876,363,90
186,3,553,176,1
399,0,926,409,1
290,44,761,304,7
309,24,783,319,1
326,30,901,348,1
277,28,748,294,1
146,0,404,88,30
269,12,680,273,7
98,0,163,13,1000
358,10,841,366,1
330,4,909,351,30
281,34,750,302,7
313,21,805,313,1
229,0,599,229,1
356,8,942,388,1
278,43,769,302,1
147,18,393,84,14
374,0,897,386,1
124,0,147,51,1000
338,4,900,358,90
356,22,832,363,7
111,0,286,29,1
213,8,585,211,1
333,28,896,352,1
118,0,261,7,7
266,26,680,271,1
225,7,591,226,1
366,0,864,376,90
245,26,634,249,1
357,52,943,389,1
110,1,258,9,90
357,44,888,377,7
197,7,560,184,1
336,61,884,351,14
315,37,801,328,7
138,1,369,69,30
354,0,889,369,1
367,0,883,382,14
339,6,870,356,1
84,1,129,26,1
57,0,114,19,1000
335,56,902,353,1
197,6,565,184,7
83,0,182,8,1
164,1,484,130,7
399,48,930,412,7
352,13,885,370,1
330,10,917,352,7
325,4,925,347,7
150,0,412,92,180
338,0,903,371,1
343,19,915,376,1
282,9,712,290,180
166,25,497,134,1
149,1,418,94,1
289,3,793,303,14
269,35,682,274,1
170,14,507,149,7
299,38,777,316,7
336,30,898,356,7
306,50,766,320,1
368,27,888,384,1
185,6,552,175,7
127,1,310,51,180
105,0,275,23,90
184,3,543,173,1
332,0,902,363,1
119,0,271,9,90
199,4,572,187,365
325,24,843,335,1
147,10,400,88,14
324,15,915,350,7
365,41,895,382,7
245,26,635,249,1
143,20,442,109,1
381,0,910,397,7
137,7,359,67,7
339,57,900,354,7
392,11,898,402,1
346,24,824,355,1
279,8,757,302,14
332,3,905,364,1
101,5,239,12,1
357,15,841,366,7
103,3,246,17,30
346,37,811,354,7
185,1,550,175,1
332,37,915,353,1
149,1,410,91,7
368,28,878,381,7
318,1,813,325,90
138,8,365,70,1
333,10,915,354,7
374,41,888,385,1
374,9,888,385,7
307,29,776,323,1
351,24,928,381,7
371,59,948,393,1
140,0,364,71,30
247,8,640,248,7
358,6,841,368,1
298,0,775,316,7
288,8,776,301,7
150,2,418,95,1
272,2,746,297,30
92,0,230,7,1
319,23,818,327,1
285,37,768,297,1
146,4,417,97,7
358,9,939,387,7
159,0,473,126,30
396,3,922,408,1
109,0,281,28,1
369,30,945,397,1
337,5,909,370,7
293,6,762,304,7
291,4,800,303,1
334,2,915,361,7
140,19,439,106,7
128,14,313,56,30
355,0,885,371,1
295,7,736,305,30
340,8,926,371,7
279,0,755,303,7
124,12,308,47,1
353,17,941,383,1
348,14,917,381,1
340,7,905,358,7
320,28,821,335,1
351,16,938,381,1
396,5,916,408,90
198,24,561,185,1
112,5,287,30,7
329,8,908,347,1
299,0,778,316,7
367,0,875,380,1
104,3,247,20,14
241,6,615,240,30
140,5,430,105,7
273,22,749,297,7
287,2,760,304,1
322,3,923,346,1
360,0,853,370,30
295,0,746,307,1
319,5,790,330,1
376,49,892,382,7
270,36,685,275,1
331,9,917,356,1
324,32,797,335,1
345,0,824,358,1
125,3,306,49,1
338,7,921,368,1
242,15,619,241,7
329,58,863,341,1
282,9,711,290,7
381,3,909,397,14
306,5,768,320,14
140,1,416,97,7
326,54,917,351,1
179,7,527,164,30
336,23,898,367,1
347,0,816,356,7
346,3,811,354,90
348,40,821,355,1
255,14,651,254,14
184,6,548,174,7
286,2,764,300,7
325,34,799,336,1
103,9,273,23,1
369,6,896,383,14
231,30,604,231,1
286,43,718,295,1
276,43,764,300,1
339,12,895,358,7
93,0,155,10,1000
323,29,825,331,7
359,8,846,369,1
338,26,867,355,1
270,36,684,275,1
325,0,839,335,30
319,39,816,327,1
347,32,876,363,1
140,5,435,106,14
293,35,743,305,14
378,3,897,390,30
278,0,747,293,1
366,0,883,382,180
238,12,617,238,7
373,30,885,391,7
354,26,939,384,1
105,7,245,15,7
368,24,879,381,1
146,0,405,88,90
168,2,498,140,1
135,1,353,62,1
212,0,583,209,30
339,17,871,356,1
212,7,584,209,1
273,36,737,292,1
344,24,913,379,7
341,0,891,355,7
336,3,880,351,7
99,0,170,14,1000
145,1,377,79,90
367,33,885,383,1
363,2,942,394,1
337,7,889,348,7
396,0,920,408,180
272,30,691,276,1
231,0,603,231,90
298,26,752,311,1
338,17,893,365,1
260,33,670,265,1
133,0,149,66,1000
94,0,226,5,1
283,23,753,301,1
311,52,802,316,7
327,12,917,354,1
325,37,837,335,14
356,39,829,362,1
210,4,567,201,7
298,26,751,311,1
253,15,648,252,1
319,34,806,333,1
282,8,752,299,1
332,25,807,346,90
301,9,756,314,30
293,45,765,306,1
278,2,768,302,7
372,43,890,384,14
238,22,621,240,1
102,0,142,51,1000
313,8,806,313,1
282,29,754,299,1
176,1,520,159,1
142,9,374,78,7
279,37,756,303,14
281,1,751,299,1
271,36,690,275,1
138,1,368,69,7
99,0,231,9,1
343,29,893,356,14
210,27,581,201,1
256,3,657,260,7
113,1,285,30,1
216,9,586,213,1
240,8,619,240,1
209,6,579,204,1
220,28,591,218,1
398,23,930,412,1
59,0,108,17,1000
298,2,799,308,14
368,26,897,383,1
137,1,365,68,90
140,1,419,97,7
379,44,898,394,7
325,11,803,337,90
306,7,770,320,7
330,7,909,348,1
238,4,616,238,1
337,9,910,370,1
166,27,497,143,14
336,6,880,351,1
344,31,895,358,7
343,0,894,356,7
308,3,780,324,1
301,38,800,311,7
136,1,362,67,7
372,45,887,386,1
348,10,923,383,1
338,40,897,351,7
292,9,764,305,7
338,23,892,367,7
69,0,162,7,365
383,1,898,393,7
337,41,886,352,1
356,14,837,365,90
312,21,798,311,7
224,24,591,225,1
282,34,751,302,7
164,0,490,132,7
371,0,950,396,1
314,32,810,329,1
211,23,573,202,7
324,0,830,330,1
247,8,639,247,365
339,3,901,352,14
117,1,293,37,7
340,8,925,370,7
364,16,870,378,1
367,45,883,383,1
346,37,811,354,1
286,44,789,300,1
155,9,458,122,14
238,11,620,238,1
348,13,826,358,1
343,1,882,353,1
372,46,892,384,7
165,1,486,132,7
341,0,907,374,1
329,0,917,348,7
325,57,928,348,14
372,44,882,389,1
145,5,443,111,1
150,1,449,116,90
283,24,754,302,14
289,3,791,303,7
116,0,287,35,90
399,24,931,408,1
100,2,228,7,1
318,9,807,332,30
131,0,327,58,7
333,11,809,346,14
272,38,745,297,30
183,4,529,165,1
383,26,898,393,1
273,1,740,292,30
274,35,741,297,7
132,15,332,59,1
280,2,756,304,7
313,22,784,328,1
127,0,319,56,1
130,0,313,54,14
286,44,768,298,7
294,48,736,306,30
386,29,893,396,1
274,1,742,297,90
368,44,877,381,1
324,50,795,334,1
336,38,901,352,7
168,6,498,140,7
367,18,873,380,7
373,10,883,390,1
179,3,525,164,14
356,8,834,363,14
121,0,304,43,1
283,5,777,307,7
353,2,883,369,7
290,45,799,303,1
351,43,884,367,1
273,0,754,297,30
110,0,283,29,1
133,4,345,62,7
273,4,748,293,1
330,38,806,343,1
287,7,792,303,7
212,0,579,208,1
334,13,812,347,90
398,4,933,412,1
164,11,497,143,1
372,0,903,389,1
120,0,274,10,90
113,4,171,66,14
70,1,157,36,1
127,0,210,17,90
74,7,122,24,14
69,0,152,37,365
126,15,147,51,365
62,0,86,0,1000
54,0,101,13,7
111,4,197,16,14
89,0,127,9,90
39,0,75,17,1000
94,1,158,10,90
130,0,137,54,7
120,5,160,68,30
120,19,166,70,1000
69,0,124,24,180
99,1,128,43,1
98,0,162,13,365
74,0,128,23,90
115,3,191,15,90
30,0,62,2,90
76,7,115,19,7
69,0,157,37,30
80,4,118,22,1
67,14,138,28,30
124,15,149,52,14
71,1,152,33,30
124,17,145,51,30
69,0,153,37,7
60,0,114,13,90
126,0,205,17,90
114,14,162,67,1
113,15,143,44,180
121,5,141,47,1
39,0,100,3,30
127,14,145,62,7
97,22,125,43,7
112,4,199,17,180
84,0,121,7,1
79,0,128,25,1000
98,0,164,13,7
80,0,123,14,90
29,0,72,2,1000
110,15,133,49,1
46,0,76,0,1000
140,22,169,75,1
108,0,134,43,14
34,0,86,2,30
40,1,104,3,180
91,13,152,50,14
113,0,133,48,7
94,1,149,46,90
92,0,216,6,1
119,39,148,66,7
52,0,129,10,7
124,11,150,70,7
103,22,150,53,1
374,0,892,391,180
109,1,181,14,90
79,0,118,24,7
128,2,142,53,1000
124,4,203,15,1
106,18,129,44,7
69,18,152,37,30
81,4,150,41,7
50,2,125,9,30
119,39,162,66,7
25,0,64,1,180
129,0,209,18,90
127,0,144,63,365
121,19,161,68,90
114,17,142,45,1000
62,0,89,0,1000
51,0,91,0,1000
120,2,145,51,90
71,4,119,22,7
116,37,165,69,90
74,0,133,20,365
64,13,136,26,90
134,13,132,60,7
70,3,142,30,14
129,3,203,17,14
116,16,136,45,180
67,14,138,28,30
88,1,100,2,365
120,20,149,52,7
83,0,125,23,1
76,0,90,1,1000
67,2,125,24,30
112,35,146,62,1
41,0,68,0,180
127,3,209,17,90
114,7,163,68,30
101,0,196,27,1
130,7,137,58,14
83,0,156,43,7
70,1,148,32,30
62,0,117,14,7
119,39,147,64,14
329,2,904,350,14
40,1,111,3,180
64,9,137,26,7
129,6,138,54,1
81,19,149,42,180
134,0,137,60,30
79,0,97,1,365
102,20,149,50,1
116,7,163,66,1
327,0,902,349,30
27,0,65,0,90
81,1,148,42,90
120,0,135,46,7
86,0,122,24,365
329,0,921,349,30
62,0,86,0,1000
103,18,150,50,7
79,5,127,27,30
150,0,412,92,1
119,0,140,43,1
60,0,115,14,14
61,0,92,0,180
139,0,370,71,1
50,5,128,9,90
105,0,131,44,7
87,0,169,11,14
65,0,116,19,365
77,2,120,24,30
41,0,117,3,1000
40,1,102,3,180
57,4,111,7,14
36,0,95,3,30
100,2,159,12,90
