@RELATION combined

@ATTRIBUTE issuecleanedbodylen REAL
@ATTRIBUTE meancommentsizet REAL
@ATTRIBUTE nactorst REAL
@ATTRIBUTE ncommentst REAL
@ATTRIBUTE ncommitsbyactorst REAL
@ATTRIBUTE ncommitsbycreator REAL
@ATTRIBUTE ncommitsbyuniqueactorst REAL
@ATTRIBUTE ncommitsinproject REAL
@ATTRIBUTE ncommitsprojectt REAL
@ATTRIBUTE nissuesbycreator REAL
@ATTRIBUTE nissuesbycreatorclosed REAL
@ATTRIBUTE nissuescreatedinproject REAL
@ATTRIBUTE nissuescreatedinprojectclosed REAL
@ATTRIBUTE nissuescreatedprojectclosedt REAL
@ATTRIBUTE nissuescreatedprojectt REAL
@ATTRIBUTE nlabelst REAL
@ATTRIBUTE nsubscribedbyt REAL
@ATTRIBUTE timeopen {1,7,14,30,90,180,365,1000}

@DATA
58,0,1,0,9652,0,273,589,9739,1,0,275,43,1115,4489,0,0,1
30,7,2,3,2670,1,130,705,2771,2,1,320,93,375,1139,0,0,30
209,0,2,0,8026,12,252,469,8106,7,5,271,42,995,3636,0,0,1
9,8,2,2,1765,6,98,927,1958,6,4,408,126,251,758,0,0,1
8,1,1,1,4913,1,187,1003,5116,4,3,384,76,650,2210,0,0,1
59,14,3,3,2680,0,130,736,2794,3,2,320,94,376,1149,0,2,90
82,25,2,6,7053,0,241,683,7143,1,0,323,79,853,3119,0,0,180
8,10,1,1,6560,0,230,833,6667,2,0,404,79,809,2908,0,0,1
19,13,3,1,157,0,28,1335,379,1,0,515,147,28,101,0,0,7
5,6,2,2,1694,20,96,966,1834,14,13,404,132,243,728,0,0,1
33,46,3,3,6630,1,232,846,6751,1,0,393,76,814,2938,0,2,1
10,13,2,1,3324,5,151,1006,3595,4,3,383,76,453,1442,0,1,1
30,40,2,22,1270,0,79,1080,1432,38,36,441,179,155,540,0,1,90
16,10,2,3,231,2,38,1320,482,2,1,531,153,40,136,0,2,1
9,5,4,4,7687,0,248,430,7734,4,1,283,57,938,3404,0,0,14
8,10,2,2,7423,0,244,516,7544,1,0,286,77,904,3303,0,0,30
67,14,2,3,4272,0,169,1043,4427,1,0,557,143,528,1796,0,0,7
12,0,2,0,7982,5,251,491,8065,8,5,272,44,989,3605,0,0,14
7,0,2,0,4682,0,181,1038,4821,2,0,449,94,609,2076,0,0,1
10,0,2,0,7193,25,243,614,7312,27,24,318,78,867,3186,0,0,1
15,29,3,1,591,0,54,1195,808,2,0,517,175,71,277,0,1,14
33,26,3,2,1086,0,72,1117,1280,2,1,452,175,122,458,0,0,1
116,15,2,1,4649,0,180,1070,4790,1,0,468,96,605,2057,0,0,30
6,0,1,0,1588,44,93,1037,1786,23,21,426,159,225,691,0,0,1
5,0,2,0,671,0,58,1186,910,3,2,524,185,79,313,0,0,1
25,10,2,1,9694,0,273,587,9770,1,0,276,43,1117,4506,0,0,180
9,0,1,0,7677,0,248,435,7732,3,0,284,56,937,3400,0,0,7
11,7,2,2,61,0,21,1317,206,1,0,487,135,15,56,0,0,7
6,6,2,2,9477,0,272,642,9593,6,0,271,24,1103,4412,0,0,90
5,6,2,1,8072,6,255,455,8180,4,3,271,38,1003,3669,0,0,14
112,27,3,2,8629,0,264,669,8744,1,0,334,23,1057,3997,0,0,90
64,0,2,0,7107,1,242,667,7277,1,0,327,78,860,3165,0,0,90
34,11,2,4,3342,0,152,998,3619,1,0,381,74,455,1448,0,0,7
20,9,1,1,5900,0,209,802,6086,11,10,427,84,721,2570,0,0,1
30,0,2,0,6529,0,229,798,6639,1,0,389,78,804,2880,0,0,1
45,0,2,0,8542,1,262,636,8636,2,1,347,25,1053,3954,0,0,365
16,11,2,1,4653,5,180,1066,4806,8,4,464,96,605,2062,0,0,7
3,0,2,0,6961,1,238,746,7088,2,0,350,76,849,3100,0,0,1
89,0,1,0,7709,0,248,488,7767,5,2,289,56,944,3430,0,0,90
5,0,3,0,1901,0,100,891,2103,4,2,406,125,259,797,0,0,7
106,0,1,0,3235,3,150,973,3402,9,4,375,83,449,1402,0,0,1
6,0,2,0,4783,3,184,1028,4968,6,2,423,79,629,2143,0,0,1
45,11,1,1,3149,0,146,973,3244,1,0,372,75,429,1335,0,0,1
4,11,2,1,1786,9,99,934,2006,10,9,416,129,255,772,0,0,1
26,7,3,2,400,0,42,1214,624,1,0,522,150,51,184,0,2,1
7,4,2,4,1307,0,80,1070,1492,35,34,442,181,161,560,0,0,1
10,11,2,1,7364,0,244,546,7498,1,0,302,74,894,3275,0,0,1
19,13,2,2,9581,0,273,596,9670,1,0,280,25,1109,4455,0,0,180
17,16,3,2,3244,0,150,983,3419,1,0,376,82,450,1404,0,0,1
40,22,3,2,4560,0,179,974,4676,1,0,481,110,588,1981,0,0,14
18,8,3,3,2367,1,114,758,2504,2,1,367,102,327,980,0,1,30
30,0,2,0,6936,3,238,754,7068,4,0,356,75,846,3089,0,0,30
48,0,2,0,2900,0,140,944,3065,1,0,336,77,406,1248,0,0,1
33,4,1,1,6533,2,229,826,6643,5,3,398,81,807,2890,0,0,30
17,7,2,2,4653,0,180,1066,4800,4,3,463,95,605,2060,0,0,7
13,9,2,2,3049,0,141,867,3120,2,0,327,69,414,1276,0,0,1
4,13,2,3,1664,25,96,984,1816,16,15,412,145,240,718,0,0,1
15,25,2,1,5370,0,198,1042,5482,2,1,380,64,684,2369,0,0,180
29,0,2,0,1083,0,72,1120,1277,2,1,453,174,122,458,0,0,1
77,0,2,0,8346,2,258,492,8413,2,0,302,29,1022,3796,0,0,1
4,4,1,1,2671,0,130,713,2777,4,0,320,93,375,1141,0,0,1
60,8,2,2,5572,0,202,953,5736,2,1,385,70,696,2454,0,0,7
29,7,2,2,2850,0,137,912,2998,1,0,336,84,398,1222,0,0,7
13,13,2,1,379,11,42,1217,615,11,4,521,151,48,176,0,0,1
29,9,3,3,4618,0,180,1033,4753,1,0,484,103,599,2032,0,0,7
19,0,1,0,4449,0,172,978,4573,33,31,542,137,565,1919,0,0,1
106,11,2,4,4494,0,173,980,4608,1,0,513,130,572,1933,0,0,14
22,0,2,0,6644,0,232,854,6779,1,0,384,79,814,2949,0,0,14
64,6,2,2,1362,0,81,1062,1532,4,3,436,168,172,586,0,0,1
10,0,2,0,7444,16,244,500,7552,18,15,272,73,907,3312,0,0,1
10,0,2,0,7522,10,244,462,7632,12,8,271,73,916,3343,0,0,1
11,0,1,0,3038,0,141,869,3120,2,0,326,71,413,1273,0,0,1
47,7,2,1,5361,0,198,1049,5477,1,0,384,66,683,2364,0,0,7
12,5,1,1,1801,0,99,937,2012,4,0,414,121,255,773,0,0,30
32,3,1,1,4622,2,180,1037,4766,6,4,481,104,599,2036,0,0,1
11,21,3,8,6630,0,232,837,6750,1,1,396,76,814,2938,0,0,365
18,3,2,1,7798,0,248,509,7867,2,0,289,50,957,3490,0,0,90
34,3,1,1,8415,2,260,544,8473,9,4,318,27,1033,3827,0,0,30
31,0,2,0,2628,3,124,685,2741,1,0,316,85,362,1110,0,0,1
8,0,3,0,1811,0,99,938,2016,2,0,411,126,255,775,0,0,90
7,0,2,0,2288,0,111,794,2426,10,4,389,112,315,942,0,0,1
40,30,3,2,6522,0,226,780,6583,1,0,390,77,793,2846,0,1,180
7,16,3,3,6464,12,219,687,6517,12,11,393,77,772,2789,0,1,90
62,0,2,0,443,0,47,1265,666,1,0,544,171,56,210,0,0,1
13,19,1,1,2203,0,107,832,2356,2,1,393,116,304,902,0,0,1
155,14,3,2,91,0,24,1330,279,5,0,504,143,22,74,0,0,7
6,8,2,2,3193,0,148,975,3342,2,0,376,83,440,1373,0,0,1
6,13,2,1,5148,2,190,971,5322,1,2,366,59,668,2289,0,0,7
20,50,4,6,3144,0,146,978,3242,1,0,376,76,428,1333,0,3,14
19,2,2,1,4461,0,172,992,4581,31,29,536,134,566,1920,0,0,7
25,8,1,1,1270,0,79,1080,1434,37,36,440,179,155,541,0,0,7
71,27,1,1,6527,0,228,785,6601,4,1,387,76,798,2864,0,0,14
27,30,2,2,4077,0,165,942,4167,2,0,525,131,513,1692,0,1,7
29,0,2,0,227,3,38,1321,472,3,2,531,153,40,136,0,0,1
29,20,3,4,7324,0,243,568,7476,8,6,313,76,891,3267,0,0,7
9,11,2,1,7393,3,244,535,7533,8,2,295,74,902,3296,0,0,90
11,0,1,0,1393,0,81,1048,1547,29,26,440,169,173,592,0,0,1
37,11,2,1,4228,3,169,1046,4383,7,3,565,141,525,1780,0,0,7
17,14,1,1,5035,1,190,1013,5210,2,0,386,66,658,2248,0,0,7
9,0,1,0,4868,0,187,1047,5100,4,0,402,79,647,2199,0,0,30
27,10,2,1,5997,0,211,774,6133,1,0,413,67,726,2595,0,0,1
9,7,1,1,10482,0,276,555,10525,1,0,287,14,1176,4879,0,0,30
69,7,2,2,3748,0,155,816,3863,3,1,423,89,472,1544,0,0,1
4,2,2,2,2240,0,109,825,2387,10,6,398,115,309,919,0,0,7
11,0,2,0,7840,24,248,507,7918,17,15,282,49,966,3517,0,0,1
33,0,1,0,8739,0,266,638,8812,1,0,334,21,1060,4046,0,0,7
15,0,2,0,3356,5,153,990,3631,10,4,379,70,457,1453,0,0,1
7,0,1,0,5221,2,190,949,5359,9,3,354,58,668,2305,0,0,1
10,0,2,0,7443,17,244,501,7552,19,16,274,74,907,3312,0,0,1
17,18,2,2,1811,0,99,938,2016,1,0,414,126,255,775,0,0,1
85,64,2,2,4143,0,166,1003,4295,2,0,535,133,520,1734,0,0,1
9,17,2,3,2203,0,107,837,2356,13,11,395,117,304,903,0,0,7
7,11,2,1,3167,0,147,955,3277,1,2,371,76,433,1344,0,0,1
144,14,2,1,5402,0,199,1053,5549,2,0,376,63,684,2394,0,0,30
127,0,2,0,7286,13,243,560,7387,1,0,309,80,879,3221,0,0,1
2,0,1,0,9521,0,272,611,9637,2,2,273,23,1105,4435,0,0,7
9,39,2,2,5221,12,190,948,5359,7,6,356,58,668,2305,0,0,14
6,0,2,0,6565,3,230,830,6667,5,2,399,76,809,2909,0,0,1
2,11,2,1,4868,0,187,1047,5100,10,0,408,79,647,2199,0,0,30
20,54,2,3,6374,0,216,679,6463,1,0,416,78,753,2727,0,0,365
40,35,1,1,7938,14,251,495,8014,10,9,275,44,982,3574,0,0,7
21,0,2,0,2797,0,135,907,2917,1,0,325,80,391,1204,0,0,14
5,0,2,0,447,0,48,1264,682,1,0,538,168,58,214,0,0,1
19,9,3,2,2375,0,114,751,2505,1,0,365,101,327,982,0,1,1
6,0,2,0,4708,5,183,1026,4838,23,11,444,85,618,2096,0,0,1
6,6,2,2,1734,12,96,945,1891,13,12,408,129,247,740,0,0,1
6,0,1,0,8001,14,251,479,8073,9,8,266,43,991,3616,0,0,1
11,0,2,0,2748,7,132,811,2850,26,9,329,76,380,1171,0,0,1
38,10,3,2,3970,1,161,838,4081,3,1,484,115,494,1635,0,0,365
7,0,2,0,2647,0,128,692,2755,2,1,312,87,371,1126,0,0,1
42,34,2,4,3404,1,154,976,3689,2,1,374,67,459,1474,0,0,1
34,7,1,1,6284,0,216,740,6442,6,5,432,80,751,2707,0,0,7
121,32,3,1,2768,0,133,880,2883,1,0,326,77,385,1186,0,0,7
68,16,4,4,10438,0,276,568,10512,1,0,293,15,1176,4864,0,0,365
10,9,2,1,908,1,66,1177,1116,3,2,480,177,100,391,0,0,1
26,8,2,2,1930,1,100,875,2128,3,2,407,125,260,800,0,0,1
23,0,1,0,6812,2,238,823,6966,3,2,387,78,838,3038,0,0,90
6,0,1,0,8413,0,260,545,8470,1,0,315,27,1033,3827,0,0,365
197,0,1,0,8482,0,261,585,8533,1,0,334,27,1042,3889,0,0,7
17,0,1,0,5915,0,209,816,6098,8,7,426,83,721,2571,0,0,1
27,25,2,3,8129,0,255,445,8228,1,0,265,34,1007,3698,0,0,7
67,9,2,2,1281,0,80,1075,1441,36,35,445,181,156,544,0,0,1
18,0,2,0,4544,0,179,990,4667,14,13,494,113,588,1980,0,0,1
7,7,2,1,1055,5,72,1135,1270,12,5,449,172,121,454,0,0,1
28,0,2,0,7463,13,244,497,7603,15,12,275,75,910,3323,0,0,1
18,0,1,0,723,0,60,1192,968,49,48,507,181,84,331,0,0,1
10,22,2,2,6691,0,235,852,6840,7,2,379,82,820,2973,0,0,1
88,21,2,10,4122,0,166,972,4246,3,2,531,135,519,1719,0,2,30
56,8,2,3,548,0,52,1203,736,1,0,520,170,66,246,0,0,7
24,0,2,0,8710,4,265,651,8788,2,1,339,24,1059,4026,0,0,365
13,13,2,2,2572,1,120,623,2655,3,1,316,80,347,1062,0,0,1
10,29,2,5,1258,0,77,1090,1425,1,0,445,178,153,536,0,1,7
32,21,2,1,4051,0,165,900,4147,4,1,513,125,509,1684,0,0,1
10,0,1,0,9651,0,273,583,9732,3,1,280,44,1113,4484,0,0,7
37,42,2,6,4140,0,166,987,4289,1,0,532,134,520,1731,0,0,1
6,0,2,0,1502,0,86,1035,1643,24,20,428,159,191,640,0,0,1
27,18,2,3,8853,0,270,699,8981,1,0,326,29,1074,4129,0,0,7
84,11,3,1,2576,0,120,626,2663,2,1,310,79,348,1067,0,1,7
5,0,2,0,7121,2,243,654,7286,5,2,322,77,862,3168,0,0,1
22,9,2,3,4784,0,185,1032,4979,2,0,423,79,634,2150,0,0,14
41,0,2,0,6290,0,216,741,6448,5,4,440,81,751,2713,0,1,1
19,0,1,0,6499,12,221,771,6530,11,11,388,70,778,2807,0,0,7
7,7,2,2,4834,0,186,1049,5064,1,0,407,77,641,2181,0,0,14
36,71,3,5,3040,0,141,871,3120,1,0,323,70,413,1273,0,0,1
7,9,2,7,1492,0,86,1021,1603,26,23,425,162,185,625,0,0,1
10,0,2,0,6539,6,230,848,6656,8,4,402,79,809,2901,0,0,1
16,17,2,1,10561,0,276,595,10680,2,1,282,13,1182,4954,0,0,1
8,5,2,2,5068,1,190,1010,5265,11,6,380,68,664,2271,0,0,14
23,8,1,2,1234,0,77,1074,1399,3,1,453,183,146,515,0,0,7
30,0,2,0,4559,0,179,975,4676,11,10,484,110,588,1981,0,0,1
101,7,3,1,1947,0,100,861,2129,1,0,406,124,261,802,0,0,1
15,4,2,2,1325,0,80,1066,1498,32,30,440,174,163,569,0,0,1
15,0,3,0,2049,0,104,812,2209,2,1,394,122,276,840,0,0,7
74,15,2,1,6132,0,216,805,6384,2,2,423,76,746,2676,0,0,14
39,7,2,2,1915,0,100,882,2112,1,0,407,124,259,797,0,0,1
25,0,2,0,7893,13,249,492,7964,12,9,281,47,977,3544,0,0,1
13,5,2,1,5149,1,190,971,5322,3,1,365,59,668,2289,0,1,1
6,0,1,0,3340,6,152,996,3617,21,6,383,75,454,1446,0,0,1
9,6,2,2,1749,0,97,936,1915,6,5,413,128,249,748,0,0,1
21,0,1,0,4446,0,172,971,4569,35,33,552,141,565,1918,0,0,1
10,20,3,4,1246,0,77,1079,1408,1,0,451,180,149,522,0,4,7
3,4,2,1,1286,2,80,1078,1448,4,3,448,182,157,546,0,0,1
22,0,2,0,7654,22,248,449,7718,19,16,280,56,935,3394,0,0,1
3,6,1,1,1973,0,101,842,2137,17,15,402,123,264,809,0,0,1
10,9,2,3,1694,0,96,966,1834,12,11,407,132,243,728,0,0,1
35,17,4,5,8506,0,262,641,8583,1,0,348,24,1049,3915,0,1,365
9,10,3,4,6053,7,211,766,6187,8,4,410,71,729,2608,0,0,90
9,7,2,2,491,1,50,1244,714,4,1,531,170,61,230,0,0,7
21,0,2,0,4530,0,178,997,4653,20,18,501,118,585,1971,0,0,1
7,11,2,1,2512,0,119,671,2631,2,1,328,85,345,1044,0,0,1
5,16,2,1,1257,3,77,1086,1421,8,3,446,178,153,535,0,1,1
8,3,1,1,2650,0,128,690,2755,7,3,311,87,371,1128,0,0,1
8,12,2,1,1665,0,96,983,1816,13,12,411,143,240,718,0,0,1
34,37,3,7,3672,0,155,847,3840,2,1,409,82,471,1527,0,0,7
5,19,2,1,6468,3,220,693,6526,7,6,393,75,773,2794,0,0,7
15,0,2,0,7088,1,242,675,7235,2,0,330,78,857,3147,0,0,1
9,9,2,1,4504,8,177,990,4629,29,14,507,127,577,1950,0,0,1
12,0,2,0,666,1,57,1185,908,4,1,525,186,78,308,0,0,1
7,8,2,2,264,0,41,1290,494,1,0,525,151,43,147,0,0,1
77,11,3,1,8316,0,258,472,8374,2,1,283,32,1018,3779,0,0,14
18,0,1,0,6818,2,238,818,6972,2,1,384,76,839,3042,0,0,1
27,0,1,0,9456,0,272,637,9565,4,3,275,24,1102,4400,0,0,7
75,23,2,8,39,0,20,1309,180,6,3,488,136,15,54,0,0,1
6,9,3,1,626,0,56,1187,874,2,1,526,185,75,296,0,0,1
8,4,3,1,417,2,46,1253,634,3,2,529,160,54,196,0,0,1
23,0,1,0,7029,0,241,694,7125,2,1,325,77,853,3115,0,0,7
23,0,1,0,7723,0,248,491,7775,3,1,289,53,946,3436,0,0,1
23,4,2,2,6373,0,216,680,6463,2,0,420,78,752,2723,0,0,90
7,10,2,3,7738,0,248,503,7792,1,0,299,55,947,3446,0,0,365
7,0,1,0,1046,6,72,1129,1268,14,6,451,174,119,452,0,0,1
9,0,2,0,1606,2,95,1033,1809,10,4,420,154,235,704,0,0,1
53,0,1,0,7736,0,248,504,7790,1,0,300,55,947,3446,0,0,1
33,7,2,2,2129,0,105,822,2284,5,4,414,129,291,869,0,0,7
19,3,2,1,8916,0,270,690,9029,1,0,318,23,1079,4155,0,0,365
11,0,2,0,7545,37,245,473,7650,5,1,273,72,919,3348,0,0,1
19,0,2,0,4493,0,173,974,4608,27,26,517,130,572,1932,0,0,1
105,0,2,0,7758,2,248,523,7823,3,0,294,54,951,3464,0,0,90
25,11,3,2,10281,0,276,631,10412,1,0,317,25,1167,4799,0,0,365
10,0,3,0,1531,0,88,1041,1682,23,20,428,157,200,655,0,0,7
45,0,2,0,1448,0,84,1039,1570,1,0,427,162,178,612,0,0,1
25,0,2,0,7638,19,247,455,7709,23,16,272,55,933,3388,0,0,1
51,11,2,1,9421,1,272,662,9537,4,1,283,25,1098,4385,0,0,90
10,0,2,0,7524,9,244,460,7632,11,8,270,73,916,3343,0,0,1
6,6,2,2,9094,0,271,660,9186,1,0,309,23,1082,4243,0,0,30
26,13,2,2,1324,0,80,1065,1498,1,0,442,175,162,566,0,0,1
5,0,2,0,8072,6,255,455,8180,5,3,272,38,1003,3669,0,0,1
8,21,2,1,3082,6,142,905,3136,16,6,332,63,417,1286,0,0,1
22,25,2,3,2475,3,117,687,2615,5,3,334,87,341,1029,0,0,7
50,17,2,1,1593,0,93,1032,1788,1,0,421,157,226,692,0,0,1
8,0,2,0,4633,7,180,1034,4780,27,13,469,102,601,2047,0,0,1
7,20,3,3,3051,0,141,869,3123,2,0,327,70,414,1276,0,0,14
4,9,2,1,2750,7,132,848,2859,24,9,323,76,381,1173,0,0,7
25,10,3,4,10152,0,275,620,10257,1,0,324,26,1156,4727,0,1,30
20,9,2,2,3864,0,158,818,3994,1,0,448,104,481,1594,0,0,7
26,6,1,1,3559,1,155,892,3762,2,1,381,73,468,1505,0,0,1
4,4,1,1,961,0,67,1148,1168,45,44,469,172,106,416,0,0,1
28,20,3,5,6640,0,232,851,6770,1,0,387,78,814,2948,0,2,365
7,0,2,0,6894,8,238,783,7039,6,1,363,75,844,3077,0,0,1
88,40,3,9,2446,0,117,695,2588,1,0,336,83,339,1014,0,0,7
26,0,1,0,5936,0,210,831,6120,3,2,425,76,723,2586,0,0,1
91,13,2,1,5656,5,203,873,5777,6,3,386,69,700,2464,0,0,7
62,5,1,1,6584,0,231,844,6696,2,0,396,74,812,2923,0,0,30
61,0,2,0,4227,4,169,1047,4383,8,3,566,141,525,1780,0,0,1
40,6,2,2,5835,0,208,832,6051,1,0,429,82,716,2552,0,0,14
8,15,2,1,4167,0,167,1009,4334,6,4,541,135,524,1749,0,0,7
11,14,2,1,6129,0,216,807,6384,2,0,424,76,746,2676,0,0,180
10,0,2,0,7445,15,244,499,7554,17,14,270,72,907,3315,0,0,1
85,0,2,0,485,0,49,1246,699,2,1,535,169,60,224,0,0,1
17,17,3,4,929,0,67,1169,1143,1,0,473,174,105,406,0,3,1
2,16,2,1,8796,1,267,676,8888,1,0,335,25,1064,4079,0,0,1
