issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
65,11,5,7,952,0,131,140,969,5,1,433,106,1086,2455,0,0,30
10,27,5,5,279,0,72,288,340,36,36,792,303,358,891,0,6,1
11,6,2,1,903,9,131,171,950,10,8,509,152,1053,2366,0,1,1
6,13,5,6,480,24,102,365,522,29,28,883,381,574,1366,0,6,7
210,62,4,17,925,0,131,164,959,7,0,491,132,1068,2405,0,10,14
8,5,5,4,646,0,123,347,729,62,40,819,355,813,1898,0,5,14
13,1,4,1,416,32,93,337,475,79,34,871,357,519,1249,0,0,1
44,25,4,2,347,0,80,281,388,3,2,773,305,425,1038,0,2,1
43,17,3,4,995,0,135,133,1019,1,0,337,61,1150,2636,0,0,14
33,7,4,2,971,0,134,146,995,5,1,393,84,1117,2538,0,0,1
22,3,6,2,707,27,126,302,815,60,29,758,315,913,2091,0,0,1
8,23,6,6,43,0,42,354,139,66,39,924,386,114,290,0,8,7
28,8,4,7,1033,0,138,111,1057,4,0,285,29,1184,2733,0,0,14
6,16,6,4,762,15,126,257,845,21,17,667,262,940,2138,0,3,7
3,12,2,1,958,0,131,136,971,1,0,419,97,1087,2458,0,0,1
35,11,3,2,174,0,52,340,214,1,0,907,358,225,567,0,1,7
37,25,4,10,395,5,89,313,456,10,8,795,325,503,1203,0,7,90
11,2,3,1,751,0,126,268,841,46,28,677,272,938,2134,0,0,1
40,9,6,7,455,0,98,355,501,4,1,884,371,546,1306,0,13,14
10,3,4,2,114,11,45,328,161,16,11,916,354,160,397,0,1,1
61,65,4,3,380,1,84,270,416,3,1,744,297,453,1089,0,1,30
6,0,4,0,1510,0,206,123,1530,1,0,205,16,1278,3768,0,0,1
6,12,5,9,995,8,135,133,1019,28,4,341,61,1148,2632,0,0,7
41,5,4,2,337,0,79,276,385,1,0,751,296,414,1017,0,0,7
9,7,4,2,1393,0,195,68,1404,1,0,147,11,1246,3526,0,0,7
10,35,5,8,219,6,64,325,287,18,7,845,335,307,747,0,6,14
27,12,7,2,1041,8,138,103,1059,25,9,274,23,1189,2743,0,2,180
36,6,4,2,221,0,64,324,292,2,1,831,331,313,760,0,0,7
68,81,3,4,1151,3,158,119,1174,4,1,266,9,1217,3008,0,3,1
2,9,3,2,958,0,131,136,971,4,3,422,100,1087,2458,0,0,90
8,1,7,2,648,0,123,347,734,30,10,815,354,821,1921,0,0,1
6,56,6,10,847,0,131,205,903,38,18,583,196,1002,2263,0,13,7
17,4,3,2,896,24,131,178,937,64,28,522,161,1043,2349,0,0,1
10,14,3,3,1140,0,153,120,1148,1,0,262,9,1213,2968,0,0,1
5,38,2,2,26,1,38,361,114,10,3,941,391,97,250,0,1,1
16,6,5,2,759,15,126,260,844,17,16,674,265,940,2138,0,2,1
7,5,5,4,945,0,131,147,967,29,12,446,113,1083,2444,0,0,1
45,12,4,2,508,3,106,374,542,3,3,890,391,591,1415,0,2,7
7,6,5,2,637,23,123,350,716,26,25,827,361,798,1868,0,2,1
8,2,3,1,764,0,126,256,846,42,25,656,260,940,2139,0,0,1
16,11,4,5,628,1,123,357,690,4,1,830,364,769,1812,0,2,7
7,4,4,4,288,25,76,288,351,27,27,772,301,366,916,0,2,1
12,16,5,3,359,33,81,273,395,56,41,752,296,435,1059,0,1,1
10,8,6,3,17,28,33,369,99,28,29,945,396,84,229,0,3,1
8,57,3,6,421,32,94,338,478,77,34,868,355,521,1253,0,5,7
8,7,6,3,149,28,48,329,183,30,29,916,348,183,465,0,3,1
4,24,5,1,1410,0,197,71,1425,1,0,142,9,1252,3579,0,0,1000
6,17,4,1,638,0,123,349,716,21,19,826,360,798,1868,0,1,1
10,17,7,6,738,18,126,280,839,22,20,701,285,930,2122,0,4,1
6,9,5,3,559,0,115,395,605,2,0,925,407,670,1596,0,1,7
39,9,6,3,938,9,131,154,964,7,6,456,120,1080,2435,0,1,7
6,6,4,5,612,0,122,360,664,67,42,854,370,742,1760,0,3,7
9,6,3,2,899,16,131,175,940,53,15,519,158,1046,2354,0,1,1
20,2,4,2,42,42,42,353,136,86,50,922,385,113,285,0,2,1
6,5,4,1,759,5,126,260,844,20,9,675,265,940,2137,0,0,1
21,16,3,3,475,1,100,366,517,5,3,894,384,568,1351,0,5,7
15,11,5,2,815,0,131,226,875,16,8,595,227,975,2202,0,1,1
15,26,3,6,395,33,89,310,455,70,36,793,323,503,1201,0,6,1
7,22,5,6,332,0,78,277,381,36,21,747,294,407,1004,0,2,1
10,21,5,8,1058,0,143,102,1088,8,2,244,15,1203,2798,0,6,7
23,7,5,3,589,0,121,378,632,38,18,895,390,710,1692,0,1,1
16,3,5,3,248,2,66,311,312,26,1,813,318,333,829,0,1,1
17,0,3,0,833,25,131,212,887,66,27,580,209,989,2230,0,0,1
7,2,3,1,606,0,122,365,654,70,43,861,375,731,1738,0,0,1
9,12,3,3,292,3,76,286,351,9,3,766,298,369,927,0,1,90
21,12,4,4,358,0,81,273,395,39,37,755,297,434,1057,0,1,1
11,4,4,2,660,32,124,336,763,69,35,817,349,852,1975,0,0,1
26,13,8,5,748,0,126,270,841,13,9,689,275,935,2127,0,0,1
11,12,5,4,158,2,51,338,196,4,3,904,351,195,504,0,3,7
11,3,5,2,125,1,45,330,164,2,1,918,354,163,409,0,1,1
11,5,7,1,716,47,126,295,819,86,47,741,306,918,2102,0,0,1
8,4,4,3,724,17,126,292,829,20,19,728,301,921,2109,0,1,1
8,14,6,4,925,0,131,165,959,14,9,487,132,1069,2409,0,4,30
85,21,7,4,431,4,95,347,483,16,8,878,363,529,1266,0,7,14
8,9,5,12,971,2,134,147,996,4,2,395,84,1122,2560,0,15,180
30,31,7,19,613,15,122,360,669,37,16,846,370,747,1767,0,13,90
8,1,6,3,78,0,43,338,146,60,34,893,367,135,334,0,0,1
35,17,4,4,812,0,131,229,874,17,8,600,229,971,2198,0,2,1
13,35,5,11,501,39,104,372,540,68,46,894,384,588,1404,0,4,14
11,1,5,1,748,35,126,270,841,71,36,687,275,937,2133,0,0,1
15,37,3,3,245,43,65,309,311,80,51,801,314,333,823,0,2,7
13,15,4,5,298,34,77,288,358,64,41,756,299,377,938,0,6,1
19,5,3,2,276,37,72,287,337,70,44,795,303,355,882,0,1,7
25,19,6,5,925,0,131,164,959,2,0,493,132,1068,2405,0,15,14
9,5,6,6,212,0,64,330,281,47,25,868,343,297,725,0,3,7
8,33,6,7,1009,5,138,127,1041,26,2,312,52,1174,2684,0,4,1
5,8,3,1,1065,5,143,104,1089,18,6,239,14,1203,2800,0,0,1
7,30,2,12,583,26,120,381,631,29,29,901,394,708,1686,0,7,7
27,18,5,3,91,0,44,336,152,17,13,905,370,142,353,0,9,7
8,5,4,1,51,0,43,348,140,65,38,922,383,115,294,0,0,1
10,38,4,7,504,0,105,371,541,66,41,889,388,590,1410,0,9,7
27,6,4,3,545,1,112,392,579,8,2,929,406,641,1533,0,1,7
6,24,5,9,146,2,48,329,183,8,3,916,348,181,458,0,15,14
9,10,3,3,894,12,131,177,932,10,8,524,162,1036,2331,0,1,7
5,29,6,6,882,6,131,186,925,19,4,539,169,1025,2315,0,4,14
17,13,8,9,366,0,81,273,398,15,6,747,293,439,1063,0,10,90
7,25,5,6,534,8,108,375,554,12,11,896,386,602,1445,0,7,1
9,5,4,3,340,0,80,276,387,39,39,759,300,417,1023,0,1,1
63,8,4,2,632,0,123,354,712,1,0,829,364,793,1860,0,0,1
8,7,2,2,801,0,130,240,866,2,0,615,241,967,2186,0,1,180
14,7,4,2,627,49,122,356,686,87,51,836,364,765,1806,0,0,1
118,86,6,1,717,0,126,294,821,14,13,736,305,918,2102,0,1,1
8,46,4,8,237,31,64,309,304,66,37,807,314,325,799,0,3,1
41,6,6,2,31,44,38,357,119,92,52,943,390,102,262,0,3,1
11,17,3,5,213,48,64,329,281,89,58,865,342,299,729,0,1,7
13,3,4,1,416,32,93,337,475,78,34,870,357,519,1249,0,1,1
7,85,5,10,895,5,131,176,932,13,3,522,161,1036,2336,0,6,1
28,27,5,12,282,0,74,293,344,1,0,789,307,359,898,0,11,7
2,18,6,9,686,21,125,319,799,24,24,787,329,889,2050,0,12,7
41,34,4,9,150,0,48,328,183,13,9,911,347,183,467,0,6,30
161,29,3,1,963,0,134,149,985,4,1,417,93,1106,2511,0,0,30
7,32,5,10,968,10,134,148,989,42,8,397,87,1115,2531,0,4,30
8,9,8,10,431,32,95,349,483,73,34,875,363,530,1268,0,13,7
69,28,7,2,705,48,126,304,815,88,48,760,317,911,2089,0,0,1
6,42,6,24,793,4,129,240,859,17,8,622,239,957,2169,0,11,30
26,2,4,1,781,25,128,245,853,52,26,637,249,949,2152,0,0,1
26,56,3,10,852,12,131,202,906,14,9,579,193,1008,2274,0,7,1
73,27,6,3,1635,0,217,61,1640,1,0,114,19,1323,3956,0,0,14
37,8,6,4,141,4,47,325,174,9,4,924,348,169,434,0,5,7
6,14,4,2,539,34,109,374,557,61,39,889,382,607,1460,0,1,1
54,11,4,9,160,0,52,338,204,4,3,894,351,201,518,0,14,30
2,32,7,6,1013,5,138,123,1043,25,1,306,46,1174,2693,0,6,1
6,5,5,1,648,1,123,347,747,5,3,811,355,834,1939,0,0,1
10,3,4,2,808,0,130,233,871,18,10,607,233,969,2192,0,1,1
48,9,6,4,971,0,134,147,995,1,0,397,84,1122,2559,0,2,180
8,9,6,5,504,0,105,370,541,1,0,891,386,590,1409,0,2,1
32,8,5,1,702,0,125,306,811,35,15,771,321,905,2081,0,1,1
11,11,4,2,534,23,108,375,554,29,27,895,386,602,1445,0,4,7
7,11,4,1,630,0,123,355,699,1,0,828,364,775,1829,0,0,1
6,1,5,2,106,32,45,335,160,79,38,918,363,154,389,0,2,1
5,5,4,2,824,9,131,219,882,11,9,587,217,985,2225,0,1,1
13,9,5,6,960,0,134,145,982,3,0,417,97,1101,2499,0,0,14
26,13,6,7,147,8,48,330,183,11,8,915,348,182,461,0,13,14
8,0,3,0,1401,0,195,60,1408,1,0,144,10,1246,3535,0,0,1
9,1,3,1,808,0,130,233,871,3,1,609,234,969,2192,0,0,1
10,0,2,0,778,0,127,246,849,39,23,640,251,945,2147,0,0,1
30,1,4,1,875,0,131,184,925,5,4,547,174,1020,2307,0,1,1
9,43,4,9,73,18,43,337,143,21,18,898,367,133,324,0,8,1
49,11,5,4,1024,0,138,117,1053,10,2,296,37,1180,2727,0,3,7
11,24,4,4,89,15,44,337,152,19,15,909,371,142,353,0,3,1
12,0,1,0,605,0,122,366,649,1,0,862,376,729,1735,0,0,7
17,33,6,5,368,0,82,273,404,1,0,744,295,443,1068,0,6,30
78,41,5,10,559,0,115,399,605,1,0,929,408,671,1597,0,13,7
5,24,6,6,232,0,64,314,304,41,22,808,319,325,799,0,5,1
7,3,4,2,763,15,126,257,845,20,17,660,261,940,2139,0,1,1
8,4,5,2,209,0,63,332,271,41,39,878,345,281,697,0,2,1
48,21,4,3,491,5,103,368,537,5,5,892,383,584,1394,0,3,1
8,19,3,3,71,0,43,338,142,1,0,898,371,129,317,0,3,1
6,13,4,3,232,5,64,314,304,14,6,809,319,325,799,0,1,1
9,12,4,3,82,0,43,336,149,1,0,892,364,136,335,0,1,7
6,9,4,5,1034,0,138,110,1057,15,5,282,29,1184,2734,0,1,7
8,5,5,2,597,17,121,371,641,48,18,883,381,717,1706,0,2,7
20,3,4,1,678,0,125,325,792,18,16,795,336,884,2037,0,1,1
26,14,5,2,583,17,120,384,631,53,19,900,394,708,1686,0,0,1
32,19,3,8,187,49,56,343,237,94,58,896,357,253,623,0,4,1
8,9,5,2,657,0,124,339,762,40,19,820,352,851,1972,0,1,1
30,57,6,35,865,9,131,192,916,14,11,558,181,1016,2296,0,15,90
13,2,4,1,143,8,48,329,181,12,8,912,348,179,453,0,1,1
21,9,4,4,605,0,122,366,648,24,23,867,377,725,1728,0,2,1
17,17,5,5,254,6,66,305,314,12,11,804,312,335,833,0,7,1
51,0,5,0,1629,0,216,58,1635,2,0,115,19,1321,3945,0,0,1
15,1,3,1,213,0,64,329,281,1,0,864,342,300,730,0,0,7
7,1,4,1,513,27,106,374,542,70,29,894,390,592,1419,0,0,1
6,13,6,5,930,5,131,161,960,7,4,480,128,1070,2413,0,2,1
61,12,3,5,1061,6,143,107,1089,19,7,244,15,1203,2799,0,2,365
25,0,2,0,1118,0,150,102,1128,1,0,260,10,1209,2894,0,0,90
38,4,5,2,849,0,131,204,903,16,7,579,195,1006,2270,0,1,365
7,7,5,4,1045,0,140,102,1071,1,0,267,21,1198,2768,0,1,14
7,0,2,0,417,0,93,340,476,55,32,870,356,519,1249,0,0,1
7,7,3,2,250,0,66,309,313,37,20,806,316,334,830,0,0,1
7,32,7,6,734,41,126,282,839,78,42,707,290,929,2120,0,3,1
49,29,6,11,391,41,89,308,455,67,49,779,319,500,1194,0,13,7
13,9,4,3,65,41,43,344,141,83,49,915,379,126,311,0,1,7
7,6,5,3,972,13,134,146,998,45,17,392,82,1124,2565,0,0,1
175,0,1,0,381,0,84,282,429,1,0,751,303,470,1125,0,0,1
18,12,7,5,926,20,131,164,960,57,24,486,132,1069,2409,0,6,7
13,23,5,5,68,0,43,341,141,2,0,908,374,127,312,0,0,1
22,0,1,0,213,0,64,329,281,2,1,864,342,300,730,0,0,7
27,0,3,0,697,0,125,309,808,22,7,781,325,901,2076,0,0,1
7,3,5,3,372,0,83,273,407,8,4,739,292,444,1073,0,3,1
7,0,2,0,1158,0,158,116,1174,1,0,266,7,1217,3012,0,0,1
11,38,4,10,574,0,117,386,622,73,47,895,396,696,1663,0,5,1
15,14,5,5,410,26,93,343,474,59,28,873,362,516,1237,0,1,30
6,4,7,3,682,0,125,322,795,36,16,791,333,886,2045,0,0,7
9,40,7,3,702,49,125,306,811,91,50,773,321,905,2081,0,1,1
8,30,4,1,446,0,98,354,499,26,25,890,373,537,1290,0,1,1
113,6,4,1,575,0,118,385,626,28,27,889,394,696,1666,0,1,7
1,12,2,1,958,0,131,136,971,3,2,421,99,1087,2458,0,0,1
15,17,4,4,769,13,126,251,847,16,13,653,254,941,2140,0,1,1
12,15,2,2,866,9,131,193,918,12,10,561,182,1017,2299,0,1,1
7,5,4,1,191,0,57,343,242,2,0,883,353,260,643,0,0,30
25,1,5,2,888,0,131,183,930,10,4,527,165,1030,2322,0,2,1
10,80,9,10,773,29,126,251,847,56,30,642,250,943,2142,0,10,7
25,10,6,3,119,0,45,331,162,16,10,918,356,161,401,0,12,7
8,27,4,3,615,7,122,358,670,26,10,844,367,748,1772,0,0,180
16,12,4,1,443,41,98,357,498,68,49,893,376,537,1289,0,1,1
47,10,3,4,903,23,131,171,950,63,27,511,152,1052,2365,0,1,7
2,38,5,2,1640,0,217,65,1644,1,0,117,22,1324,3963,0,0,7
38,13,4,6,161,0,52,337,204,3,2,891,350,203,521,0,3,7
8,1,4,1,799,12,129,237,864,17,14,617,237,963,2180,0,0,1
11,14,5,4,407,0,90,315,465,33,30,817,330,512,1222,0,3,1
86,2,5,3,736,2,126,282,839,8,4,703,288,929,2120,0,0,1
45,24,4,4,276,30,72,287,337,75,36,799,301,355,882,0,3,7
14,5,4,1,424,0,94,339,480,27,25,867,355,522,1254,0,1,1
52,15,6,10,514,0,106,381,544,1,0,907,397,592,1419,0,3,14
26,27,4,7,176,1,53,338,218,2,1,903,355,226,569,0,3,1
26,21,8,68,1019,5,138,118,1051,1,0,294,42,1177,2699,0,15,90
6,4,5,3,66,18,43,343,141,22,19,911,378,127,312,0,3,7
38,50,3,8,804,10,130,237,869,16,12,613,238,967,2187,0,6,14
8,25,5,9,648,22,123,347,734,24,24,816,354,816,1913,0,5,14
45,16,4,1,498,0,104,366,540,2,0,898,382,587,1400,0,1,1
36,5,6,1,714,0,126,295,817,3,2,748,307,918,2101,0,0,1
49,13,5,2,407,0,91,317,466,32,30,816,331,512,1222,0,2,1
7,1,6,2,418,0,94,341,478,29,27,870,357,521,1253,0,1,1
11,21,4,3,319,0,78,288,380,37,21,762,305,403,996,0,2,1
6,93,6,27,995,0,135,133,1018,20,7,343,61,1147,2629,0,14,90
7,8,5,2,513,2,106,375,542,2,2,902,393,592,1419,0,1,1
12,6,4,1,480,38,102,365,522,65,44,885,381,573,1365,0,0,1
39,2,4,2,325,0,78,282,380,1,0,753,300,406,1002,0,1,1
6,9,4,11,283,10,75,293,346,17,11,784,307,362,902,0,10,30
36,15,5,4,857,22,131,197,907,58,24,574,187,1008,2280,0,4,1
15,3,5,5,303,34,77,287,366,60,42,755,299,383,950,0,3,7
18,35,4,7,191,0,57,343,242,12,7,884,353,259,642,0,10,7
74,7,6,4,122,6,45,332,163,13,7,914,352,163,406,0,7,7
19,18,6,10,372,4,83,273,407,11,6,741,292,443,1071,0,8,14
8,18,4,4,730,0,126,286,837,30,14,719,296,929,2120,0,5,30
28,4,4,1,366,0,81,272,398,39,38,749,292,439,1063,0,1,1
115,15,5,5,567,0,117,392,616,1,0,899,402,692,1647,0,4,1
8,54,4,5,584,17,120,383,631,52,19,899,393,708,1686,0,5,1
4,26,4,2,475,0,101,367,518,1,0,890,385,571,1356,0,1,7
20,6,5,4,169,32,52,336,211,76,38,907,359,211,540,0,3,1
5,6,5,2,663,22,125,335,771,26,25,807,346,861,1993,0,1,7
10,17,6,2,882,6,131,186,925,18,4,537,169,1025,2315,0,2,1
16,19,6,6,287,3,75,289,347,8,7,780,302,362,903,0,6,7
4,34,5,15,952,5,131,140,971,6,4,427,105,1087,2457,0,6,14
5,10,5,2,727,0,126,289,832,31,14,726,299,925,2113,0,1,1
23,5,5,4,380,33,84,270,416,51,40,745,296,453,1089,0,1,7
10,1,5,2,351,0,81,279,390,40,24,764,302,427,1043,0,1,1
30,10,5,2,1057,7,143,103,1087,22,8,245,17,1202,2793,0,1,7
63,20,5,5,61,2,43,343,141,4,2,912,376,116,297,0,8,1
33,7,5,6,40,0,39,351,125,10,7,939,382,111,278,0,10,7
22,11,4,4,930,0,131,161,960,6,0,479,128,1071,2414,0,1,7
5,64,4,13,266,0,70,294,327,35,19,799,305,344,858,0,15,90
19,37,5,6,99,1,44,341,158,7,1,927,372,151,377,0,7,7
1,0,4,0,1341,0,184,87,1353,1,0,180,12,1239,3432,0,0,1
50,3,1,1,335,0,79,277,383,25,5,744,293,411,1011,0,0,1
9,12,5,3,378,0,83,271,409,2,0,752,297,450,1084,0,2,7
89,9,7,7,366,4,81,272,398,12,6,749,293,439,1063,0,7,7
7,19,7,12,952,13,131,140,968,9,5,436,106,1086,2452,0,5,7
54,14,3,7,1003,7,137,128,1033,26,4,314,56,1163,2660,0,0,14
8,27,4,15,874,11,131,185,925,12,8,549,175,1019,2305,0,10,30
26,10,5,2,391,0,89,308,455,1,0,781,319,499,1193,0,0,1
7,11,4,1,461,0,100,357,505,25,23,888,379,556,1331,0,1,1
18,4,2,2,289,2,76,287,351,6,5,770,299,366,917,0,0,1
52,10,6,5,1005,0,138,130,1038,6,0,316,55,1169,2672,0,2,90
53,65,3,5,518,38,106,379,545,62,44,902,395,592,1419,0,3,7
10,12,5,7,240,0,65,312,308,27,7,804,312,329,814,0,3,1
